customer_id,cohort,cohort_index,segment,design_partner,start_period
HX-C0076,2023-Q4,1,Enterprise,1,3
HX-C0077,2025-Q1,6,AI native,0,18
HX-C0078,2025-Q2,7,Scale-up,0,21
HX-C0079,2024-Q4,5,AI native,0,15
HX-C0080,2026-Q2,11,Scale-up,0,33
HX-C0081,2024-Q4,5,Enterprise,0,15
HX-C0082,2024-Q4,5,Enterprise,0,15
HX-C0083,2026-Q2,11,Scale-up,0,33
HX-C0084,2023-Q4,1,AI native,1,3
HX-C0085,2024-Q4,5,AI native,0,15
HX-C0086,2025-Q2,7,Research,0,21
HX-C0087,2026-Q2,11,AI native,0,33
HX-C0088,2025-Q4,9,Scale-up,0,27
HX-C0089,2026-Q1,10,Enterprise,0,30
HX-C0090,2024-Q3,4,AI native,0,12
HX-C0091,2023-Q3,0,Scale-up,0,0
HX-C0092,2025-Q2,7,Scale-up,0,21
HX-C0093,2025-Q2,7,Enterprise,0,21
HX-C0094,2025-Q4,9,Research,0,27
HX-C0095,2026-Q1,10,AI native,0,30
HX-C0096,2023-Q4,1,Scale-up,0,3
HX-C0097,2025-Q2,7,AI native,0,21
HX-C0098,2023-Q4,1,AI native,0,3
HX-C0099,2024-Q3,4,Scale-up,0,12
HX-C0100,2024-Q3,4,AI native,0,12
HX-C0101,2024-Q1,2,AI native,0,6
HX-C0102,2026-Q2,11,Research,0,33
HX-C0103,2024-Q4,5,Scale-up,0,15
HX-C0104,2024-Q2,3,AI native,0,9
HX-C0105,2024-Q4,5,Scale-up,0,15
HX-C0106,2025-Q2,7,Enterprise,0,21
HX-C0107,2024-Q3,4,Enterprise,0,12
HX-C0108,2024-Q3,4,Enterprise,0,12
HX-C0109,2025-Q4,9,Scale-up,0,27
HX-C0110,2024-Q1,2,AI native,0,6
HX-C0111,2025-Q3,8,Scale-up,0,24
HX-C0112,2026-Q2,11,Scale-up,0,33
HX-C0113,2024-Q3,4,Scale-up,0,12
HX-C0114,2024-Q2,3,Scale-up,0,9
HX-C0115,2023-Q3,0,Scale-up,0,0
HX-C0116,2025-Q1,6,Scale-up,0,18
HX-C0117,2026-Q1,10,AI native,0,30
HX-C0118,2024-Q1,2,AI native,0,6
HX-C0119,2024-Q3,4,Enterprise,0,12
HX-C0120,2024-Q1,2,AI native,0,6
HX-C0121,2024-Q3,4,Research,0,12
HX-C0122,2025-Q3,8,Enterprise,0,24
HX-C0123,2025-Q2,7,AI native,0,21
HX-C0124,2024-Q2,3,Scale-up,0,9
HX-C0125,2025-Q4,9,Enterprise,0,27
HX-C0126,2024-Q3,4,AI native,0,12
HX-C0127,2025-Q2,7,Scale-up,0,21
HX-C0128,2024-Q1,2,Research,0,6
HX-C0129,2025-Q2,7,Enterprise,0,21
HX-C0130,2024-Q1,2,Scale-up,0,6
HX-C0131,2025-Q2,7,Research,0,21
HX-C0132,2025-Q2,7,AI native,0,21
HX-C0133,2025-Q1,6,Research,0,18
HX-C0134,2024-Q2,3,Scale-up,0,9
HX-C0135,2026-Q1,10,AI native,0,30
HX-C0136,2024-Q3,4,Scale-up,0,12
HX-C0137,2024-Q1,2,Enterprise,0,6
HX-C0138,2026-Q2,11,Scale-up,0,33
HX-C0139,2025-Q2,7,Scale-up,0,21
HX-C0140,2025-Q3,8,Scale-up,0,24
HX-C0141,2024-Q1,2,AI native,0,6
HX-C0142,2023-Q4,1,Enterprise,0,3
HX-C0143,2025-Q1,6,Scale-up,0,18
HX-C0144,2026-Q2,11,Scale-up,0,33
HX-C0145,2025-Q3,8,Research,0,24
HX-C0146,2024-Q4,5,Enterprise,0,15
HX-C0147,2025-Q3,8,Scale-up,0,24
HX-C0148,2024-Q3,4,Scale-up,0,12
HX-C0149,2023-Q4,1,Scale-up,0,3
HX-C0150,2024-Q4,5,AI native,0,15
HX-C0151,2025-Q3,8,Scale-up,0,24
HX-C0152,2025-Q1,6,AI native,0,18
HX-C0153,2025-Q3,8,Enterprise,0,24
HX-C0154,2024-Q4,5,Scale-up,0,15
HX-C0155,2024-Q1,2,Scale-up,0,6
HX-C0156,2023-Q3,0,Enterprise,0,0
HX-C0157,2026-Q1,10,AI native,0,30
HX-C0158,2024-Q3,4,AI native,0,12
HX-C0159,2023-Q4,1,Scale-up,0,3
HX-C0160,2024-Q3,4,Scale-up,0,12
HX-C0161,2023-Q4,1,Enterprise,0,3
HX-C0162,2024-Q4,5,AI native,0,15
HX-C0163,2025-Q1,6,Enterprise,0,18
HX-C0164,2026-Q1,10,Scale-up,0,30
HX-C0165,2026-Q2,11,AI native,0,33
HX-C0166,2023-Q4,1,AI native,0,3
HX-C0167,2025-Q3,8,AI native,0,24
HX-C0168,2023-Q4,1,Enterprise,0,3
HX-C0169,2024-Q4,5,Research,0,15
HX-C0170,2026-Q2,11,Scale-up,0,33
HX-C0171,2026-Q1,10,Research,0,30
HX-C0172,2024-Q1,2,Scale-up,0,6
HX-C0173,2025-Q4,9,Scale-up,0,27
HX-C0174,2023-Q3,0,AI native,0,0
HX-C0175,2025-Q4,9,Research,0,27
HX-C0176,2025-Q4,9,Enterprise,0,27
HX-C0177,2025-Q2,7,Scale-up,0,21
HX-C0178,2025-Q3,8,AI native,0,24
HX-C0179,2025-Q4,9,Enterprise,0,27
HX-C0180,2025-Q2,7,AI native,0,21
HX-C0181,2024-Q1,2,AI native,0,6
HX-C0182,2025-Q4,9,Research,0,27
HX-C0183,2026-Q2,11,Scale-up,0,33
HX-C0184,2024-Q1,2,Enterprise,0,6
HX-C0185,2024-Q4,5,Research,0,15
HX-C0186,2024-Q3,4,Scale-up,0,12
HX-C0187,2024-Q1,2,Research,0,6
HX-C0188,2026-Q1,10,Scale-up,0,30
HX-C0189,2024-Q2,3,Enterprise,0,9
HX-C0190,2026-Q1,10,Enterprise,0,30
HX-C0191,2026-Q2,11,AI native,0,33
HX-C0192,2025-Q4,9,AI native,0,27
HX-C0193,2026-Q1,10,Scale-up,0,30
HX-C0194,2025-Q3,8,AI native,0,24
HX-C0195,2023-Q3,0,Enterprise,0,0
HX-C0196,2025-Q2,7,AI native,0,21
HX-C0197,2026-Q2,11,Research,0,33
HX-C0198,2026-Q1,10,Enterprise,0,30
HX-C0199,2023-Q4,1,Enterprise,0,3
HX-C0200,2025-Q2,7,Enterprise,0,21
HX-C0201,2025-Q4,9,AI native,0,27
HX-C0202,2025-Q4,9,Scale-up,0,27
HX-C0203,2024-Q3,4,Enterprise,0,12
HX-C0204,2025-Q4,9,Scale-up,0,27
HX-C0205,2025-Q3,8,Research,0,24
HX-C0206,2024-Q2,3,Scale-up,0,9
HX-C0207,2025-Q3,8,Enterprise,0,24
HX-C0208,2025-Q1,6,AI native,0,18
HX-C0209,2026-Q2,11,Research,0,33
HX-C0210,2025-Q2,7,AI native,0,21
HX-C0211,2026-Q2,11,Scale-up,0,33
HX-C0212,2025-Q1,6,Scale-up,0,18
HX-C0213,2025-Q4,9,Enterprise,0,27
HX-C0214,2024-Q1,2,Scale-up,0,6
HX-C0215,2023-Q4,1,Enterprise,0,3
HX-C0216,2024-Q1,2,Enterprise,0,6
HX-C0217,2025-Q1,6,AI native,0,18
HX-C0218,2024-Q3,4,Enterprise,0,12
HX-C0219,2025-Q2,7,Enterprise,0,21
HX-C0220,2024-Q3,4,Research,0,12
HX-C0221,2024-Q3,4,Scale-up,0,12
HX-C0222,2025-Q2,7,Scale-up,0,21
HX-C0223,2026-Q2,11,Research,0,33
HX-C0224,2026-Q1,10,Scale-up,0,30
HX-C0225,2025-Q2,7,Enterprise,0,21
HX-C0226,2024-Q2,3,Enterprise,0,9
HX-C0227,2024-Q3,4,AI native,0,12
HX-C0228,2024-Q3,4,AI native,0,12
HX-C0229,2025-Q1,6,Scale-up,0,18
HX-C0230,2025-Q1,6,AI native,0,18
HX-C0231,2024-Q1,2,AI native,0,6
HX-C0232,2025-Q2,7,AI native,0,21
HX-C0233,2025-Q1,6,AI native,0,18
HX-C0234,2024-Q1,2,Scale-up,0,6
HX-C0235,2025-Q4,9,AI native,0,27
HX-C0236,2025-Q4,9,AI native,0,27
HX-C0237,2025-Q3,8,AI native,0,24
HX-C0238,2026-Q1,10,Research,0,30
HX-C0239,2024-Q4,5,Scale-up,0,15
HX-C0240,2023-Q4,1,AI native,0,3
HX-C0241,2023-Q3,0,Scale-up,0,0
HX-C0242,2025-Q1,6,Enterprise,0,18
HX-C0243,2024-Q2,3,AI native,0,9
HX-C0244,2026-Q1,10,Scale-up,0,30
HX-C0245,2023-Q4,1,Scale-up,0,3
HX-C0246,2025-Q3,8,Scale-up,0,24
HX-C0247,2026-Q2,11,Research,0,33
HX-C0248,2025-Q1,6,Scale-up,0,18
HX-C0249,2026-Q1,10,Enterprise,0,30
HX-C0250,2025-Q4,9,Scale-up,0,27
HX-C0251,2025-Q4,9,Scale-up,0,27
HX-C0252,2025-Q1,6,Scale-up,0,18
HX-C0253,2026-Q1,10,AI native,0,30
HX-C0254,2023-Q4,1,Research,0,3
HX-C0255,2026-Q2,11,Enterprise,0,33
HX-C0256,2025-Q3,8,Scale-up,0,24
HX-C0257,2025-Q4,9,Scale-up,0,27
HX-C0258,2024-Q2,3,AI native,0,9
HX-C0259,2023-Q3,0,Scale-up,0,0
HX-C0260,2025-Q4,9,Research,0,27
HX-C0261,2024-Q4,5,Scale-up,0,15
HX-C0262,2024-Q3,4,AI native,0,12
HX-C0263,2024-Q4,5,Enterprise,0,15
HX-C0264,2023-Q4,1,Enterprise,0,3
HX-C0265,2024-Q1,2,Scale-up,0,6
HX-C0266,2025-Q1,6,Scale-up,0,18
HX-C0267,2024-Q2,3,Scale-up,0,9
HX-C0268,2025-Q1,6,Scale-up,0,18
HX-C0269,2024-Q2,3,Scale-up,0,9
HX-C0270,2023-Q3,0,Research,0,0
HX-C0271,2024-Q1,2,Scale-up,0,6
HX-C0272,2024-Q3,4,Enterprise,0,12
HX-C0273,2023-Q4,1,AI native,0,3
HX-C0274,2023-Q4,1,Scale-up,0,3
HX-C0275,2025-Q2,7,AI native,0,21
HX-C0276,2026-Q1,10,Research,0,30
HX-C0277,2026-Q2,11,Scale-up,0,33
HX-C0278,2026-Q2,11,Enterprise,0,33
HX-C0279,2025-Q2,7,Enterprise,0,21
HX-C0280,2025-Q4,9,AI native,0,27
HX-C0281,2024-Q3,4,Research,0,12
HX-C0282,2024-Q1,2,Scale-up,0,6
HX-C0283,2023-Q3,0,Scale-up,0,0
HX-C0284,2025-Q2,7,Scale-up,0,21
HX-C0285,2026-Q1,10,AI native,0,30
HX-C0286,2025-Q1,6,Scale-up,0,18
HX-C0287,2023-Q3,0,Scale-up,0,0
HX-C0288,2025-Q2,7,Scale-up,0,21
HX-C0289,2025-Q1,6,AI native,0,18
HX-C0290,2026-Q2,11,AI native,0,33
HX-C0291,2026-Q1,10,Scale-up,0,30
HX-C0292,2026-Q1,10,Scale-up,0,30
HX-C0293,2024-Q2,3,Scale-up,0,9
HX-C0294,2024-Q3,4,Research,0,12
HX-C0295,2025-Q3,8,Research,0,24
HX-C0296,2024-Q2,3,AI native,0,9
HX-C0297,2025-Q4,9,AI native,0,27
HX-C0298,2024-Q1,2,Scale-up,0,6
HX-C0299,2025-Q4,9,Enterprise,0,27
HX-C0300,2024-Q4,5,Scale-up,0,15
HX-C0301,2026-Q1,10,Enterprise,0,30
HX-C0302,2025-Q1,6,Enterprise,0,18
HX-C0303,2023-Q3,0,Enterprise,0,0
HX-C0304,2023-Q4,1,AI native,0,3
HX-C0305,2025-Q2,7,Scale-up,0,21
HX-C0306,2025-Q3,8,Enterprise,0,24
HX-C0307,2026-Q1,10,Scale-up,0,30
HX-C0308,2024-Q2,3,Enterprise,0,9
HX-C0309,2024-Q2,3,Research,0,9
HX-C0310,2024-Q3,4,AI native,0,12
HX-C0311,2025-Q2,7,AI native,0,21
HX-C0312,2026-Q1,10,Scale-up,0,30
HX-C0313,2024-Q2,3,Enterprise,0,9
HX-C0314,2025-Q3,8,Research,0,24
HX-C0315,2025-Q3,8,Research,0,24
HX-C0316,2025-Q2,7,Research,0,21
HX-C0317,2024-Q4,5,AI native,0,15
HX-C0318,2023-Q3,0,AI native,0,0
HX-C0319,2024-Q2,3,AI native,0,9
HX-C0320,2025-Q2,7,Scale-up,0,21
HX-C0321,2023-Q4,1,Scale-up,0,3
HX-C0322,2026-Q1,10,AI native,0,30
HX-C0323,2025-Q3,8,AI native,0,24
HX-C0324,2025-Q3,8,Enterprise,0,24
HX-C0325,2024-Q4,5,Enterprise,0,15
HX-C0326,2025-Q4,9,Research,0,27
HX-C0327,2023-Q3,0,Scale-up,0,0
HX-C0328,2026-Q1,10,Scale-up,0,30
HX-C0329,2025-Q4,9,AI native,0,27
HX-C0330,2023-Q4,1,AI native,0,3
HX-C0331,2026-Q1,10,AI native,0,30
HX-C0332,2026-Q1,10,Enterprise,0,30
HX-C0333,2025-Q1,6,Enterprise,0,18
HX-C0334,2024-Q4,5,Scale-up,0,15
HX-C0335,2024-Q2,3,Scale-up,0,9
HX-C0336,2023-Q4,1,AI native,0,3
HX-C0337,2026-Q2,11,AI native,0,33
HX-C0338,2025-Q4,9,Enterprise,0,27
HX-C0339,2026-Q2,11,Enterprise,0,33
HX-C0340,2025-Q2,7,Scale-up,0,21
HX-C0341,2025-Q4,9,Enterprise,0,27
HX-C0342,2023-Q4,1,Research,0,3
HX-C0343,2024-Q4,5,Enterprise,0,15
HX-C0344,2023-Q3,0,Research,0,0
HX-C0345,2025-Q1,6,Enterprise,0,18
HX-C0346,2025-Q2,7,AI native,0,21
HX-C0347,2024-Q4,5,Scale-up,0,15
HX-C0348,2024-Q1,2,Enterprise,0,6
HX-C0349,2024-Q2,3,Research,0,9
HX-C0350,2023-Q3,0,Scale-up,0,0
HX-C0351,2024-Q1,2,Enterprise,0,6
HX-C0352,2024-Q1,2,Scale-up,0,6
HX-C0353,2025-Q1,6,Research,0,18
HX-C0354,2025-Q4,9,AI native,0,27
HX-C0355,2025-Q2,7,Scale-up,0,21
HX-C0356,2025-Q1,6,Scale-up,0,18
HX-C0357,2025-Q1,6,AI native,0,18
HX-C0358,2025-Q4,9,Scale-up,0,27
HX-C0359,2024-Q3,4,Enterprise,0,12
HX-C0360,2025-Q1,6,Scale-up,0,18
HX-C0361,2023-Q3,0,Research,0,0
HX-C0362,2026-Q2,11,Enterprise,0,33
HX-C0363,2025-Q3,8,Enterprise,0,24
HX-C0364,2024-Q4,5,AI native,0,15
HX-C0365,2023-Q3,0,AI native,0,0
HX-C0366,2026-Q1,10,Enterprise,0,30
HX-C0367,2024-Q2,3,AI native,0,9
HX-C0368,2024-Q1,2,Research,0,6
HX-C0369,2026-Q1,10,Scale-up,0,30
HX-C0370,2023-Q3,0,Scale-up,0,0
HX-C0371,2025-Q4,9,Scale-up,0,27
HX-C0372,2024-Q2,3,AI native,0,9
HX-C0373,2026-Q2,11,Research,0,33
HX-C0374,2025-Q1,6,Scale-up,0,18
HX-C0375,2023-Q3,0,Scale-up,0,0
HX-C0376,2024-Q1,2,AI native,0,6
HX-C0377,2023-Q4,1,Scale-up,0,3
HX-C0378,2024-Q2,3,Enterprise,0,9
HX-C0379,2026-Q2,11,Enterprise,0,33
HX-C0380,2025-Q1,6,Scale-up,0,18
HX-C0381,2023-Q4,1,AI native,0,3
HX-C0382,2025-Q1,6,Enterprise,0,18
HX-C0383,2025-Q2,7,Research,0,21
HX-C0384,2024-Q2,3,Scale-up,0,9
HX-C0385,2025-Q2,7,Scale-up,0,21
HX-C0386,2025-Q4,9,Enterprise,0,27
HX-C0387,2023-Q4,1,Scale-up,0,3
HX-C0388,2023-Q3,0,AI native,0,0
HX-C0389,2026-Q2,11,Enterprise,0,33
HX-C0390,2025-Q3,8,AI native,0,24
HX-C0391,2026-Q2,11,Scale-up,0,33
HX-C0392,2023-Q4,1,Enterprise,0,3
HX-C0393,2025-Q3,8,Research,0,24
HX-C0394,2026-Q2,11,Scale-up,0,33
HX-C0395,2024-Q2,3,Scale-up,0,9
HX-C0396,2023-Q4,1,Scale-up,0,3
HX-C0397,2024-Q2,3,Scale-up,0,9
HX-C0398,2024-Q4,5,Enterprise,0,15
HX-C0399,2023-Q4,1,Research,0,3
HX-C0400,2023-Q3,0,Enterprise,0,0
HX-C0401,2025-Q1,6,Research,0,18
HX-C0402,2026-Q2,11,Scale-up,0,33
HX-C0403,2023-Q3,0,Research,0,0
HX-C0404,2026-Q1,10,Scale-up,0,30
HX-C0405,2025-Q4,9,AI native,0,27
HX-C0406,2025-Q1,6,Scale-up,0,18
HX-C0407,2024-Q2,3,Enterprise,0,9
HX-C0408,2024-Q3,4,Enterprise,0,12
HX-C0409,2025-Q1,6,AI native,0,18
HX-C0410,2023-Q3,0,AI native,0,0
HX-C0411,2025-Q4,9,Scale-up,0,27
HX-C0412,2025-Q3,8,Scale-up,0,24
HX-C0413,2025-Q2,7,Scale-up,0,21
HX-C0414,2025-Q1,6,AI native,0,18
HX-C0415,2023-Q3,0,Scale-up,0,0
HX-C0416,2026-Q1,10,AI native,0,30
HX-C0417,2024-Q2,3,Research,0,9
HX-C0418,2024-Q2,3,Scale-up,0,9
HX-C0419,2024-Q1,2,Scale-up,0,6
HX-C0420,2024-Q1,2,Enterprise,0,6
HX-C0421,2024-Q1,2,Scale-up,0,6
HX-C0422,2026-Q2,11,Scale-up,0,33
HX-C0423,2024-Q1,2,AI native,0,6
HX-C0424,2024-Q1,2,Research,0,6
HX-C0425,2024-Q2,3,Enterprise,0,9
HX-C0426,2025-Q1,6,Scale-up,0,18
HX-C0427,2024-Q2,3,AI native,0,9
HX-C0428,2026-Q2,11,Scale-up,0,33
HX-C0429,2025-Q4,9,Enterprise,0,27
HX-C0430,2025-Q2,7,AI native,0,21
HX-C0431,2025-Q3,8,AI native,0,24
HX-C0432,2023-Q3,0,AI native,0,0
HX-C0433,2026-Q1,10,Enterprise,0,30
HX-C0434,2024-Q4,5,Scale-up,0,15
HX-C0435,2024-Q3,4,Enterprise,0,12
HX-C0436,2026-Q1,10,Enterprise,0,30
HX-C0437,2024-Q2,3,AI native,0,9
HX-C0438,2023-Q3,0,AI native,0,0
HX-C0439,2025-Q1,6,Scale-up,0,18
HX-C0440,2024-Q1,2,Scale-up,0,6
HX-C0441,2023-Q3,0,Enterprise,0,0
HX-C0442,2025-Q3,8,AI native,0,24
HX-C0443,2024-Q3,4,AI native,0,12
HX-C0444,2025-Q1,6,Scale-up,0,18
HX-C0445,2026-Q2,11,Enterprise,0,33
HX-C0446,2024-Q1,2,AI native,0,6
HX-C0447,2025-Q4,9,Enterprise,0,27
HX-C0448,2023-Q4,1,Research,0,3
HX-C0449,2024-Q1,2,Scale-up,0,6
HX-C0450,2024-Q3,4,Enterprise,0,12
HX-C0451,2025-Q3,8,Enterprise,0,24
HX-C0452,2026-Q1,10,AI native,0,30
HX-C0453,2026-Q2,11,AI native,0,33
HX-C0454,2025-Q4,9,AI native,0,27
HX-C0455,2023-Q3,0,AI native,0,0
HX-C0456,2024-Q2,3,AI native,0,9
HX-C0457,2024-Q1,2,Scale-up,0,6
HX-C0458,2025-Q3,8,AI native,0,24
HX-C0459,2024-Q4,5,Enterprise,0,15
HX-C0460,2024-Q1,2,AI native,0,6
HX-C0461,2024-Q3,4,Scale-up,0,12
HX-C0462,2026-Q2,11,AI native,0,33
HX-C0463,2023-Q4,1,Scale-up,0,3
HX-C0464,2026-Q2,11,Research,0,33
HX-C0465,2024-Q3,4,AI native,0,12
HX-C0466,2024-Q1,2,Scale-up,0,6
HX-C0467,2024-Q3,4,AI native,0,12
HX-C0468,2025-Q2,7,AI native,0,21
HX-C0469,2023-Q3,0,Scale-up,0,0
HX-C0470,2026-Q2,11,Enterprise,0,33
HX-C0471,2025-Q4,9,Enterprise,0,27
HX-C0472,2024-Q4,5,Scale-up,0,15
HX-C0473,2024-Q4,5,AI native,0,15
HX-C0474,2023-Q4,1,Enterprise,0,3
HX-C0475,2024-Q3,4,Enterprise,0,12
HX-C0476,2024-Q1,2,AI native,0,6
HX-C0477,2024-Q1,2,AI native,0,6
HX-C0478,2023-Q3,0,AI native,0,0
HX-C0479,2025-Q1,6,Scale-up,0,18
HX-C0480,2026-Q2,11,Enterprise,0,33
