month,customer_id,cohort_index,design_partner,active,managed_spend_cents,take_rate_bps,platform_fee_cents,revenue_cents,compute_cost_cents,telemetry_cost_cents,support_cost_cents,cogs_cents
2025-07,HX-C0002,4,0,1,22538751,235,85000,614660,129319,32329,28527,190175
2025-08,HX-C0002,4,0,1,22847776,235,85000,621922,129916,32479,28659,191054
2025-09,HX-C0002,4,0,1,23261224,235,85000,631638,131001,32750,28898,192649
2025-10,HX-C0002,4,0,1,23955595,235,85000,647956,133416,33354,29431,196201
2025-11,HX-C0002,4,0,1,24499532,235,85000,660739,135060,33765,29793,198618
2025-12,HX-C0002,4,0,1,25220155,235,85000,677673,137507,34376,30334,202217
2026-01,HX-C0002,4,0,1,26025745,235,85000,696605,140307,35076,30951,206334
2026-02,HX-C0002,4,0,1,26356245,235,85000,704371,140817,35204,31064,207085
2026-03,HX-C0002,4,0,1,26615089,235,85000,710454,140970,35242,31098,207310
2026-04,HX-C0002,4,0,1,27552946,235,85000,732494,144248,36062,31820,212130
2026-05,HX-C0002,4,0,1,28082924,235,85000,744948,145586,36396,32116,214098
2026-06,HX-C0002,4,0,1,28728600,235,85000,760122,147414,36853,32519,216786
2026-07,HX-C0002,4,0,1,29905389,235,85000,787776,151599,37899,33442,222940
2024-11,HX-C0003,5,0,1,6078072,285,85000,258225,57418,14354,12667,84439
2024-12,HX-C0003,5,0,1,6256953,285,85000,263323,58158,14539,12830,85527
2025-01,HX-C0003,5,0,1,6395286,285,85000,267265,58628,14657,12934,86219
2025-02,HX-C0003,5,0,1,6578087,285,85000,272475,59364,14841,13095,87300
2025-03,HX-C0003,5,0,1,6718404,285,85000,276474,59822,14955,13197,87974
2025-04,HX-C0003,5,0,1,6924421,285,85000,282345,60670,15167,13384,89221
2025-05,HX-C0003,5,0,1,7112567,285,85000,287708,61391,15347,13544,90282
2025-06,HX-C0003,5,0,1,7330768,285,85000,293926,62279,15569,13739,91587
2025-07,HX-C0003,5,0,1,7537584,285,85000,299821,63079,15769,13916,92764
2025-08,HX-C0003,5,0,1,7875022,285,85000,309438,64640,16160,14259,95059
2025-09,HX-C0003,5,0,1,7939231,285,85000,311268,64556,16139,14241,94936
2025-10,HX-C0003,5,0,1,8142845,285,85000,317071,65286,16321,14402,96009
2025-11,HX-C0003,5,0,1,8429688,285,85000,325246,66482,16620,14666,97768
2025-12,HX-C0003,5,0,1,8581752,285,85000,329579,66875,16718,14753,98346
2026-01,HX-C0003,5,0,1,8724945,285,85000,333660,67204,16801,14825,98830
2026-02,HX-C0003,5,0,1,8823362,285,85000,336465,67265,16816,14839,98920
2026-03,HX-C0003,5,0,1,9071445,285,85000,343536,68165,17041,15037,100243
2026-04,HX-C0003,5,0,1,9207048,285,85000,347400,68412,17103,15092,100607
2026-05,HX-C0003,5,0,1,9516782,285,85000,356228,69617,17404,15358,102379
2026-06,HX-C0003,5,0,1,9798491,285,85000,364256,70641,17660,15584,103885
2026-07,HX-C0003,5,0,1,9980616,285,85000,369447,71096,17774,15683,104553
2025-05,HX-C0004,7,0,1,11476766,285,85000,412087,87932,21983,19397,129312
2025-06,HX-C0004,7,0,1,11637680,285,85000,416673,88287,22071,19477,129835
2025-07,HX-C0004,7,0,1,11977045,285,85000,426345,89699,22424,19788,131911
2025-08,HX-C0004,7,0,1,12298878,285,85000,435518,90977,22744,20070,133791
2025-09,HX-C0004,7,0,1,12599452,285,85000,444084,92102,23025,20318,135445
2025-10,HX-C0004,7,0,1,12988247,285,85000,455165,93719,23429,20675,137823
2025-11,HX-C0004,7,0,1,13112482,285,85000,458705,93762,23440,20684,137886
2025-12,HX-C0004,7,0,1,13543095,285,85000,470978,95566,23891,21082,140539
2026-01,HX-C0004,7,0,1,14233816,285,85000,490663,98827,24706,21801,145334
2026-02,HX-C0004,7,0,1,14875346,285,85000,508947,101748,25437,22445,149630
2026-03,HX-C0004,7,0,1,15449161,285,85000,525301,104231,26057,22994,153282
2026-04,HX-C0004,7,0,1,15700999,285,85000,532478,104859,26214,23132,154205
2026-05,HX-C0004,7,0,1,16107912,285,85000,544075,106329,26582,23456,156367
2026-06,HX-C0004,7,0,1,16576632,285,85000,557434,108106,27026,23848,158980
2026-07,HX-C0004,7,0,1,17128321,285,85000,573157,110298,27574,24331,162203
2026-05,HX-C0005,11,0,1,40626976,285,85000,1242868,242896,60724,53580,357200
2026-06,HX-C0005,11,0,1,41491350,285,85000,1267503,245813,61453,54225,361491
2026-07,HX-C0005,11,0,1,41617164,285,85000,1271089,244608,61152,53958,359718
2025-11,HX-C0006,9,0,1,14723808,285,85000,504628,103149,25787,22755,151691
2025-12,HX-C0006,9,0,1,15041724,285,85000,513689,104233,26058,22993,153284
2026-01,HX-C0006,9,0,1,15406734,285,85000,524091,105559,26389,23287,155235
2026-02,HX-C0006,9,0,1,16339268,285,85000,550669,110089,27522,24285,161896
2026-03,HX-C0006,9,0,1,16792817,285,85000,563595,111830,27957,24670,164457
2026-04,HX-C0006,9,0,1,17251945,285,85000,576680,113564,28391,25051,167006
2026-05,HX-C0006,9,0,1,17915855,285,85000,595601,116399,29099,25677,171175
2026-06,HX-C0006,9,0,1,18809509,285,85000,621071,120447,30111,26571,177129
2026-07,HX-C0006,9,0,1,19100594,285,85000,629366,121114,30278,26718,178110
2024-08,HX-C0007,4,0,1,27977683,285,85000,882363,200162,50040,44154,294356
2024-09,HX-C0007,4,0,1,28049133,285,85000,884400,199301,49825,43964,293090
2024-10,HX-C0007,4,0,1,28557341,285,85000,898884,201220,50305,44387,295912
2024-11,HX-C0007,4,0,1,29096433,285,85000,914248,203292,50823,44844,298959
2024-12,HX-C0007,4,0,1,29959212,285,85000,938837,207355,51838,45741,304934
2025-01,HX-C0007,4,0,1,30808145,285,85000,963032,211258,52814,46602,310674
2025-02,HX-C0007,4,0,1,31608068,285,85000,985829,214784,53696,47379,315859
2025-03,HX-C0007,4,0,1,32265718,285,85000,1004572,217364,54341,47949,319654
2025-04,HX-C0007,4,0,1,33373606,285,85000,1036147,222646,55661,49115,327422
2025-05,HX-C0007,4,0,1,34067591,285,85000,1055926,225317,56329,49703,331349
2025-06,HX-C0007,4,0,1,34175942,285,85000,1059014,224391,56097,49500,329988
2025-07,HX-C0007,4,0,1,35167846,285,85000,1087283,228755,57188,50462,336405
2025-08,HX-C0007,4,0,1,35344177,285,85000,1092309,228178,57044,50335,335557
2025-09,HX-C0007,4,0,1,36960644,285,85000,1138378,236099,59024,52082,347205
2025-10,HX-C0007,4,0,1,37784005,285,85000,1161844,239228,59807,52771,351806
2025-11,HX-C0007,4,0,1,38117825,285,85000,1171358,239434,59858,52818,352110
2025-12,HX-C0007,4,0,1,38826186,285,85000,1191546,241778,60444,53335,355557
2026-01,HX-C0007,4,0,1,39801428,285,85000,1219340,245594,61398,54176,361168
2026-02,HX-C0007,4,0,1,40395696,285,85000,1236277,247156,61789,54520,363465
2026-03,HX-C0007,4,0,1,41031911,285,85000,1254409,248904,62226,54906,366036
2026-04,HX-C0007,4,0,1,42011490,285,85000,1282327,252525,63131,55705,371361
2026-05,HX-C0007,4,0,1,43252195,285,85000,1317687,257518,64379,56806,378703
2026-06,HX-C0007,4,0,1,44728127,285,85000,1359751,263704,65926,58170,387800
2026-07,HX-C0007,4,0,1,47253145,285,85000,1431714,275519,68879,60777,405175
2025-02,HX-C0008,6,0,1,16938273,235,85000,483049,105242,26310,23216,154768
2025-03,HX-C0008,6,0,1,17503311,235,85000,496327,107393,26848,23690,157931
2025-04,HX-C0008,6,0,1,17994114,235,85000,507861,109129,27282,24073,160484
2025-05,HX-C0008,6,0,1,18339483,235,85000,515977,110100,27525,24288,161913
2025-06,HX-C0008,6,0,1,18791194,235,85000,526593,111578,27894,24614,164086
2025-07,HX-C0008,6,0,1,18848201,235,85000,527932,111072,27768,24502,163342
2025-08,HX-C0008,6,0,1,19153811,235,85000,535114,111783,27945,24659,164387
2025-09,HX-C0008,6,0,1,19593552,235,85000,545448,113125,28281,24955,166361
2025-10,HX-C0008,6,0,1,19521171,235,85000,543747,111959,27989,24698,164646
2025-11,HX-C0008,6,0,1,19865753,235,85000,551845,112801,28200,24883,165884
2025-12,HX-C0008,6,0,1,20589284,235,85000,568848,115425,28856,25463,169744
2026-01,HX-C0008,6,0,1,20725088,235,85000,572039,115217,28804,25416,169437
2026-02,HX-C0008,6,0,1,20826257,235,85000,574417,114837,28709,25332,168878
2026-03,HX-C0008,6,0,1,21104007,235,85000,580944,115272,28818,25429,169519
2026-04,HX-C0008,6,0,1,21356561,235,85000,586879,115572,28893,25495,169960
2026-05,HX-C0008,6,0,1,21835629,235,85000,598137,116894,29223,25787,171904
2026-06,HX-C0008,6,0,1,22569531,235,85000,615383,119344,29836,26327,175507
2026-07,HX-C0008,6,0,1,23175906,235,85000,629633,121166,30291,26729,178186
2026-05,HX-C0009,11,0,1,21931248,285,85000,710040,138764,34691,30610,204065
2026-06,HX-C0009,11,0,1,22658764,285,85000,730774,141722,35430,31264,208416
2026-07,HX-C0009,11,0,1,23480711,285,85000,754200,145137,36284,32017,213438
2023-11,HX-C0010,1,1,1,22831952,235,85000,621550,149365,37341,32949,219655
2023-12,HX-C0010,1,1,1,24858722,235,85000,669179,159810,39952,35253,235015
2024-01,HX-C0010,1,1,1,26840014,235,85000,715740,169859,42464,37470,249793
2024-02,HX-C0010,1,1,1,28371597,235,85000,751732,177276,44319,39105,260700
2024-03,HX-C0010,1,1,1,30518045,235,85000,802174,187971,46992,41466,276429
2024-04,HX-C0010,1,1,1,32350229,235,85000,845230,196796,49199,43411,289406
2024-05,HX-C0010,1,1,1,34239199,235,85000,889621,205801,51450,45398,302649
2024-06,HX-C0010,1,1,1,36622373,235,85000,945625,217342,54335,47944,319621
2024-07,HX-C0010,1,1,1,39281416,235,85000,1008113,230196,57549,50779,338524
2024-08,HX-C0010,1,1,1,41997297,235,85000,1071936,243165,60791,53641,357597
2024-09,HX-C0010,1,1,1,45169876,235,85000,1146492,258363,64590,56994,379947
2024-10,HX-C0010,1,1,1,48137946,235,85000,1216241,272262,68065,60059,400386
2024-11,HX-C0010,1,1,1,52135986,235,85000,1310195,291334,72833,64266,428433
2024-12,HX-C0010,1,1,1,56147687,235,85000,1404470,310196,77549,68426,456171
2025-01,HX-C0010,1,1,1,60428183,235,85000,1505062,330162,82540,72831,485533
2025-02,HX-C0010,1,1,1,64457687,235,85000,1599755,348541,87135,76885,512561
2025-03,HX-C0010,1,1,1,68530932,235,85000,1695476,366860,91715,80925,539500
2025-04,HX-C0010,1,1,1,74209397,235,85000,1828920,392997,98249,86692,577938
2025-05,HX-C0010,1,1,1,77857649,235,85000,1914654,408556,102139,90123,600818
2025-06,HX-C0010,1,1,1,82771692,235,85000,2030134,430160,107540,94889,632589
2025-07,HX-C0010,1,1,1,90890659,235,85000,2220930,467265,116816,103074,687155
2025-08,HX-C0010,1,1,1,95580877,235,85000,2331150,486967,121741,107421,716129
2025-09,HX-C0010,1,1,1,101779763,235,85000,2476824,513693,128423,113315,755431
2025-10,HX-C0010,1,1,1,109288299,235,85000,2653275,546319,136579,120513,803411
2025-11,HX-C0010,1,1,1,118953172,235,85000,2880399,588775,147193,129879,865847
2025-12,HX-C0010,1,1,1,125560696,235,85000,3035676,615974,153993,135878,905845
2026-01,HX-C0010,1,1,1,132721006,235,85000,3203943,645324,161331,142352,949007
2026-02,HX-C0010,1,1,1,141542142,235,85000,3411240,681974,170493,150437,1002904
2026-03,HX-C0010,1,1,1,152883272,235,85000,3677756,729754,182438,160977,1073169
2026-04,HX-C0010,1,1,1,162480166,235,85000,3903283,768665,192166,169559,1130390
2026-05,HX-C0010,1,1,1,177655778,235,85000,4259910,832522,208130,183646,1224298
2026-06,HX-C0010,1,1,1,190555307,235,85000,4563049,884939,221234,195208,1301381
2026-07,HX-C0010,1,1,1,204354752,235,85000,4887336,940518,235129,207469,1383116
2024-05,HX-C0011,3,0,1,8340049,235,85000,280991,65003,16250,14340,95593
2024-06,HX-C0011,3,0,1,8639927,235,85000,288038,66202,16550,14604,97356
2024-07,HX-C0011,3,0,1,9042378,235,85000,297495,67930,16982,14986,99898
2024-08,HX-C0011,3,0,1,9204727,235,85000,301311,68351,17087,15079,100517
2024-09,HX-C0011,3,0,1,9589971,235,85000,310364,69940,17485,15429,102854
2024-10,HX-C0011,3,0,1,9986843,235,85000,319690,71563,17890,15788,105241
2024-11,HX-C0011,3,0,1,10122559,235,85000,322880,71795,17948,15838,105581
2024-12,HX-C0011,3,0,1,10301767,235,85000,327091,72242,18060,15937,106239
2025-01,HX-C0011,3,0,1,10471384,235,85000,331077,72627,18156,16022,106805
2025-02,HX-C0011,3,0,1,10783319,235,85000,338407,73729,18432,16264,108425
2025-03,HX-C0011,3,0,1,11172308,235,85000,347549,75201,18800,16589,110590
2025-04,HX-C0011,3,0,1,11534838,235,85000,356068,76511,19127,16879,112517
2025-05,HX-C0011,3,0,1,11665511,235,85000,359139,76633,19158,16906,112697
2025-06,HX-C0011,3,0,1,11760768,235,85000,361378,76571,19142,16892,112605
2025-07,HX-C0011,3,0,1,12118474,235,85000,369784,77799,19449,17163,114411
2025-08,HX-C0011,3,0,1,12622880,235,85000,381637,79721,19930,17587,117238
2025-09,HX-C0011,3,0,1,13034771,235,85000,391317,81158,20289,17904,119351
2025-10,HX-C0011,3,0,1,12939082,235,85000,389068,80110,20027,17672,117809
2025-11,HX-C0011,3,0,1,13281938,235,85000,397125,81175,20293,17907,119375
2025-12,HX-C0011,3,0,1,13549177,235,85000,403405,81855,20463,18058,120376
2026-01,HX-C0011,3,0,1,13778147,235,85000,408786,82335,20583,18164,121082
2026-02,HX-C0011,3,0,1,14269069,235,85000,420323,84030,21007,18537,123574
2026-03,HX-C0011,3,0,1,14565597,235,85000,427291,84784,21196,18703,124683
2026-04,HX-C0011,3,0,1,15175106,235,85000,441614,86965,21741,19185,127891
2026-05,HX-C0011,3,0,1,15247431,235,85000,443314,86637,21659,19112,127408
2026-06,HX-C0011,3,0,1,15746085,235,85000,455032,88247,22061,19467,129775
2026-07,HX-C0011,3,0,1,16527441,235,85000,473394,91099,22774,20097,133970
2024-08,HX-C0012,4,0,1,20377613,285,85000,665761,151025,37756,33316,222097
2024-09,HX-C0012,4,0,1,20739353,285,85000,676071,152353,38088,33608,224049
2024-10,HX-C0012,4,0,1,20877592,285,85000,680011,152224,38056,33579,223859
2024-11,HX-C0012,4,0,1,21898644,285,85000,709111,157677,39419,34783,231879
2024-12,HX-C0012,4,0,1,22042393,285,85000,713208,157521,39380,34748,231649
2025-01,HX-C0012,4,0,1,22793497,285,85000,734614,161150,40287,35549,236986
2025-02,HX-C0012,4,0,1,23736984,285,85000,761504,165909,41477,36599,243985
2025-03,HX-C0012,4,0,1,24392103,285,85000,780174,168810,42202,37239,248251
2025-04,HX-C0012,4,0,1,24890034,285,85000,794365,170692,42673,37654,251019
2025-05,HX-C0012,4,0,1,25147541,285,85000,801704,171070,42767,37737,251574
2025-06,HX-C0012,4,0,1,25829971,285,85000,821154,173992,43498,38381,255871
2025-07,HX-C0012,4,0,1,26694857,285,85000,845803,177949,44487,39255,261691
2025-08,HX-C0012,4,0,1,26893996,285,85000,851478,177870,44467,39237,261574
2025-09,HX-C0012,4,0,1,27282380,285,85000,862547,178891,44722,39463,263076
2025-10,HX-C0012,4,0,1,28543216,285,85000,898481,185000,46250,40810,272060
2025-11,HX-C0012,4,0,1,29384896,285,85000,922469,188559,47139,41596,277294
2025-12,HX-C0012,4,0,1,30005818,285,85000,940165,190770,47692,42083,280545
2026-01,HX-C0012,4,0,1,30758246,285,85000,961610,193683,48420,42725,284828
2026-02,HX-C0012,4,0,1,31753450,285,85000,989973,197915,49478,43659,291052
2026-03,HX-C0012,4,0,0,0,285,0,0,0,0,0,0
2026-04,HX-C0012,4,0,0,0,285,0,0,0,0,0,0
2026-05,HX-C0012,4,0,0,0,285,0,0,0,0,0,0
2026-06,HX-C0012,4,0,0,0,285,0,0,0,0,0,0
2026-07,HX-C0012,4,0,0,0,285,0,0,0,0,0,0
2024-08,HX-C0013,4,0,1,20048563,285,85000,656384,148898,37224,32847,218969
2024-09,HX-C0013,4,0,1,20749498,285,85000,676360,152418,38104,33623,224145
2024-10,HX-C0013,4,0,1,20980731,285,85000,682950,152882,38220,33725,224827
2024-11,HX-C0013,4,0,1,21654891,285,85000,702164,156132,39033,34442,229607
2024-12,HX-C0013,4,0,1,22153742,285,85000,716381,158222,39555,34903,232680
2025-01,HX-C0013,4,0,1,22429848,285,85000,724250,158877,39719,35047,233643
2025-02,HX-C0013,4,0,1,22593343,285,85000,728910,158808,39702,35032,233542
2025-03,HX-C0013,4,0,1,22940461,285,85000,738803,159859,39964,35264,235087
2025-04,HX-C0013,4,0,1,23657840,285,85000,759248,163146,40786,35990,239922
2025-05,HX-C0013,4,0,1,24362300,285,85000,779325,166295,41573,36684,244552
2025-06,HX-C0013,4,0,1,25116588,285,85000,800822,169684,42421,37431,249536
2025-07,HX-C0013,4,0,1,26176705,285,85000,831036,174842,43710,38570,257122
2025-08,HX-C0013,4,0,1,26702134,285,85000,846010,176727,44181,38986,259894
2025-09,HX-C0013,4,0,1,27652156,285,85000,873086,181077,45269,39945,266291
2025-10,HX-C0013,4,0,1,28064420,285,85000,884835,182191,45547,40190,267928
2025-11,HX-C0013,4,0,1,28905328,285,85000,908801,185765,46441,40979,273185
2025-12,HX-C0013,4,0,1,30117199,285,85000,943340,191414,47853,42225,281492
2026-01,HX-C0013,4,0,1,30634488,285,85000,958082,192972,48243,42568,283783
2026-02,HX-C0013,4,0,1,31574266,285,85000,984866,196894,49223,43433,289550
2026-03,HX-C0013,4,0,1,31882230,285,85000,993643,197162,49290,43493,289945
2026-04,HX-C0013,4,0,1,32252513,285,85000,1004196,197754,49438,43623,290815
2026-05,HX-C0013,4,0,1,32621369,285,85000,1014709,198306,49576,43745,291627
2026-06,HX-C0013,4,0,1,33211753,285,85000,1031534,200051,50012,44130,294193
2026-07,HX-C0013,4,0,1,34853647,285,85000,1078328,207512,51878,45776,305166
2025-02,HX-C0014,6,0,1,51345333,285,85000,1548341,337339,84334,74415,496088
2025-03,HX-C0014,6,0,1,53623968,285,85000,1613283,349075,87268,77003,513346
2025-04,HX-C0014,6,0,1,53956869,285,85000,1622770,348700,87175,76920,512795
2025-05,HX-C0014,6,0,1,55047280,285,85000,1653847,352904,88226,77847,518977
2025-06,HX-C0014,6,0,1,57158771,285,85000,1714024,363180,90795,80114,534089
2025-07,HX-C0014,6,0,1,58568803,285,85000,1754210,369071,92267,81414,542752
2025-08,HX-C0014,6,0,1,60124055,285,85000,1798535,375706,93926,82877,552509
2025-09,HX-C0014,6,0,1,62390598,285,85000,1863132,386413,96603,85239,568255
2025-10,HX-C0014,6,0,1,65881413,285,85000,1962620,404111,101027,89143,594281
2025-11,HX-C0014,6,0,1,68821453,285,85000,2046411,418302,104575,92274,615151
2025-12,HX-C0014,6,0,1,71716113,285,85000,2128909,431980,107995,95291,635266
2026-01,HX-C0014,6,0,1,72831346,285,85000,2160693,435197,108799,96001,639997
2026-02,HX-C0014,6,0,1,74186316,285,85000,2199310,439685,109921,96991,646597
2026-03,HX-C0014,6,0,1,76179327,285,85000,2256110,447665,111916,98751,658332
2026-04,HX-C0014,6,0,1,76783946,285,85000,2273342,447684,111921,98754,658359
2026-05,HX-C0014,6,0,1,78135124,285,85000,2311851,451809,112952,99664,664425
2026-06,HX-C0014,6,0,1,79389778,285,85000,2347608,455285,113821,100431,669537
2026-07,HX-C0014,6,0,1,82081471,285,85000,2424321,466535,116633,102914,686082
2024-02,HX-C0015,2,1,1,10945501,285,85000,396946,93608,23402,20650,137660
2024-03,HX-C0015,2,1,1,11638195,285,85000,416688,97641,24410,21539,143590
2024-04,HX-C0015,2,1,1,12334804,285,85000,436541,101640,25410,22421,149471
2024-05,HX-C0015,2,1,1,13531603,285,85000,470650,108878,27219,24018,160115
2024-06,HX-C0015,2,1,1,14452576,285,85000,496898,114206,28551,25194,167951
2024-07,HX-C0015,2,1,1,15427233,285,85000,524676,119806,29951,26429,176186
2024-08,HX-C0015,2,1,1,16627204,285,85000,558875,126779,31694,27967,186440
2024-09,HX-C0015,2,1,1,18072729,285,85000,600072,135226,33806,29831,198863
2024-10,HX-C0015,2,1,1,19669826,285,85000,645590,144519,36129,31880,212528
2024-11,HX-C0015,2,1,1,21302698,285,85000,692126,153901,38475,33949,226325
2024-12,HX-C0015,2,1,1,23016326,285,85000,740965,163652,40913,36100,240665
2025-01,HX-C0015,2,1,1,24957764,285,85000,796296,174681,43670,38534,256885
2025-02,HX-C0015,2,1,1,27124089,285,85000,858036,186941,46735,41238,274914
2025-03,HX-C0015,2,1,1,29182037,285,85000,916688,198349,49587,43754,291690
2025-04,HX-C0015,2,1,1,30802852,285,85000,962881,206903,51725,45642,304270
2025-05,HX-C0015,2,1,1,33033546,285,85000,1026456,219028,54757,48316,322101
2025-06,HX-C0015,2,1,1,35127924,285,85000,1086145,230140,57535,50767,338442
2025-07,HX-C0015,2,1,1,37197354,285,85000,1145124,240924,60231,53146,354301
2025-08,HX-C0015,2,1,1,39267085,285,85000,1204111,251533,62883,55486,369902
2025-09,HX-C0015,2,1,1,41944990,285,85000,1280432,265561,66390,58580,390531
2025-10,HX-C0015,2,1,1,44501742,285,85000,1353299,278649,69662,61467,409778
2025-11,HX-C0015,2,1,1,48174672,285,85000,1457978,298022,74505,65741,438268
2025-12,HX-C0015,2,1,1,52655543,285,85000,1585682,321753,80438,70976,473167
2026-01,HX-C0015,2,1,1,55088897,285,85000,1655033,333349,83337,73534,490220
2026-02,HX-C0015,2,1,1,59556471,285,85000,1782359,356328,89082,78603,524013
2026-03,HX-C0015,2,1,1,61976413,285,85000,1851327,367347,91836,81034,540217
2026-04,HX-C0015,2,1,1,66089827,285,85000,1968560,387663,96915,85516,570094
2026-05,HX-C0015,2,1,1,70296794,285,85000,2088458,408150,102037,90035,600222
2026-06,HX-C0015,2,1,1,75751855,285,85000,2243927,435177,108794,95996,639967
2026-07,HX-C0015,2,1,1,81493806,285,85000,2407573,463313,115828,102202,681343
2023-11,HX-C0016,1,1,1,26854713,285,85000,850359,204350,51087,45079,300516
2023-12,HX-C0016,1,1,1,28324691,285,85000,892253,213084,53271,47004,313359
2024-01,HX-C0016,1,1,1,30437077,285,85000,952456,226036,56509,49862,332407
2024-02,HX-C0016,1,1,1,32406034,285,85000,1008571,237844,59461,52467,349772
2024-03,HX-C0016,1,1,1,34854051,285,85000,1078340,252684,63171,55740,371595
2024-04,HX-C0016,1,1,1,36479677,285,85000,1124670,261859,65464,57764,385087
2024-05,HX-C0016,1,1,1,38851405,285,85000,1192265,275813,68953,60842,405608
2024-06,HX-C0016,1,1,1,41681553,285,85000,1272924,292568,73142,64538,430248
2024-07,HX-C0016,1,1,1,43674754,285,85000,1329730,303635,75908,66980,446523
2024-08,HX-C0016,1,1,1,46570981,285,85000,1412272,320370,80092,70671,471133
2024-09,HX-C0016,1,1,1,50396315,285,85000,1521294,342826,85706,75624,504156
2024-10,HX-C0016,1,1,1,54179379,285,85000,1629112,364686,91171,80446,536303
2024-11,HX-C0016,1,1,1,58043986,285,85000,1739253,386739,96684,85312,568735
2024-12,HX-C0016,1,1,1,63048043,285,85000,1881869,415637,103909,91685,611231
2025-01,HX-C0016,1,1,1,66417710,285,85000,1977904,433888,108472,95711,638071
2025-02,HX-C0016,1,1,1,72922482,285,85000,2163290,471320,117830,103968,693118
2025-03,HX-C0016,1,1,1,77543093,285,85000,2294978,496577,124144,109540,730261
2025-04,HX-C0016,1,1,1,83962332,285,85000,2477926,532456,133114,117454,783024
2025-05,HX-C0016,1,1,1,90757729,285,85000,2671595,570075,142518,125753,838346
2025-06,HX-C0016,1,1,1,97603191,285,85000,2866690,607416,151854,133990,893260
2025-07,HX-C0016,1,1,1,104262425,285,85000,3056479,643058,160764,141852,945674
2025-08,HX-C0016,1,1,1,110978567,285,85000,3247889,678470,169617,149664,997751
2025-09,HX-C0016,1,1,1,117596526,285,85000,3436500,712729,178182,157221,1048132
2025-10,HX-C0016,1,1,1,126263720,285,85000,3683516,758450,189612,167306,1115368
2025-11,HX-C0016,1,1,1,131987307,285,85000,3846638,786283,196570,173446,1156299
2025-12,HX-C0016,1,1,1,142250443,285,85000,4139137,839880,209970,185268,1235118
2026-01,HX-C0016,1,1,1,152359270,285,85000,4427239,891716,222929,196703,1311348
2026-02,HX-C0016,1,1,1,162447162,285,85000,4714744,942571,235642,207921,1386134
2026-03,HX-C0016,1,1,1,174987145,285,85000,5072133,1006432,251608,222008,1480048
2026-04,HX-C0016,1,1,1,186804310,285,85000,5408922,1065167,266291,234965,1566423
2026-05,HX-C0016,1,1,1,201788555,285,85000,5835973,1140535,285133,251590,1677258
2026-06,HX-C0016,1,1,1,216675923,285,85000,6260263,1214090,303522,267815,1785427
