customer_id,treatment,baseline_log_cost,outcome_log_cost_change,assignment_mechanism,assignment_proposal,balance_smd_threshold,maximum_assignment_proposals,assignment_acceptance_uses_outcomes,assignment_seed_commitment
HX-X017,1,0.509706,-0.209438,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X018,0,0.073620,0.017279,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X019,0,-0.179661,-0.024395,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X020,0,0.063993,-0.032981,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X021,0,-0.130918,-0.013503,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X022,1,-0.037418,-0.193477,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X023,1,0.157051,-0.056446,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X024,1,-0.204088,-0.057900,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X025,0,0.141673,0.050599,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X026,1,-0.084288,-0.142676,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X027,1,-0.263532,0.009710,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X028,1,0.154185,-0.152766,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X029,1,-0.063816,-0.027478,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X030,0,0.061075,-0.070237,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X031,1,-0.324211,-0.146125,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X032,0,0.330309,0.027001,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X033,0,-0.048368,-0.054216,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X034,0,-0.053610,0.119573,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X035,0,-0.075790,-0.059934,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X036,0,0.288091,-0.011925,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X037,1,0.007588,-0.087673,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X038,0,-0.007147,0.049180,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X039,1,0.217139,-0.037332,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X040,1,-0.091521,-0.076782,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X041,1,0.394428,-0.065776,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X042,0,-0.003310,-0.098448,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X043,0,0.283312,0.015757,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X044,0,0.126880,0.013910,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X045,0,-0.140388,-0.106938,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X046,0,-0.217166,-0.042719,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X047,1,0.027594,0.014105,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X048,0,-0.246184,0.038839,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X049,0,0.011260,-0.054504,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X050,0,0.025517,0.050269,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X051,0,0.173496,0.071134,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X052,0,0.079018,-0.158692,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X053,1,-0.313531,-0.042670,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X054,0,0.129787,-0.055034,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X055,1,0.069438,-0.008888,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X056,1,0.059918,-0.064438,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X057,1,0.037259,-0.116047,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X058,0,-0.152467,-0.072128,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X059,1,-0.207118,-0.175861,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X060,1,-0.055244,-0.079081,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X061,1,-0.100255,-0.139216,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X062,1,0.145081,0.040331,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X063,0,-0.106271,-0.019992,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X064,0,0.184941,0.122656,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X065,1,-0.210509,-0.093911,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X066,0,0.150022,-0.074641,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X067,1,0.116762,-0.152366,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X068,1,0.352585,-0.152134,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X069,1,-0.448171,-0.195266,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X070,1,-0.003330,-0.007247,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X071,1,0.272148,-0.280987,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X072,0,0.136152,-0.058504,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X073,1,0.036263,-0.142311,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X074,1,0.001567,-0.217551,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X075,1,0.106101,-0.150197,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X076,0,0.049738,-0.066897,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X077,1,-0.181293,-0.187480,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X078,1,0.243310,-0.032322,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X079,0,-0.174334,-0.112197,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X080,1,-0.093178,-0.154576,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X081,0,0.194791,0.014968,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X082,1,0.176527,-0.050840,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X083,0,-0.148910,-0.008090,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X084,1,-0.145543,-0.108740,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X085,1,-0.056091,-0.164917,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X086,1,0.129583,-0.141777,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X087,1,0.120467,-0.266041,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X088,0,-0.161005,0.027625,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X089,1,0.255097,-0.176133,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X090,1,-0.267607,-0.229004,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X091,1,0.191088,0.147507,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X092,0,0.129478,-0.113527,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X093,1,-0.104867,-0.081183,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X094,0,0.008389,0.112258,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X095,1,-0.092152,-0.028132,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X096,0,0.221193,0.193312,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X097,0,0.074788,0.021937,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X098,1,-0.220111,-0.092112,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X099,1,0.037922,-0.193058,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X100,1,0.319036,-0.214705,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X101,0,-0.229882,-0.036343,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X102,0,0.088995,0.006550,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X103,0,-0.177099,0.068551,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X104,0,0.030584,-0.119270,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X105,1,-0.020045,-0.043957,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X106,0,-0.107484,-0.049414,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X107,1,0.086378,0.020007,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X108,0,-0.192279,0.004934,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X109,1,0.139946,-0.095459,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X110,1,-0.215667,-0.108195,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X111,0,-0.211711,-0.001008,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X112,0,0.027935,-0.000601,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X113,1,-0.083912,-0.232624,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X114,1,-0.036462,-0.152493,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X115,0,0.202244,0.059031,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X116,0,0.069240,0.021387,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X117,1,-0.017707,-0.092826,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X118,0,-0.254604,-0.136645,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X119,0,-0.308254,-0.125748,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
HX-X120,0,0.355275,-0.030822,RESTRICTED_SEEDED_PERMUTATION_60_OF_120,1,0.15,1000,false,76a623593cf2e9a7a4368cf8f9c80968859ad45ff87391e4c89262aa306637fd
