opportunity_id,observation_index,stage
HX-O0009,5,1
HX-O0009,6,1
HX-O0009,7,2
HX-O0009,8,2
HX-O0009,9,2
HX-O0009,10,2
HX-O0009,11,2
HX-O0009,12,2
HX-O0009,13,3
HX-O0009,14,3
HX-O0009,15,3
HX-O0009,16,3
HX-O0009,17,3
HX-O0009,18,3
HX-O0010,1,1
HX-O0010,2,1
HX-O0010,3,1
HX-O0010,4,1
HX-O0010,5,1
HX-O0010,6,2
HX-O0010,7,2
HX-O0010,8,2
HX-O0010,9,2
HX-O0010,10,3
HX-O0010,11,3
HX-O0010,12,3
HX-O0010,13,3
HX-O0010,14,3
HX-O0010,15,4
HX-O0010,16,4
HX-O0010,17,4
HX-O0010,18,4
HX-O0011,1,1
HX-O0011,2,1
HX-O0011,3,1
HX-O0011,4,1
HX-O0011,5,1
HX-O0011,6,1
HX-O0011,7,1
HX-O0011,8,1
HX-O0011,9,1
HX-O0011,10,1
HX-O0011,11,1
HX-O0011,12,1
HX-O0011,13,1
HX-O0011,14,1
HX-O0011,15,1
HX-O0011,16,1
HX-O0011,17,1
HX-O0011,18,1
HX-O0012,1,1
HX-O0012,2,1
HX-O0012,3,1
HX-O0012,4,1
HX-O0012,5,1
HX-O0012,6,2
HX-O0012,7,2
HX-O0012,8,2
HX-O0012,9,2
HX-O0012,10,3
HX-O0012,11,3
HX-O0012,12,3
HX-O0012,13,3
HX-O0012,14,3
HX-O0012,15,4
HX-O0012,16,4
HX-O0012,17,4
HX-O0012,18,4
HX-O0013,1,1
HX-O0013,2,1
HX-O0013,3,1
HX-O0013,4,1
HX-O0013,5,1
HX-O0013,6,1
HX-O0013,7,2
HX-O0013,8,2
HX-O0013,9,2
HX-O0013,10,2
HX-O0013,11,2
HX-O0013,12,2
HX-O0013,13,3
HX-O0013,14,3
HX-O0013,15,3
HX-O0013,16,3
HX-O0013,17,3
HX-O0013,18,3
HX-O0014,1,1
HX-O0014,2,1
HX-O0014,3,1
HX-O0014,4,1
HX-O0014,5,2
HX-O0014,6,2
HX-O0014,7,2
HX-O0014,8,2
HX-O0014,9,3
HX-O0014,10,3
HX-O0014,11,3
HX-O0014,12,4
HX-O0014,13,4
HX-O0014,14,4
HX-O0014,15,4
HX-O0014,16,5
HX-O0014,17,5
HX-O0014,18,5
HX-O0015,1,1
HX-O0015,2,1
HX-O0015,3,1
HX-O0015,4,1
HX-O0015,5,1
HX-O0015,6,1
HX-O0015,7,2
HX-O0015,8,2
HX-O0015,9,2
HX-O0015,10,2
HX-O0015,11,2
HX-O0015,12,2
HX-O0015,13,3
HX-O0015,14,3
HX-O0015,15,3
HX-O0015,16,3
HX-O0015,17,3
HX-O0015,18,3
HX-O0016,1,1
HX-O0016,2,1
HX-O0016,3,1
HX-O0016,4,1
HX-O0016,5,1
HX-O0016,6,1
HX-O0016,7,1
HX-O0016,8,1
HX-O0016,9,1
HX-O0016,10,2
HX-O0016,11,2
HX-O0016,12,2
HX-O0016,13,2
HX-O0016,14,2
HX-O0016,15,2
HX-O0016,16,2
HX-O0016,17,2
HX-O0016,18,2
HX-O0017,1,1
HX-O0017,2,1
HX-O0017,3,1
HX-O0017,4,1
HX-O0017,5,1
HX-O0017,6,1
HX-O0017,7,2
HX-O0017,8,2
HX-O0017,9,2
HX-O0017,10,2
HX-O0017,11,2
HX-O0017,12,2
HX-O0017,13,3
HX-O0017,14,3
HX-O0017,15,3
HX-O0017,16,3
HX-O0017,17,3
HX-O0017,18,3
HX-O0018,1,1
HX-O0018,2,1
HX-O0018,3,1
HX-O0018,4,1
HX-O0018,5,2
HX-O0018,6,2
HX-O0018,7,2
HX-O0018,8,2
HX-O0018,9,3
HX-O0018,10,3
HX-O0018,11,3
HX-O0018,12,4
HX-O0018,13,4
HX-O0018,14,4
HX-O0018,15,4
HX-O0018,16,5
HX-O0018,17,5
HX-O0018,18,5
HX-O0019,1,1
HX-O0019,2,1
HX-O0019,3,1
HX-O0019,4,1
HX-O0019,5,1
HX-O0019,6,1
HX-O0019,7,1
HX-O0019,8,1
HX-O0019,9,1
HX-O0019,10,2
HX-O0019,11,2
HX-O0019,12,2
HX-O0019,13,2
HX-O0019,14,2
HX-O0019,15,2
HX-O0019,16,2
HX-O0019,17,2
HX-O0019,18,2
HX-O0020,1,1
HX-O0020,2,1
HX-O0020,3,1
HX-O0020,4,1
HX-O0020,5,1
HX-O0020,6,2
HX-O0020,7,2
HX-O0020,8,2
HX-O0020,9,2
HX-O0020,10,3
HX-O0020,11,3
HX-O0020,12,3
HX-O0020,13,3
HX-O0020,14,3
HX-O0020,15,4
HX-O0020,16,4
HX-O0020,17,4
HX-O0020,18,4
HX-O0021,1,1
HX-O0021,2,1
HX-O0021,3,1
HX-O0021,4,1
HX-O0021,5,2
HX-O0021,6,2
HX-O0021,7,2
HX-O0021,8,2
HX-O0021,9,3
HX-O0021,10,3
HX-O0021,11,3
HX-O0021,12,4
HX-O0021,13,4
HX-O0021,14,4
HX-O0021,15,4
HX-O0021,16,5
HX-O0021,17,5
HX-O0021,18,5
HX-O0022,1,1
HX-O0022,2,1
HX-O0022,3,1
HX-O0022,4,1
HX-O0022,5,1
HX-O0022,6,1
HX-O0022,7,1
HX-O0022,8,1
HX-O0022,9,1
HX-O0022,10,2
HX-O0022,11,2
HX-O0022,12,2
HX-O0022,13,2
HX-O0022,14,2
HX-O0022,15,2
HX-O0022,16,2
HX-O0022,17,2
HX-O0022,18,2
HX-O0023,1,1
HX-O0023,2,1
HX-O0023,3,1
HX-O0023,4,1
HX-O0023,5,1
HX-O0023,6,1
HX-O0023,7,2
HX-O0023,8,2
HX-O0023,9,2
HX-O0023,10,2
HX-O0023,11,2
HX-O0023,12,2
HX-O0023,13,3
HX-O0023,14,3
HX-O0023,15,3
HX-O0023,16,3
HX-O0023,17,3
HX-O0023,18,3
HX-O0024,1,1
HX-O0024,2,1
HX-O0024,3,1
HX-O0024,4,1
HX-O0024,5,1
HX-O0024,6,1
HX-O0024,7,1
HX-O0024,8,1
HX-O0024,9,1
HX-O0024,10,2
HX-O0024,11,2
HX-O0024,12,2
HX-O0024,13,2
HX-O0024,14,2
HX-O0024,15,2
HX-O0024,16,2
HX-O0024,17,2
HX-O0024,18,2
HX-O0025,1,1
HX-O0025,2,1
HX-O0025,3,1
HX-O0025,4,1
HX-O0025,5,1
HX-O0025,6,1
HX-O0025,7,2
HX-O0025,8,2
HX-O0025,9,2
HX-O0025,10,2
HX-O0025,11,2
HX-O0025,12,2
HX-O0025,13,3
HX-O0025,14,3
HX-O0025,15,3
HX-O0025,16,3
HX-O0025,17,3
HX-O0025,18,3
HX-O0026,1,1
HX-O0026,2,1
HX-O0026,3,1
HX-O0026,4,1
HX-O0026,5,1
HX-O0026,6,1
HX-O0026,7,2
HX-O0026,8,2
HX-O0026,9,2
HX-O0026,10,2
HX-O0026,11,2
HX-O0026,12,2
HX-O0026,13,3
HX-O0026,14,3
HX-O0026,15,3
HX-O0026,16,3
HX-O0026,17,3
HX-O0026,18,3
HX-O0027,1,1
HX-O0027,2,1
HX-O0027,3,1
HX-O0027,4,1
HX-O0027,5,1
HX-O0027,6,1
HX-O0027,7,1
HX-O0027,8,1
HX-O0027,9,1
HX-O0027,10,1
HX-O0027,11,1
HX-O0027,12,1
HX-O0027,13,1
HX-O0027,14,1
HX-O0027,15,1
HX-O0027,16,1
HX-O0027,17,1
HX-O0027,18,1
HX-O0028,1,1
HX-O0028,2,1
HX-O0028,3,1
HX-O0028,4,1
HX-O0028,5,1
HX-O0028,6,1
HX-O0028,7,1
HX-O0028,8,1
HX-O0028,9,1
HX-O0028,10,2
HX-O0028,11,2
HX-O0028,12,2
HX-O0028,13,2
HX-O0028,14,2
HX-O0028,15,2
HX-O0028,16,2
HX-O0028,17,2
HX-O0028,18,2
HX-O0029,1,1
HX-O0029,2,1
HX-O0029,3,1
HX-O0029,4,1
HX-O0029,5,1
HX-O0029,6,1
HX-O0029,7,2
HX-O0029,8,2
HX-O0029,9,2
HX-O0029,10,2
HX-O0029,11,2
HX-O0029,12,2
HX-O0029,13,3
HX-O0029,14,3
HX-O0029,15,3
HX-O0029,16,3
HX-O0029,17,3
HX-O0029,18,3
HX-O0030,1,1
HX-O0030,2,1
HX-O0030,3,1
HX-O0030,4,1
HX-O0030,5,1
HX-O0030,6,1
HX-O0030,7,1
HX-O0030,8,1
HX-O0030,9,1
HX-O0030,10,2
HX-O0030,11,2
HX-O0030,12,2
HX-O0030,13,2
HX-O0030,14,2
HX-O0030,15,2
HX-O0030,16,2
HX-O0030,17,2
HX-O0030,18,2
HX-O0031,1,1
HX-O0031,2,1
HX-O0031,3,1
HX-O0031,4,1
HX-O0031,5,1
HX-O0031,6,1
HX-O0031,7,2
HX-O0031,8,2
HX-O0031,9,2
HX-O0031,10,2
HX-O0031,11,2
HX-O0031,12,2
HX-O0031,13,3
HX-O0031,14,3
HX-O0031,15,3
HX-O0031,16,3
HX-O0031,17,3
HX-O0031,18,3
HX-O0032,1,1
HX-O0032,2,1
HX-O0032,3,1
HX-O0032,4,1
HX-O0032,5,1
HX-O0032,6,2
HX-O0032,7,2
HX-O0032,8,2
HX-O0032,9,2
HX-O0032,10,3
HX-O0032,11,3
HX-O0032,12,3
HX-O0032,13,3
HX-O0032,14,3
HX-O0032,15,4
HX-O0032,16,4
HX-O0032,17,4
HX-O0032,18,4
HX-O0033,1,1
HX-O0033,2,1
HX-O0033,3,1
HX-O0033,4,1
HX-O0033,5,1
HX-O0033,6,1
HX-O0033,7,2
HX-O0033,8,2
HX-O0033,9,2
HX-O0033,10,2
HX-O0033,11,2
HX-O0033,12,2
HX-O0033,13,3
HX-O0033,14,3
HX-O0033,15,3
HX-O0033,16,3
HX-O0033,17,3
HX-O0033,18,3
HX-O0034,1,1
HX-O0034,2,1
HX-O0034,3,1
HX-O0034,4,1
HX-O0034,5,1
HX-O0034,6,1
HX-O0034,7,1
HX-O0034,8,1
HX-O0034,9,1
HX-O0034,10,1
HX-O0034,11,1
HX-O0034,12,1
HX-O0034,13,1
HX-O0034,14,1
HX-O0034,15,1
HX-O0034,16,1
HX-O0034,17,1
HX-O0034,18,1
HX-O0035,1,1
HX-O0035,2,1
HX-O0035,3,1
HX-O0035,4,1
HX-O0035,5,1
HX-O0035,6,2
HX-O0035,7,2
HX-O0035,8,2
HX-O0035,9,2
HX-O0035,10,3
HX-O0035,11,3
HX-O0035,12,3
HX-O0035,13,3
HX-O0035,14,3
HX-O0035,15,4
HX-O0035,16,4
HX-O0035,17,4
HX-O0035,18,4
HX-O0036,1,1
HX-O0036,2,1
HX-O0036,3,1
HX-O0036,4,1
HX-O0036,5,1
HX-O0036,6,1
HX-O0036,7,2
HX-O0036,8,2
HX-O0036,9,2
HX-O0036,10,2
HX-O0036,11,2
HX-O0036,12,2
HX-O0036,13,3
HX-O0036,14,3
HX-O0036,15,3
HX-O0036,16,3
HX-O0036,17,3
HX-O0036,18,3
HX-O0037,1,1
HX-O0037,2,1
HX-O0037,3,1
HX-O0037,4,1
HX-O0037,5,1
HX-O0037,6,2
HX-O0037,7,2
HX-O0037,8,2
HX-O0037,9,2
HX-O0037,10,3
HX-O0037,11,3
HX-O0037,12,3
HX-O0037,13,3
HX-O0037,14,3
HX-O0037,15,4
HX-O0037,16,4
HX-O0037,17,4
HX-O0037,18,4
HX-O0038,1,1
HX-O0038,2,1
HX-O0038,3,1
HX-O0038,4,1
HX-O0038,5,2
HX-O0038,6,2
HX-O0038,7,2
HX-O0038,8,2
HX-O0038,9,3
HX-O0038,10,3
HX-O0038,11,3
HX-O0038,12,4
HX-O0038,13,4
HX-O0038,14,4
HX-O0038,15,4
HX-O0038,16,5
HX-O0038,17,5
HX-O0038,18,5
HX-O0039,1,1
HX-O0039,2,1
HX-O0039,3,1
HX-O0039,4,1
HX-O0039,5,1
HX-O0039,6,1
HX-O0039,7,1
HX-O0039,8,1
HX-O0039,9,1
HX-O0039,10,2
HX-O0039,11,2
HX-O0039,12,2
HX-O0039,13,2
HX-O0039,14,2
HX-O0039,15,2
HX-O0039,16,2
HX-O0039,17,2
HX-O0039,18,2
HX-O0040,1,1
HX-O0040,2,1
HX-O0040,3,1
HX-O0040,4,1
HX-O0040,5,1
HX-O0040,6,1
HX-O0040,7,2
HX-O0040,8,2
HX-O0040,9,2
HX-O0040,10,2
HX-O0040,11,2
HX-O0040,12,2
HX-O0040,13,3
HX-O0040,14,3
HX-O0040,15,3
HX-O0040,16,3
HX-O0040,17,3
HX-O0040,18,3
HX-O0041,1,1
HX-O0041,2,1
HX-O0041,3,1
HX-O0041,4,1
HX-O0041,5,1
HX-O0041,6,1
HX-O0041,7,1
HX-O0041,8,1
HX-O0041,9,1
HX-O0041,10,1
HX-O0041,11,1
HX-O0041,12,1
HX-O0041,13,1
HX-O0041,14,1
HX-O0041,15,1
HX-O0041,16,1
HX-O0041,17,1
HX-O0041,18,1
HX-O0042,1,1
HX-O0042,2,1
HX-O0042,3,1
HX-O0042,4,1
HX-O0042,5,1
HX-O0042,6,1
HX-O0042,7,2
HX-O0042,8,2
HX-O0042,9,2
HX-O0042,10,2
HX-O0042,11,2
HX-O0042,12,2
HX-O0042,13,3
HX-O0042,14,3
HX-O0042,15,3
HX-O0042,16,3
HX-O0042,17,3
HX-O0042,18,3
HX-O0043,1,1
HX-O0043,2,1
HX-O0043,3,1
HX-O0043,4,1
HX-O0043,5,2
HX-O0043,6,2
HX-O0043,7,2
HX-O0043,8,2
HX-O0043,9,3
HX-O0043,10,3
HX-O0043,11,3
HX-O0043,12,4
HX-O0043,13,4
HX-O0043,14,4
HX-O0043,15,4
HX-O0043,16,5
HX-O0043,17,5
HX-O0043,18,5
HX-O0044,1,1
HX-O0044,2,1
HX-O0044,3,1
HX-O0044,4,1
HX-O0044,5,1
HX-O0044,6,2
HX-O0044,7,2
HX-O0044,8,2
HX-O0044,9,2
HX-O0044,10,3
HX-O0044,11,3
HX-O0044,12,3
HX-O0044,13,3
HX-O0044,14,3
HX-O0044,15,4
HX-O0044,16,4
HX-O0044,17,4
HX-O0044,18,4
HX-O0045,1,1
HX-O0045,2,1
HX-O0045,3,1
HX-O0045,4,1
HX-O0045,5,1
HX-O0045,6,1
HX-O0045,7,1
HX-O0045,8,1
HX-O0045,9,1
HX-O0045,10,2
HX-O0045,11,2
HX-O0045,12,2
HX-O0045,13,2
HX-O0045,14,2
HX-O0045,15,2
HX-O0045,16,2
HX-O0045,17,2
HX-O0045,18,2
HX-O0046,1,1
HX-O0046,2,1
HX-O0046,3,1
HX-O0046,4,1
HX-O0046,5,1
HX-O0046,6,1
HX-O0046,7,1
HX-O0046,8,1
HX-O0046,9,1
HX-O0046,10,2
HX-O0046,11,2
HX-O0046,12,2
HX-O0046,13,2
HX-O0046,14,2
HX-O0046,15,2
HX-O0046,16,2
HX-O0046,17,2
HX-O0046,18,2
HX-O0047,1,1
HX-O0047,2,1
HX-O0047,3,1
HX-O0047,4,1
HX-O0047,5,2
HX-O0047,6,2
HX-O0047,7,2
HX-O0047,8,2
HX-O0047,9,3
HX-O0047,10,3
HX-O0047,11,3
HX-O0047,12,4
HX-O0047,13,4
HX-O0047,14,4
HX-O0047,15,4
HX-O0047,16,5
HX-O0047,17,5
HX-O0047,18,5
HX-O0048,1,1
HX-O0048,2,1
HX-O0048,3,1
HX-O0048,4,1
HX-O0048,5,1
HX-O0048,6,1
HX-O0048,7,1
HX-O0048,8,1
HX-O0048,9,1
HX-O0048,10,2
HX-O0048,11,2
HX-O0048,12,2
HX-O0048,13,2
HX-O0048,14,2
HX-O0048,15,2
HX-O0048,16,2
HX-O0048,17,2
HX-O0048,18,2
HX-O0049,1,1
HX-O0049,2,1
HX-O0049,3,1
HX-O0049,4,1
HX-O0049,5,2
HX-O0049,6,2
HX-O0049,7,2
HX-O0049,8,2
HX-O0049,9,3
HX-O0049,10,3
HX-O0049,11,3
HX-O0049,12,4
HX-O0049,13,4
HX-O0049,14,4
HX-O0049,15,4
HX-O0049,16,5
HX-O0049,17,5
HX-O0049,18,5
HX-O0050,1,1
HX-O0050,2,1
HX-O0050,3,1
HX-O0050,4,1
HX-O0050,5,2
HX-O0050,6,2
HX-O0050,7,2
HX-O0050,8,2
HX-O0050,9,3
HX-O0050,10,3
HX-O0050,11,3
HX-O0050,12,4
HX-O0050,13,4
HX-O0050,14,4
HX-O0050,15,4
HX-O0050,16,5
HX-O0050,17,5
HX-O0050,18,5
HX-O0051,1,1
HX-O0051,2,1
HX-O0051,3,1
HX-O0051,4,1
HX-O0051,5,1
HX-O0051,6,1
HX-O0051,7,1
HX-O0051,8,1
HX-O0051,9,1
HX-O0051,10,1
HX-O0051,11,1
HX-O0051,12,1
HX-O0051,13,1
HX-O0051,14,1
HX-O0051,15,1
HX-O0051,16,1
HX-O0051,17,1
HX-O0051,18,1
HX-O0052,1,1
HX-O0052,2,1
HX-O0052,3,1
HX-O0052,4,1
HX-O0052,5,2
HX-O0052,6,2
HX-O0052,7,2
HX-O0052,8,2
HX-O0052,9,3
HX-O0052,10,3
HX-O0052,11,3
HX-O0052,12,4
HX-O0052,13,4
HX-O0052,14,4
HX-O0052,15,4
HX-O0052,16,5
HX-O0052,17,5
HX-O0052,18,5
HX-O0053,1,1
HX-O0053,2,1
HX-O0053,3,1
HX-O0053,4,1
HX-O0053,5,2
HX-O0053,6,2
HX-O0053,7,2
HX-O0053,8,2
HX-O0053,9,3
HX-O0053,10,3
HX-O0053,11,3
HX-O0053,12,4
HX-O0053,13,4
HX-O0053,14,4
HX-O0053,15,4
HX-O0053,16,5
HX-O0053,17,5
HX-O0053,18,5
HX-O0054,1,1
HX-O0054,2,1
HX-O0054,3,1
HX-O0054,4,1
HX-O0054,5,1
HX-O0054,6,2
HX-O0054,7,2
HX-O0054,8,2
HX-O0054,9,2
HX-O0054,10,3
HX-O0054,11,3
HX-O0054,12,3
HX-O0054,13,3
HX-O0054,14,3
HX-O0054,15,4
HX-O0054,16,4
HX-O0054,17,4
HX-O0054,18,4
HX-O0055,1,1
HX-O0055,2,1
HX-O0055,3,1
HX-O0055,4,1
HX-O0055,5,2
HX-O0055,6,2
HX-O0055,7,2
HX-O0055,8,2
HX-O0055,9,3
HX-O0055,10,3
HX-O0055,11,3
HX-O0055,12,4
HX-O0055,13,4
HX-O0055,14,4
HX-O0055,15,4
HX-O0055,16,5
HX-O0055,17,5
HX-O0055,18,5
HX-O0056,1,1
HX-O0056,2,1
HX-O0056,3,1
HX-O0056,4,1
HX-O0056,5,1
HX-O0056,6,1
HX-O0056,7,1
HX-O0056,8,1
HX-O0056,9,1
HX-O0056,10,2
HX-O0056,11,2
HX-O0056,12,2
HX-O0056,13,2
HX-O0056,14,2
HX-O0056,15,2
HX-O0056,16,2
HX-O0056,17,2
HX-O0056,18,2
HX-O0057,1,1
HX-O0057,2,1
HX-O0057,3,1
HX-O0057,4,1
HX-O0057,5,1
HX-O0057,6,2
HX-O0057,7,2
HX-O0057,8,2
HX-O0057,9,2
HX-O0057,10,3
HX-O0057,11,3
HX-O0057,12,3
HX-O0057,13,3
HX-O0057,14,3
HX-O0057,15,4
HX-O0057,16,4
HX-O0057,17,4
HX-O0057,18,4
HX-O0058,1,1
HX-O0058,2,1
HX-O0058,3,1
HX-O0058,4,1
HX-O0058,5,2
HX-O0058,6,2
HX-O0058,7,2
HX-O0058,8,2
HX-O0058,9,3
HX-O0058,10,3
HX-O0058,11,3
HX-O0058,12,4
HX-O0058,13,4
HX-O0058,14,4
HX-O0058,15,4
HX-O0058,16,5
HX-O0058,17,5
HX-O0058,18,5
HX-O0059,1,1
HX-O0059,2,1
HX-O0059,3,1
HX-O0059,4,1
HX-O0059,5,1
HX-O0059,6,1
HX-O0059,7,1
HX-O0059,8,1
HX-O0059,9,1
HX-O0059,10,2
HX-O0059,11,2
HX-O0059,12,2
HX-O0059,13,2
HX-O0059,14,2
HX-O0059,15,2
HX-O0059,16,2
HX-O0059,17,2
HX-O0059,18,2
HX-O0060,1,1
HX-O0060,2,1
HX-O0060,3,1
HX-O0060,4,1
HX-O0060,5,1
HX-O0060,6,1
HX-O0060,7,1
HX-O0060,8,1
HX-O0060,9,1
HX-O0060,10,2
HX-O0060,11,2
HX-O0060,12,2
HX-O0060,13,2
HX-O0060,14,2
HX-O0060,15,2
HX-O0060,16,2
HX-O0060,17,2
HX-O0060,18,2
HX-O0061,1,1
HX-O0061,2,1
HX-O0061,3,1
HX-O0061,4,1
HX-O0061,5,1
HX-O0061,6,1
HX-O0061,7,1
HX-O0061,8,1
HX-O0061,9,1
HX-O0061,10,2
HX-O0061,11,2
HX-O0061,12,2
HX-O0061,13,2
HX-O0061,14,2
HX-O0061,15,2
HX-O0061,16,2
HX-O0061,17,2
HX-O0061,18,2
HX-O0062,1,1
HX-O0062,2,1
HX-O0062,3,1
HX-O0062,4,1
HX-O0062,5,1
HX-O0062,6,1
HX-O0062,7,1
HX-O0062,8,1
HX-O0062,9,1
HX-O0062,10,1
HX-O0062,11,1
HX-O0062,12,1
HX-O0062,13,1
HX-O0062,14,1
HX-O0062,15,1
HX-O0062,16,1
HX-O0062,17,1
HX-O0062,18,1
HX-O0063,1,1
HX-O0063,2,1
HX-O0063,3,1
HX-O0063,4,1
HX-O0063,5,1
HX-O0063,6,1
HX-O0063,7,2
HX-O0063,8,2
HX-O0063,9,2
HX-O0063,10,2
HX-O0063,11,2
HX-O0063,12,2
HX-O0063,13,3
HX-O0063,14,3
HX-O0063,15,3
HX-O0063,16,3
HX-O0063,17,3
HX-O0063,18,3
HX-O0064,1,1
HX-O0064,2,1
HX-O0064,3,1
HX-O0064,4,1
HX-O0064,5,1
HX-O0064,6,1
HX-O0064,7,2
HX-O0064,8,2
HX-O0064,9,2
HX-O0064,10,2
HX-O0064,11,2
HX-O0064,12,2
HX-O0064,13,3
HX-O0064,14,3
HX-O0064,15,3
HX-O0064,16,3
HX-O0064,17,3
HX-O0064,18,3
HX-O0065,1,1
HX-O0065,2,1
HX-O0065,3,1
HX-O0065,4,1
HX-O0065,5,1
HX-O0065,6,1
HX-O0065,7,2
HX-O0065,8,2
HX-O0065,9,2
HX-O0065,10,2
HX-O0065,11,2
HX-O0065,12,2
HX-O0065,13,3
HX-O0065,14,3
HX-O0065,15,3
HX-O0065,16,3
HX-O0065,17,3
HX-O0065,18,3
HX-O0066,1,1
HX-O0066,2,1
HX-O0066,3,1
HX-O0066,4,1
HX-O0066,5,2
HX-O0066,6,2
HX-O0066,7,2
HX-O0066,8,2
HX-O0066,9,3
HX-O0066,10,3
HX-O0066,11,3
HX-O0066,12,4
HX-O0066,13,4
HX-O0066,14,4
HX-O0066,15,4
HX-O0066,16,5
HX-O0066,17,5
HX-O0066,18,5
HX-O0067,1,1
HX-O0067,2,1
HX-O0067,3,1
HX-O0067,4,1
HX-O0067,5,1
HX-O0067,6,1
HX-O0067,7,1
HX-O0067,8,1
HX-O0067,9,1
HX-O0067,10,2
HX-O0067,11,2
HX-O0067,12,2
HX-O0067,13,2
HX-O0067,14,2
HX-O0067,15,2
HX-O0067,16,2
HX-O0067,17,2
HX-O0067,18,2
HX-O0068,1,1
HX-O0068,2,1
HX-O0068,3,1
HX-O0068,4,1
HX-O0068,5,1
HX-O0068,6,1
HX-O0068,7,1
HX-O0068,8,1
HX-O0068,9,1
HX-O0068,10,1
HX-O0068,11,1
HX-O0068,12,1
HX-O0068,13,1
HX-O0068,14,1
HX-O0068,15,1
HX-O0068,16,1
HX-O0068,17,1
HX-O0068,18,1
HX-O0069,1,1
HX-O0069,2,1
HX-O0069,3,1
HX-O0069,4,1
HX-O0069,5,1
HX-O0069,6,1
HX-O0069,7,2
HX-O0069,8,2
HX-O0069,9,2
HX-O0069,10,2
HX-O0069,11,2
HX-O0069,12,2
HX-O0069,13,3
HX-O0069,14,3
HX-O0069,15,3
HX-O0069,16,3
HX-O0069,17,3
HX-O0069,18,3
HX-O0070,1,1
HX-O0070,2,1
HX-O0070,3,1
HX-O0070,4,1
HX-O0070,5,2
HX-O0070,6,2
HX-O0070,7,2
HX-O0070,8,2
HX-O0070,9,3
HX-O0070,10,3
HX-O0070,11,3
HX-O0070,12,4
HX-O0070,13,4
HX-O0070,14,4
HX-O0070,15,4
HX-O0070,16,5
HX-O0070,17,5
HX-O0070,18,5
HX-O0071,1,1
HX-O0071,2,1
HX-O0071,3,1
HX-O0071,4,1
HX-O0071,5,1
HX-O0071,6,1
HX-O0071,7,1
HX-O0071,8,1
HX-O0071,9,1
HX-O0071,10,2
