respondent_id,tier,adopted,annual_ai_spend_cents
HX-S1-068,1,0,235564671
HX-S1-069,1,1,245617102
HX-S1-070,1,0,244122710
HX-S1-071,1,0,244200115
HX-S1-072,1,1,238747191
HX-S1-073,1,1,243372161
HX-S1-074,1,0,238865782
HX-S1-075,1,0,243182883
HX-S1-076,1,0,246259705
HX-S1-077,1,1,243485136
HX-S1-078,1,1,236557197
HX-S1-079,1,1,243406313
HX-S1-080,1,0,230077250
HX-S1-081,1,1,249092547
HX-S1-082,1,1,238365065
HX-S1-083,1,0,231041662
HX-S1-084,1,1,241640534
HX-S1-085,1,1,241785167
HX-S1-086,1,1,241421256
HX-S1-087,1,0,238818574
HX-S1-088,1,1,234859324
HX-S1-089,1,0,237053351
HX-S1-090,1,1,233394412
HX-S1-091,1,1,238647622
HX-S1-092,1,0,237937323
HX-S1-093,1,1,241623882
HX-S1-094,1,0,243244565
HX-S1-095,1,1,240433504
HX-S1-096,1,1,252111236
HX-S1-097,1,0,240747000
HX-S1-098,1,1,241428255
HX-S1-099,1,1,239763862
HX-S1-100,1,1,243587517
HX-S1-101,1,1,242476525
HX-S1-102,1,1,241391209
HX-S1-103,1,0,239613493
HX-S1-104,1,1,239361969
HX-S1-105,1,1,241877670
HX-S1-106,1,1,250006852
HX-S1-107,1,1,235584820
HX-S1-108,1,0,232223647
HX-S1-109,1,0,231467999
HX-S1-110,1,1,238493262
HX-S1-111,1,1,244366194
HX-S1-112,1,1,240225736
HX-S1-113,1,1,243197799
HX-S1-114,1,0,248045712
HX-S1-115,1,1,237499835
HX-S1-116,1,0,244835403
HX-S1-117,1,0,243977932
HX-S1-118,1,1,238770188
HX-S1-119,1,0,242524789
HX-S1-120,1,0,234698122
HX-S2-001,2,1,189668293
HX-S2-002,2,0,188413065
HX-S2-003,2,1,202511066
HX-S2-004,2,1,197917511
HX-S2-005,2,1,194046985
HX-S2-006,2,1,191167860
HX-S2-007,2,1,184933987
HX-S2-008,2,0,199357989
HX-S2-009,2,0,189832232
HX-S2-010,2,0,184817098
HX-S2-011,2,0,180649718
HX-S2-012,2,1,188859078
HX-S2-013,2,1,195121794
HX-S2-014,2,1,184849179
HX-S2-015,2,0,192493242
HX-S2-016,2,0,198599497
HX-S2-017,2,1,192463405
HX-S2-018,2,1,189005044
HX-S2-019,2,0,188875293
HX-S2-020,2,0,192371571
HX-S2-021,2,1,198553669
HX-S2-022,2,1,194476253
HX-S2-023,2,0,184554640
HX-S2-024,2,1,197213533
HX-S2-025,2,1,188559621
HX-S2-026,2,1,193776227
HX-S2-027,2,0,194066088
HX-S2-028,2,1,196596127
HX-S2-029,2,1,196755493
HX-S2-030,2,0,193918387
HX-S2-031,2,0,204071661
HX-S2-032,2,0,179942224
HX-S2-033,2,0,187690648
HX-S2-034,2,0,197934460
HX-S2-035,2,0,199508394
HX-S2-036,2,0,189291123
HX-S2-037,2,1,181013943
HX-S2-038,2,0,199155774
HX-S2-039,2,1,190008058
HX-S2-040,2,0,191197167
HX-S2-041,2,0,194577652
HX-S2-042,2,1,190044026
HX-S2-043,2,0,197766432
HX-S2-044,2,0,190328072
HX-S2-045,2,0,193997987
HX-S2-046,2,1,189983088
HX-S2-047,2,0,189985808
HX-S2-048,2,1,185407837
HX-S2-049,2,0,185906442
HX-S2-050,2,0,190743914
HX-S2-051,2,0,197498089
HX-S2-052,2,1,193285747
HX-S2-053,2,0,189972479
HX-S2-054,2,1,190495146
HX-S2-055,2,1,192628505
HX-S2-056,2,0,186747952
HX-S2-057,2,0,182375897
HX-S2-058,2,0,196531394
HX-S2-059,2,0,187977291
HX-S2-060,2,0,195728260
HX-S2-061,2,1,195233731
HX-S2-062,2,0,192028487
HX-S2-063,2,1,192772823
HX-S2-064,2,1,188818829
HX-S2-065,2,1,193632827
HX-S2-066,2,0,199975884
HX-S2-067,2,0,194971888
HX-S2-068,2,1,189000552
HX-S2-069,2,1,189780442
HX-S2-070,2,0,196036829
HX-S2-071,2,0,191040667
HX-S2-072,2,1,200892228
HX-S2-073,2,0,202971129
HX-S2-074,2,1,186387816
HX-S2-075,2,0,175821450
HX-S2-076,2,1,187357249
HX-S2-077,2,1,197187524
HX-S2-078,2,0,195802379
HX-S2-079,2,0,196035477
HX-S2-080,2,0,202241653
HX-S2-081,2,0,197235073
HX-S2-082,2,0,186063572
HX-S2-083,2,0,199047796
HX-S2-084,2,0,190797488
HX-S2-085,2,0,186756789
HX-S2-086,2,1,195270592
HX-S2-087,2,1,181574815
HX-S2-088,2,0,198651626
HX-S2-089,2,1,193021957
HX-S2-090,2,1,194726204
HX-S2-091,2,1,186587847
HX-S2-092,2,0,196890198
HX-S2-093,2,0,180632200
HX-S2-094,2,1,202590856
HX-S2-095,2,0,181476585
HX-S2-096,2,1,187944251
HX-S2-097,2,1,195557042
HX-S2-098,2,1,181519441
HX-S2-099,2,1,186999439
HX-S2-100,2,1,181461053
HX-S2-101,2,0,181478671
HX-S2-102,2,0,190697013
HX-S2-103,2,1,189272088
HX-S2-104,2,1,188031245
HX-S2-105,2,1,196900292
HX-S2-106,2,1,186527671
HX-S2-107,2,0,186051185
HX-S2-108,2,1,198813908
HX-S2-109,2,1,187480654
HX-S2-110,2,0,195861769
HX-S3-001,3,0,145575864
HX-S3-002,3,0,141670195
HX-S3-003,3,0,146949201
HX-S3-004,3,0,144153592
HX-S3-005,3,1,142841652
HX-S3-006,3,1,145717229
HX-S3-007,3,0,141732356
HX-S3-008,3,1,139012357
HX-S3-009,3,0,152009880
HX-S3-010,3,0,143083001
HX-S3-011,3,0,143954273
HX-S3-012,3,0,144514860
HX-S3-013,3,0,141240610
HX-S3-014,3,1,143013663
HX-S3-015,3,1,140823491
HX-S3-016,3,0,136885910
HX-S3-017,3,0,139554803
HX-S3-018,3,0,148960851
HX-S3-019,3,1,145539317
HX-S3-020,3,0,143953398
HX-S3-021,3,0,155532745
HX-S3-022,3,1,140772577
HX-S3-023,3,1,142908955
HX-S3-024,3,0,149548940
HX-S3-025,3,0,148235387
HX-S3-026,3,0,153517929
HX-S3-027,3,0,149909949
HX-S3-028,3,0,144371448
HX-S3-029,3,0,142904684
HX-S3-030,3,0,138915293
HX-S3-031,3,1,140275059
HX-S3-032,3,0,139632081
HX-S3-033,3,0,146665773
HX-S3-034,3,0,148248542
HX-S3-035,3,0,142337949
HX-S3-036,3,0,149597776
HX-S3-037,3,1,146213845
HX-S3-038,3,0,146783432
HX-S3-039,3,1,147205045
HX-S3-040,3,0,143786036
HX-S3-041,3,0,148829499
HX-S3-042,3,0,149911514
HX-S3-043,3,1,142085237
HX-S3-044,3,0,147148960
HX-S3-045,3,1,139124528
HX-S3-046,3,1,138421494
HX-S3-047,3,0,145979517
HX-S3-048,3,0,141269873
HX-S3-049,3,0,153407734
HX-S3-050,3,0,137204385
HX-S3-051,3,0,148190602
HX-S3-052,3,1,148670267
HX-S3-053,3,0,144880804
HX-S3-054,3,1,146155443
HX-S3-055,3,0,134604328
HX-S3-056,3,0,153734820
HX-S3-057,3,0,134557695
HX-S3-058,3,1,135829541
HX-S3-059,3,0,146269747
HX-S3-060,3,1,144021499
HX-S3-061,3,0,146134929
HX-S3-062,3,1,141292186
HX-S3-063,3,1,143061287
HX-S3-064,3,1,138643113
HX-S3-065,3,1,150645108
HX-S3-066,3,1,148126492
HX-S3-067,3,0,139050361
HX-S3-068,3,0,146887066
HX-S3-069,3,1,145073563
HX-S3-070,3,0,145947321
HX-S3-071,3,0,138597134
HX-S3-072,3,0,143928073
HX-S3-073,3,0,148101706
HX-S3-074,3,0,139095343
HX-S3-075,3,1,141917358
HX-S3-076,3,0,142088074
HX-S3-077,3,1,145549957
HX-S3-078,3,0,135905622
HX-S3-079,3,1,143014634
HX-S3-080,3,0,140016613
HX-S3-081,3,0,141581840
HX-S3-082,3,1,145048121
HX-S3-083,3,0,140711267
HX-S3-084,3,0,145202641
HX-S3-085,3,0,139231078
HX-S3-086,3,1,146155374
HX-S3-087,3,0,145398994
HX-S3-088,3,0,153973230
HX-S3-089,3,1,151366000
HX-S3-090,3,0,152211907
HX-S4-001,4,0,101940911
HX-S4-002,4,0,90324822
HX-S4-003,4,0,96752647
HX-S4-004,4,1,95908826
HX-S4-005,4,0,94624295
HX-S4-006,4,0,97610657
HX-S4-007,4,0,99073550
HX-S4-008,4,0,92232661
HX-S4-009,4,0,98340970
HX-S4-010,4,0,93206777
HX-S4-011,4,1,96349996
HX-S4-012,4,1,99476445
HX-S4-013,4,0,100861388
HX-S4-014,4,0,91426078
HX-S4-015,4,0,91172323
HX-S4-016,4,0,96654487
HX-S4-017,4,0,100577871
HX-S4-018,4,0,94354334
HX-S4-019,4,0,96307097
HX-S4-020,4,1,94641666
HX-S4-021,4,0,102991459
HX-S4-022,4,1,98738026
HX-S4-023,4,1,97031777
HX-S4-024,4,0,93473840
HX-S4-025,4,1,96861815
HX-S4-026,4,0,103505580
HX-S4-027,4,0,98792379
HX-S4-028,4,0,92340753
HX-S4-029,4,0,91953479
HX-S4-030,4,0,89849454
HX-S4-031,4,0,91713572
HX-S4-032,4,0,93075694
HX-S4-033,4,0,98864655
HX-S4-034,4,0,97224604
HX-S4-035,4,0,103774291
HX-S4-036,4,0,93503108
HX-S4-037,4,0,97122267
HX-S4-038,4,0,89664985
HX-S4-039,4,0,91582500
HX-S4-040,4,0,88299982
HX-S4-041,4,0,78512507
HX-S4-042,4,0,101416579
HX-S4-043,4,0,94371659
HX-S4-044,4,1,91253174
HX-S4-045,4,0,90155655
HX-S4-046,4,0,97588638
HX-S4-047,4,0,88982647
HX-S4-048,4,0,95155664
HX-S4-049,4,0,91165934
HX-S4-050,4,0,104503106
HX-S4-051,4,0,93995363
HX-S4-052,4,0,111942404
HX-S4-053,4,0,91016573
HX-S4-054,4,0,102799886
HX-S4-055,4,0,102827999
HX-S4-056,4,0,95695252
HX-S4-057,4,1,87593806
HX-S4-058,4,0,99180428
HX-S4-059,4,0,92540462
HX-S4-060,4,0,104898810
HX-S4-061,4,0,97992015
HX-S4-062,4,1,90795975
HX-S4-063,4,0,91741432
HX-S4-064,4,1,91945705
HX-S4-065,4,0,97375062
HX-S4-066,4,0,89817285
HX-S4-067,4,0,105504055
HX-S4-068,4,0,93099553
HX-S4-069,4,1,97778052
HX-S4-070,4,0,99981902
HX-S4-071,4,0,97867936
HX-S4-072,4,0,96315547
HX-S4-073,4,1,95564361
HX-S4-074,4,1,91066767
HX-S4-075,4,0,94933977
HX-S4-076,4,0,104211833
HX-S4-077,4,0,87517366
HX-S5-001,5,0,55309085
HX-S5-002,5,0,49914542
HX-S5-003,5,0,48340448
