entity_id,parent_id,segment,start_month,contract_term_months,cancellation_for_convenience,base_mrr_cents
AG-E0050,AG-P218,Enterprise,2021-10,12,false,361727
AG-E0051,AG-P091,Enterprise,2022-11,24,false,141312
AG-E0052,AG-P043,Mid-market,2023-08,24,true,553091
AG-E0053,AG-P148,Mid-market,2021-10,12,false,216019
AG-E0054,AG-P007,Upper mid-market,2021-12,36,false,715913
AG-E0055,AG-P026,Enterprise,2022-04,24,false,273420
AG-E0056,AG-P093,Enterprise,2022-02,24,false,583588
AG-E0057,AG-P035,Public sector,2023-01,36,false,935678
AG-E0058,AG-P023,Mid-market,2023-04,12,false,176860
AG-E0059,AG-P158,Public sector,2021-09,24,false,123562
AG-E0060,AG-P148,Public sector,2021-11,12,false,308210
AG-E0061,AG-P080,Upper mid-market,2023-04,24,false,553612
AG-E0062,AG-P158,Mid-market,2022-10,36,false,576141
AG-E0063,AG-P045,Mid-market,2022-12,12,false,867123
AG-E0064,AG-P027,Upper mid-market,2021-08,36,false,297869
AG-E0065,AG-P031,Public sector,2022-08,36,false,554089
AG-E0066,AG-P158,Upper mid-market,2021-08,24,false,192028
AG-E0067,AG-P107,Public sector,2021-09,12,false,311992
AG-E0068,AG-P103,Upper mid-market,2022-05,24,false,500479
AG-E0069,AG-P085,Public sector,2022-05,36,true,103952
AG-E0070,AG-P018,Upper mid-market,2023-02,24,false,201475
AG-E0071,AG-P053,Upper mid-market,2022-11,12,false,261187
AG-E0072,AG-P190,Enterprise,2022-11,24,false,304730
AG-E0073,AG-P160,Mid-market,2023-04,36,false,222353
AG-E0074,AG-P010,Enterprise,2021-08,36,false,342968
AG-E0075,AG-P128,Enterprise,2022-10,24,false,554692
AG-E0076,AG-P179,Mid-market,2021-08,36,false,234256
AG-E0077,AG-P115,Public sector,2023-08,24,false,536611
AG-E0078,AG-P127,Enterprise,2022-03,24,false,427939
AG-E0079,AG-P128,Upper mid-market,2021-09,24,false,109370
AG-E0080,AG-P198,Enterprise,2022-11,24,false,316000
AG-E0081,AG-P007,Upper mid-market,2021-11,36,false,541182
AG-E0082,AG-P219,Enterprise,2022-01,24,false,134793
AG-E0083,AG-P079,Mid-market,2023-02,24,false,176168
AG-E0084,AG-P033,Public sector,2022-05,36,false,374727
AG-E0085,AG-P001,Upper mid-market,2022-08,24,false,156050
AG-E0086,AG-P084,Mid-market,2023-07,24,true,165754
AG-E0087,AG-P041,Upper mid-market,2022-09,24,false,378238
AG-E0088,AG-P072,Public sector,2022-06,24,false,118080
AG-E0089,AG-P043,Enterprise,2021-08,36,false,216228
AG-E0090,AG-P032,Upper mid-market,2021-09,24,false,165179
AG-E0091,AG-P140,Mid-market,2022-12,36,false,124611
AG-E0092,AG-P068,Upper mid-market,2023-05,12,false,207229
AG-E0093,AG-P045,Mid-market,2023-05,24,false,106784
AG-E0094,AG-P062,Mid-market,2022-03,24,false,85000
AG-E0095,AG-P094,Mid-market,2021-09,12,false,203738
AG-E0096,AG-P055,Enterprise,2023-03,12,false,439625
AG-E0097,AG-P023,Enterprise,2022-12,36,false,814842
AG-E0098,AG-P113,Mid-market,2021-10,12,false,477593
AG-E0099,AG-P035,Upper mid-market,2022-02,36,false,233779
AG-E0100,AG-P086,Enterprise,2021-11,24,false,646463
AG-E0101,AG-P024,Upper mid-market,2022-11,36,false,159881
AG-E0102,AG-P104,Upper mid-market,2022-04,36,false,269537
AG-E0103,AG-P080,Upper mid-market,2021-11,36,true,203216
AG-E0104,AG-P008,Public sector,2023-05,12,false,2434758
AG-E0105,AG-P090,Upper mid-market,2022-08,36,false,123124
AG-E0106,AG-P084,Mid-market,2022-04,36,false,370168
AG-E0107,AG-P093,Enterprise,2022-06,24,false,191307
AG-E0108,AG-P055,Mid-market,2022-01,12,false,85000
AG-E0109,AG-P080,Enterprise,2021-11,36,false,85000
AG-E0110,AG-P158,Mid-market,2022-08,36,false,342033
AG-E0111,AG-P138,Mid-market,2023-06,36,false,231830
AG-E0112,AG-P045,Upper mid-market,2021-10,24,false,206027
AG-E0113,AG-P061,Upper mid-market,2022-11,36,false,515955
AG-E0114,AG-P029,Public sector,2021-09,24,false,202758
AG-E0115,AG-P031,Mid-market,2022-10,24,false,506470
AG-E0116,AG-P021,Public sector,2022-08,24,false,271031
AG-E0117,AG-P184,Upper mid-market,2022-08,36,false,261493
AG-E0118,AG-P027,Upper mid-market,2023-01,24,false,248462
AG-E0119,AG-P158,Mid-market,2022-06,36,false,88940
AG-E0120,AG-P024,Upper mid-market,2023-03,36,true,262506
AG-E0121,AG-P163,Enterprise,2023-03,12,false,174627
AG-E0122,AG-P107,Public sector,2021-11,24,false,384407
AG-E0123,AG-P110,Enterprise,2022-02,24,false,222825
AG-E0124,AG-P112,Mid-market,2022-04,24,false,275149
AG-E0125,AG-P085,Mid-market,2022-02,24,false,369928
AG-E0126,AG-P040,Enterprise,2021-10,36,false,406191
AG-E0127,AG-P080,Enterprise,2021-08,36,false,269092
AG-E0128,AG-P002,Enterprise,2021-08,36,false,500276
AG-E0129,AG-P014,Mid-market,2022-01,36,false,129009
AG-E0130,AG-P079,Mid-market,2023-03,24,false,440163
AG-E0131,AG-P102,Upper mid-market,2021-08,36,false,428680
AG-E0132,AG-P184,Upper mid-market,2023-05,24,false,1175982
AG-E0133,AG-P078,Enterprise,2022-05,36,false,210533
AG-E0134,AG-P093,Upper mid-market,2023-04,12,false,145330
AG-E0135,AG-P163,Mid-market,2022-08,24,false,193087
AG-E0136,AG-P065,Upper mid-market,2023-06,24,false,124804
AG-E0137,AG-P045,Public sector,2023-02,36,true,272262
AG-E0138,AG-P062,Mid-market,2023-08,12,false,449960
AG-E0139,AG-P112,Mid-market,2022-10,36,false,178639
AG-E0140,AG-P119,Upper mid-market,2022-01,12,false,91831
AG-E0141,AG-P010,Upper mid-market,2022-01,36,false,193410
AG-E0142,AG-P052,Upper mid-market,2021-11,36,false,942850
AG-E0143,AG-P142,Public sector,2023-04,24,false,184326
AG-E0144,AG-P030,Upper mid-market,2022-12,12,false,511271
AG-E0145,AG-P206,Enterprise,2021-11,24,false,389410
AG-E0146,AG-P053,Mid-market,2022-02,12,false,903634
AG-E0147,AG-P144,Mid-market,2022-10,36,false,645624
AG-E0148,AG-P045,Public sector,2021-09,36,false,909277
AG-E0149,AG-P163,Mid-market,2022-06,24,false,185116
AG-E0150,AG-P080,Mid-market,2022-01,12,false,112071
AG-E0151,AG-P091,Enterprise,2021-09,36,false,194163
AG-E0152,AG-P206,Mid-market,2023-01,12,false,109411
AG-E0153,AG-P028,Enterprise,2022-12,36,false,365181
AG-E0154,AG-P023,Mid-market,2022-05,24,true,301697
AG-E0155,AG-P113,Public sector,2022-03,24,false,415122
AG-E0156,AG-P113,Public sector,2021-11,24,false,332757
AG-E0157,AG-P062,Mid-market,2022-05,24,false,261586
AG-E0158,AG-P210,Upper mid-market,2022-11,24,false,181915
AG-E0159,AG-P056,Upper mid-market,2021-12,24,false,219100
AG-E0160,AG-P093,Upper mid-market,2023-01,24,false,363327
AG-E0161,AG-P094,Enterprise,2021-08,24,false,197374
AG-E0162,AG-P097,Upper mid-market,2023-03,24,false,907016
AG-E0163,AG-P159,Enterprise,2023-08,24,false,215514
AG-E0164,AG-P061,Mid-market,2021-11,24,false,964166
AG-E0165,AG-P062,Public sector,2023-02,12,false,572488
AG-E0166,AG-P008,Upper mid-market,2021-11,36,false,439196
AG-E0167,AG-P112,Upper mid-market,2023-04,24,false,308903
AG-E0168,AG-P120,Upper mid-market,2023-01,12,false,370894
AG-E0169,AG-P067,Upper mid-market,2023-07,36,false,226523
AG-E0170,AG-P061,Mid-market,2021-10,24,false,214740
AG-E0171,AG-P023,Public sector,2023-01,12,true,310209
AG-E0172,AG-P162,Mid-market,2022-01,12,false,840410
AG-E0173,AG-P113,Public sector,2022-02,12,false,396771
AG-E0174,AG-P065,Enterprise,2021-12,24,false,315820
AG-E0175,AG-P052,Upper mid-market,2022-12,36,false,389014
AG-E0176,AG-P058,Public sector,2021-10,24,false,202884
AG-E0177,AG-P015,Mid-market,2022-12,24,false,576751
AG-E0178,AG-P093,Mid-market,2022-12,24,false,85225
AG-E0179,AG-P041,Public sector,2022-02,36,false,419783
AG-E0180,AG-P206,Enterprise,2023-06,24,false,677631
AG-E0181,AG-P051,Upper mid-market,2023-07,36,false,191868
AG-E0182,AG-P035,Enterprise,2022-01,36,false,410308
AG-E0183,AG-P093,Mid-market,2023-03,24,false,263600
AG-E0184,AG-P113,Mid-market,2023-03,24,false,333389
AG-E0185,AG-P178,Mid-market,2022-03,24,false,223012
AG-E0186,AG-P084,Public sector,2023-03,36,false,179388
AG-E0187,AG-P053,Upper mid-market,2022-12,12,false,996025
AG-E0188,AG-P110,Mid-market,2021-09,24,true,326188
AG-E0189,AG-P011,Mid-market,2022-07,12,false,334306
AG-E0190,AG-P138,Upper mid-market,2022-10,36,false,270699
AG-E0191,AG-P015,Upper mid-market,2023-05,12,false,247479
AG-E0192,AG-P198,Mid-market,2023-03,36,false,446478
AG-E0193,AG-P160,Upper mid-market,2022-02,12,false,276721
AG-E0194,AG-P165,Enterprise,2022-06,36,false,444016
AG-E0195,AG-P014,Upper mid-market,2021-12,12,false,239823
AG-E0196,AG-P094,Upper mid-market,2023-08,36,false,444195
AG-E0197,AG-P164,Public sector,2021-08,24,false,376813
AG-E0198,AG-P198,Mid-market,2022-05,36,false,338285
AG-E0199,AG-P104,Mid-market,2022-07,24,false,251031
AG-E0200,AG-P094,Public sector,2023-06,24,false,248321
AG-E0201,AG-P091,Upper mid-market,2023-06,24,false,199106
AG-E0202,AG-P001,Upper mid-market,2023-07,36,false,272979
AG-E0203,AG-P007,Enterprise,2023-07,36,false,506466
AG-E0204,AG-P006,Mid-market,2022-11,24,false,824841
AG-E0205,AG-P036,Upper mid-market,2022-06,36,true,340489
AG-E0206,AG-P015,Mid-market,2022-09,24,false,96062
AG-E0207,AG-P077,Enterprise,2022-06,24,false,604520
AG-E0208,AG-P031,Mid-market,2022-05,24,false,98854
AG-E0209,AG-P197,Enterprise,2022-02,24,false,187319
AG-E0210,AG-P028,Enterprise,2023-02,36,false,159141
AG-E0211,AG-P014,Upper mid-market,2021-12,24,false,434586
AG-E0212,AG-P006,Enterprise,2022-08,24,false,223946
AG-E0213,AG-P063,Upper mid-market,2022-04,24,false,333659
AG-E0214,AG-P065,Mid-market,2021-12,24,false,172224
AG-E0215,AG-P109,Upper mid-market,2022-06,24,false,159190
AG-E0216,AG-P094,Public sector,2022-06,24,false,211780
AG-E0217,AG-P165,Public sector,2021-09,36,false,411890
AG-E0218,AG-P034,Upper mid-market,2021-11,24,false,144805
AG-E0219,AG-P171,Mid-market,2023-05,12,false,519300
AG-E0220,AG-P042,Enterprise,2021-09,24,false,321180
AG-E0221,AG-P066,Enterprise,2021-11,12,false,112398
AG-E0222,AG-P138,Upper mid-market,2022-07,12,true,748168
AG-E0223,AG-P140,Mid-market,2021-10,36,false,874924
AG-E0224,AG-P087,Mid-market,2023-02,24,false,481758
AG-E0225,AG-P024,Mid-market,2022-06,24,false,189566
AG-E0226,AG-P210,Mid-market,2022-01,24,false,239678
AG-E0227,AG-P030,Upper mid-market,2022-07,24,false,353472
AG-E0228,AG-P138,Mid-market,2023-08,24,false,361589
AG-E0229,AG-P091,Public sector,2021-10,36,false,537771
AG-E0230,AG-P111,Public sector,2023-08,12,false,249622
AG-E0231,AG-P062,Upper mid-market,2023-01,24,false,186409
AG-E0232,AG-P050,Enterprise,2022-11,12,false,115098
AG-E0233,AG-P056,Enterprise,2022-10,12,false,99188
AG-E0234,AG-P114,Enterprise,2023-03,36,false,370005
AG-E0235,AG-P165,Mid-market,2021-12,24,false,524055
AG-E0236,AG-P162,Upper mid-market,2022-05,12,false,141898
AG-E0237,AG-P114,Public sector,2022-07,12,false,596572
AG-E0238,AG-P143,Mid-market,2023-04,36,false,239179
AG-E0239,AG-P065,Public sector,2022-09,24,true,400068
AG-E0240,AG-P154,Public sector,2021-11,36,false,149589
AG-E0241,AG-P047,Mid-market,2023-01,24,false,432239
AG-E0242,AG-P158,Public sector,2022-09,36,false,120937
AG-E0243,AG-P146,Mid-market,2023-05,24,false,85000
AG-E0244,AG-P062,Public sector,2023-06,12,false,972326
AG-E0245,AG-P217,Upper mid-market,2023-03,36,false,260944
AG-E0246,AG-P090,Mid-market,2021-09,24,false,562717
AG-E0247,AG-P086,Public sector,2021-10,36,false,305915
AG-E0248,AG-P009,Upper mid-market,2023-07,36,false,85000
AG-E0249,AG-P184,Enterprise,2022-08,24,false,349875
AG-E0250,AG-P148,Mid-market,2022-08,24,false,162283
AG-E0251,AG-P062,Enterprise,2021-10,36,false,332482
AG-E0252,AG-P106,Upper mid-market,2023-05,24,false,210663
AG-E0253,AG-P052,Upper mid-market,2022-02,24,false,334831
AG-E0254,AG-P009,Public sector,2022-12,36,false,263567
AG-E0255,AG-P036,Mid-market,2022-11,24,false,337936
AG-E0256,AG-P091,Mid-market,2022-09,24,true,266711
AG-E0257,AG-P007,Public sector,2022-05,24,false,410146
AG-E0258,AG-P050,Public sector,2022-05,12,false,474566
AG-E0259,AG-P114,Upper mid-market,2022-09,24,false,828989
AG-E0260,AG-P116,Upper mid-market,2022-08,12,false,110094
AG-E0261,AG-P015,Upper mid-market,2021-08,12,false,464746
AG-E0262,AG-P094,Enterprise,2022-03,24,false,1010473
AG-E0263,AG-P074,Mid-market,2022-06,12,false,414419
AG-E0264,AG-P089,Enterprise,2022-09,36,false,418186
AG-E0265,AG-P159,Mid-market,2023-04,24,false,331443
AG-E0266,AG-P090,Upper mid-market,2021-11,24,false,278122
AG-E0267,AG-P007,Public sector,2022-10,12,false,258648
AG-E0268,AG-P015,Upper mid-market,2021-12,24,false,180625
AG-E0269,AG-P198,Enterprise,2023-06,24,false,286444
AG-E0270,AG-P080,Enterprise,2022-08,24,false,684213
AG-E0271,AG-P093,Upper mid-market,2023-02,24,false,455010
AG-E0272,AG-P192,Public sector,2022-06,24,false,441845
AG-E0273,AG-P018,Mid-market,2022-11,12,true,610681
AG-E0274,AG-P091,Upper mid-market,2022-11,24,false,365961
AG-E0275,AG-P169,Mid-market,2022-06,24,false,454465
AG-E0276,AG-P030,Upper mid-market,2023-06,24,false,290179
AG-E0277,AG-P128,Upper mid-market,2021-08,36,false,258054
AG-E0278,AG-P058,Mid-market,2022-10,24,false,452841
AG-E0279,AG-P023,Enterprise,2023-06,24,false,276025
AG-E0280,AG-P128,Public sector,2022-10,36,false,916957
AG-E0281,AG-P025,Public sector,2023-07,36,false,180391
AG-E0282,AG-P029,Enterprise,2022-05,24,false,403920
AG-E0283,AG-P084,Public sector,2023-08,24,false,1641242
AG-E0284,AG-P062,Enterprise,2021-08,24,false,536615
AG-E0285,AG-P074,Upper mid-market,2022-10,24,false,337544
AG-E0286,AG-P031,Enterprise,2022-03,24,false,628096
AG-E0287,AG-P203,Public sector,2022-01,12,false,846833
AG-E0288,AG-P072,Enterprise,2021-11,24,false,320284
AG-E0289,AG-P093,Enterprise,2021-08,12,false,254506
AG-E0290,AG-P007,Enterprise,2022-05,36,true,245265
AG-E0291,AG-P024,Upper mid-market,2023-08,12,false,202165
AG-E0292,AG-P089,Upper mid-market,2023-03,12,false,154327
AG-E0293,AG-P035,Public sector,2023-01,24,false,407521
AG-E0294,AG-P093,Enterprise,2021-10,24,false,85000
AG-E0295,AG-P140,Mid-market,2022-02,24,false,246571
AG-E0296,AG-P148,Upper mid-market,2022-01,24,false,103495
AG-E0297,AG-P042,Upper mid-market,2022-10,36,false,169751
AG-E0298,AG-P004,Mid-market,2023-05,24,false,1101932
AG-E0299,AG-P094,Mid-market,2022-08,36,false,665029
AG-E0300,AG-P102,Public sector,2022-09,12,false,188725
AG-E0301,AG-P106,Upper mid-market,2022-01,12,false,917750
AG-E0302,AG-P065,Mid-market,2023-06,12,false,187845
AG-E0303,AG-P028,Public sector,2023-06,24,false,360707
AG-E0304,AG-P146,Upper mid-market,2021-09,12,false,425037
AG-E0305,AG-P198,Public sector,2022-05,24,false,408527
AG-E0306,AG-P031,Public sector,2022-11,24,false,114933
AG-E0307,AG-P128,Upper mid-market,2022-12,36,true,130804
AG-E0308,AG-P079,Mid-market,2023-06,36,false,430771
AG-E0309,AG-P174,Enterprise,2021-08,24,false,428260
AG-E0310,AG-P174,Public sector,2023-03,24,false,348273
AG-E0311,AG-P029,Upper mid-market,2021-10,12,false,800107
AG-E0312,AG-P128,Public sector,2023-03,12,false,88247
AG-E0313,AG-P038,Public sector,2023-01,36,false,136529
AG-E0314,AG-P072,Upper mid-market,2022-07,36,false,255978
AG-E0315,AG-P045,Public sector,2023-08,12,false,159818
AG-E0316,AG-P135,Public sector,2022-12,36,false,169697
AG-E0317,AG-P188,Mid-market,2021-12,36,false,494983
AG-E0318,AG-P218,Mid-market,2022-04,24,false,95846
AG-E0319,AG-P110,Enterprise,2022-07,12,false,313886
AG-E0320,AG-P053,Mid-market,2023-02,12,false,107946
AG-E0321,AG-P049,Upper mid-market,2022-06,36,false,203937
AG-E0322,AG-P202,Enterprise,2021-12,24,false,284612
AG-E0323,AG-P144,Mid-market,2023-07,12,false,330250
AG-E0324,AG-P184,Upper mid-market,2023-01,24,true,917067
AG-E0325,AG-P093,Mid-market,2023-02,24,false,93985
AG-E0326,AG-P067,Mid-market,2021-11,24,false,592116
AG-E0327,AG-P001,Upper mid-market,2022-04,24,false,211146
AG-E0328,AG-P210,Mid-market,2023-01,12,false,232015
AG-E0329,AG-P091,Public sector,2022-06,12,false,219811
AG-E0330,AG-P068,Public sector,2021-08,12,false,462417
AG-E0331,AG-P028,Public sector,2021-10,24,false,181232
AG-E0332,AG-P041,Upper mid-market,2021-10,36,false,414272
AG-E0333,AG-P016,Mid-market,2021-10,12,false,181349
AG-E0334,AG-P010,Mid-market,2023-04,24,false,367963
AG-E0335,AG-P016,Mid-market,2022-11,24,false,451894
AG-E0336,AG-P184,Enterprise,2023-05,36,false,131002
AG-E0337,AG-P102,Upper mid-market,2022-06,12,false,125460
AG-E0338,AG-P031,Upper mid-market,2023-03,12,false,118569
AG-E0339,AG-P014,Upper mid-market,2022-07,24,false,227276
AG-E0340,AG-P162,Public sector,2021-12,36,false,212009
AG-E0341,AG-P036,Public sector,2023-01,24,true,479414
AG-E0342,AG-P148,Mid-market,2021-09,12,false,1114336
AG-E0343,AG-P146,Upper mid-market,2021-09,36,false,240164
AG-E0344,AG-P086,Upper mid-market,2022-12,12,false,326348
AG-E0345,AG-P173,Upper mid-market,2022-05,12,false,162640
AG-E0346,AG-P192,Public sector,2023-06,36,false,300110
AG-E0347,AG-P133,Upper mid-market,2022-05,36,false,354067
AG-E0348,AG-P112,Upper mid-market,2023-02,12,false,289539
AG-E0349,AG-P002,Upper mid-market,2022-10,36,false,263645
AG-E0350,AG-P160,Enterprise,2023-04,24,false,287982
AG-E0351,AG-P087,Upper mid-market,2022-05,24,false,257262
AG-E0352,AG-P093,Mid-market,2023-05,24,false,275586
AG-E0353,AG-P062,Mid-market,2022-08,24,false,886753
AG-E0354,AG-P010,Mid-market,2022-11,36,false,531430
AG-E0355,AG-P001,Mid-market,2023-08,36,false,233647
AG-E0356,AG-P026,Mid-market,2021-09,24,false,101562
AG-E0357,AG-P040,Mid-market,2022-07,36,false,359481
AG-E0358,AG-P115,Enterprise,2022-08,24,true,156931
AG-E0359,AG-P059,Mid-market,2022-07,24,false,495017
AG-E0360,AG-P112,Enterprise,2021-12,24,false,438573
AG-E0361,AG-P037,Upper mid-market,2023-08,24,false,369123
AG-E0362,AG-P078,Mid-market,2023-06,36,false,318562
AG-E0363,AG-P043,Mid-market,2022-03,24,false,475386
AG-E0364,AG-P080,Mid-market,2023-07,24,false,355921
AG-E0365,AG-P053,Public sector,2023-03,12,false,244979
AG-E0366,AG-P018,Public sector,2022-08,12,false,318086
AG-E0367,AG-P140,Upper mid-market,2022-05,24,false,129489
AG-E0368,AG-P092,Upper mid-market,2022-06,24,false,85000
AG-E0369,AG-P055,Public sector,2021-12,12,false,198356
AG-E0370,AG-P028,Upper mid-market,2022-01,12,false,191312
AG-E0371,AG-P045,Upper mid-market,2021-10,36,false,1279032
AG-E0372,AG-P005,Mid-market,2022-04,36,false,479151
AG-E0373,AG-P035,Mid-market,2023-06,24,false,564075
AG-E0374,AG-P009,Mid-market,2022-03,12,false,561470
AG-E0375,AG-P053,Enterprise,2021-10,24,true,198830
AG-E0376,AG-P112,Enterprise,2022-04,24,false,208035
AG-E0377,AG-P164,Upper mid-market,2023-08,12,false,1079045
AG-E0378,AG-P218,Mid-market,2021-09,24,false,433010
AG-E0379,AG-P084,Upper mid-market,2022-09,36,false,529181
AG-E0380,AG-P084,Mid-market,2023-02,36,false,98620
AG-E0381,AG-P062,Upper mid-market,2021-09,36,false,270310
AG-E0382,AG-P174,Enterprise,2021-10,24,false,240685
AG-E0383,AG-P165,Mid-market,2022-11,12,false,300333
AG-E0384,AG-P078,Mid-market,2022-08,24,false,110925
AG-E0385,AG-P060,Enterprise,2022-03,36,false,188169
AG-E0386,AG-P219,Mid-market,2023-04,24,false,225156
AG-E0387,AG-P020,Public sector,2022-01,12,false,474501
AG-E0388,AG-P035,Mid-market,2021-11,36,false,275727
AG-E0389,AG-P078,Mid-market,2021-11,24,false,112715
AG-E0390,AG-P165,Public sector,2022-03,24,false,960812
AG-E0391,AG-P173,Upper mid-market,2022-04,12,false,433207
AG-E0392,AG-P024,Mid-market,2021-11,24,true,203223
AG-E0393,AG-P079,Enterprise,2023-02,12,false,491421
AG-E0394,AG-P007,Upper mid-market,2023-07,24,false,280635
AG-E0395,AG-P204,Upper mid-market,2022-01,36,false,262394
AG-E0396,AG-P146,Enterprise,2022-09,24,false,183618
AG-E0397,AG-P121,Enterprise,2023-01,24,false,508805
AG-E0398,AG-P060,Upper mid-market,2022-09,24,false,330546
AG-E0399,AG-P163,Mid-market,2023-04,36,false,297301
AG-E0400,AG-P103,Mid-market,2023-05,24,false,618659
AG-E0401,AG-P061,Mid-market,2022-05,24,false,259672
AG-E0402,AG-P007,Enterprise,2023-04,12,false,350880
AG-E0403,AG-P112,Mid-market,2022-12,24,false,393556
AG-E0404,AG-P063,Mid-market,2022-12,24,false,290150
AG-E0405,AG-P094,Mid-market,2023-07,24,false,245593
AG-E0406,AG-P116,Upper mid-market,2023-08,36,false,388425
AG-E0407,AG-P029,Upper mid-market,2022-01,36,false,201423
AG-E0408,AG-P133,Public sector,2022-11,12,false,266782
AG-E0409,AG-P024,Mid-market,2022-01,24,true,367767
AG-E0410,AG-P002,Enterprise,2023-04,36,false,516744
AG-E0411,AG-P140,Upper mid-market,2022-12,24,false,350695
AG-E0412,AG-P043,Enterprise,2023-04,36,false,534984
AG-E0413,AG-P015,Mid-market,2021-11,12,false,117531
AG-E0414,AG-P033,Enterprise,2022-06,12,false,383690
AG-E0415,AG-P143,Upper mid-market,2023-05,24,false,591509
AG-E0416,AG-P029,Enterprise,2022-02,12,false,1177757
AG-E0417,AG-P219,Public sector,2023-08,24,false,161289
AG-E0418,AG-P038,Enterprise,2022-03,24,false,358435
AG-E0419,AG-P159,Public sector,2021-08,12,false,85000
AG-E0420,AG-P043,Upper mid-market,2021-08,36,false,371668
AG-E0421,AG-P031,Mid-market,2022-04,24,false,173692
AG-E0422,AG-P043,Mid-market,2023-08,24,false,417590
AG-E0423,AG-P164,Enterprise,2022-09,24,false,896415
AG-E0424,AG-P028,Enterprise,2023-03,12,false,85000
AG-E0425,AG-P078,Mid-market,2022-09,24,false,241966
AG-E0426,AG-P109,Mid-market,2022-10,24,true,340780
AG-E0427,AG-P032,Public sector,2022-07,24,false,266117
AG-E0428,AG-P011,Public sector,2022-03,36,false,407450
AG-E0429,AG-P056,Mid-market,2022-08,24,false,471511
AG-E0430,AG-P173,Upper mid-market,2022-10,24,false,320402
AG-E0431,AG-P143,Mid-market,2023-06,36,false,562551
AG-E0432,AG-P151,Mid-market,2022-05,24,false,363335
AG-E0433,AG-P093,Upper mid-market,2023-06,12,false,350765
AG-E0434,AG-P045,Enterprise,2022-06,24,false,317140
AG-E0435,AG-P045,Public sector,2023-06,36,false,519019
AG-E0436,AG-P072,Upper mid-market,2023-01,24,false,328709
AG-E0437,AG-P141,Upper mid-market,2022-01,36,false,208561
AG-E0438,AG-P094,Public sector,2022-01,36,false,192267
AG-E0439,AG-P210,Enterprise,2021-12,24,false,649862
AG-E0440,AG-P080,Public sector,2022-11,12,false,226764
AG-E0441,AG-P102,Mid-market,2021-10,24,false,408760
AG-E0442,AG-P094,Mid-market,2021-08,24,false,319506
