invoice_id,month,entity_id,billed_subscription_cents,credit_cents,net_invoice_cents,collected_cents,live_arr_cents,booked_arr_cents,implementation_dependent,cancellable
2024-01-AG-E0002,2024-01,AG-E0002,522509,0,522509,520941,6270108,6270108,0,0
2024-02-AG-E0002,2024-02,AG-E0002,523745,0,523745,522173,6284940,6284940,0,0
2024-03-AG-E0002,2024-03,AG-E0002,540734,0,540734,539111,6488808,6488808,0,0
2024-04-AG-E0002,2024-04,AG-E0002,542013,0,542013,540386,6504156,6504156,0,0
2024-05-AG-E0002,2024-05,AG-E0002,543295,0,543295,541665,6519540,6519540,0,0
2024-06-AG-E0002,2024-06,AG-E0002,544580,0,544580,542946,6534960,6534960,0,0
2024-07-AG-E0002,2024-07,AG-E0002,545868,0,545868,544230,6550416,6550416,0,0
2024-08-AG-E0002,2024-08,AG-E0002,547159,0,547159,545517,6565908,6565908,0,0
2024-09-AG-E0002,2024-09,AG-E0002,548454,0,548454,546808,6581448,6581448,0,0
2024-10-AG-E0002,2024-10,AG-E0002,549752,0,549752,548102,6597024,6597024,0,0
2024-11-AG-E0002,2024-11,AG-E0002,551053,0,551053,549399,6612636,6612636,0,0
2024-12-AG-E0002,2024-12,AG-E0002,552357,0,552357,550699,6628284,6628284,0,0
2025-01-AG-E0002,2025-01,AG-E0002,553664,0,553664,552003,6643968,6643968,0,0
2025-02-AG-E0002,2025-02,AG-E0002,554974,0,554974,553309,6659688,6659688,0,0
2025-03-AG-E0002,2025-03,AG-E0002,572976,0,572976,571257,6875712,6875712,0,0
2025-04-AG-E0002,2025-04,AG-E0002,574332,0,574332,572609,6891984,6891984,0,0
2025-05-AG-E0002,2025-05,AG-E0002,575691,3454,572237,570520,6908292,6908292,0,0
2025-06-AG-E0002,2025-06,AG-E0002,577053,0,577053,575321,6924636,6924636,0,0
2025-07-AG-E0002,2025-07,AG-E0002,578418,0,578418,576682,6941016,6941016,0,0
2025-08-AG-E0002,2025-08,AG-E0002,579786,0,579786,578046,6957432,6957432,0,0
2025-09-AG-E0002,2025-09,AG-E0002,581158,0,581158,579414,6973896,6973896,0,0
2025-10-AG-E0002,2025-10,AG-E0002,582533,0,582533,580785,6990396,6990396,0,0
2025-11-AG-E0002,2025-11,AG-E0002,583911,0,583911,582159,7006932,7006932,0,0
2025-12-AG-E0002,2025-12,AG-E0002,585292,0,585292,583536,7023504,7023504,0,0
2026-01-AG-E0002,2026-01,AG-E0002,586677,0,586677,584916,7040124,7040124,0,0
2026-02-AG-E0002,2026-02,AG-E0002,588065,0,588065,586300,7056780,7056780,0,0
2026-03-AG-E0002,2026-03,AG-E0002,607140,0,607140,605318,7285680,7285680,0,0
2026-04-AG-E0002,2026-04,AG-E0002,608576,0,608576,606750,7302912,7302912,0,0
2026-05-AG-E0002,2026-05,AG-E0002,610016,0,610016,608185,7320192,7320192,0,0
2026-06-AG-E0002,2026-06,AG-E0002,611459,0,611459,609624,7337508,7337508,0,0
2026-07-AG-E0002,2026-07,AG-E0002,612906,0,612906,611067,7354872,7354872,0,0
2023-02-AG-E0003,2023-02,AG-E0003,924076,0,924076,921303,11088912,11088912,0,0
2023-03-AG-E0003,2023-03,AG-E0003,925739,0,925739,922961,11108868,11108868,0,0
2023-04-AG-E0003,2023-04,AG-E0003,927405,0,927405,924622,11128860,11128860,0,0
2023-05-AG-E0003,2023-05,AG-E0003,929074,5574,923500,920729,11148888,11148888,0,0
2023-06-AG-E0003,2023-06,AG-E0003,930746,0,930746,927953,11168952,11168952,0,0
2023-07-AG-E0003,2023-07,AG-E0003,932421,0,932421,929623,11189052,11189052,0,0
2023-08-AG-E0003,2023-08,AG-E0003,934099,0,934099,931296,11209188,11209188,0,0
2023-09-AG-E0003,2023-09,AG-E0003,935780,0,935780,932972,11229360,11229360,0,0
2023-10-AG-E0003,2023-10,AG-E0003,937464,0,937464,934651,11249568,11249568,0,0
2023-11-AG-E0003,2023-11,AG-E0003,939151,0,939151,936333,11269812,11269812,0,0
2023-12-AG-E0003,2023-12,AG-E0003,940841,0,940841,938018,11290092,11290092,0,0
2024-01-AG-E0003,2024-01,AG-E0003,942535,0,942535,939707,11310420,11310420,0,0
2024-02-AG-E0003,2024-02,AG-E0003,972559,0,972559,969641,11670708,11670708,0,0
2024-03-AG-E0003,2024-03,AG-E0003,974310,0,974310,971387,11691720,11691720,0,0
2024-04-AG-E0003,2024-04,AG-E0003,976064,0,976064,973135,11712768,11712768,0,0
2024-05-AG-E0003,2024-05,AG-E0003,977821,0,977821,974887,11733852,11733852,0,0
2024-06-AG-E0003,2024-06,AG-E0003,979581,0,979581,976642,11754972,11754972,0,0
2024-07-AG-E0003,2024-07,AG-E0003,981344,0,981344,978399,11776128,11776128,0,0
2024-08-AG-E0003,2024-08,AG-E0003,983110,0,983110,980160,11797320,11797320,0,0
2024-09-AG-E0003,2024-09,AG-E0003,984880,0,984880,981925,11818560,11818560,0,0
2024-10-AG-E0003,2024-10,AG-E0003,986653,0,986653,983693,11839836,11839836,0,0
2024-11-AG-E0003,2024-11,AG-E0003,988429,0,988429,985463,11861148,11861148,0,0
2024-12-AG-E0003,2024-12,AG-E0003,990208,0,990208,987237,11882496,11882496,0,0
2025-01-AG-E0003,2025-01,AG-E0003,991990,0,991990,989014,11903880,11903880,0,0
2025-02-AG-E0003,2025-02,AG-E0003,1023589,0,1023589,1020518,12283068,12283068,0,0
2025-03-AG-E0003,2025-03,AG-E0003,1025431,0,1025431,1022354,12305172,12305172,0,0
2025-04-AG-E0003,2025-04,AG-E0003,1027277,6163,1021114,1018050,12327324,12327324,0,0
2025-05-AG-E0003,2025-05,AG-E0003,1029126,0,1029126,1026038,12349512,12349512,0,0
2025-06-AG-E0003,2025-06,AG-E0003,1030978,0,1030978,1027885,12371736,12371736,0,0
2025-07-AG-E0003,2025-07,AG-E0003,1032834,0,1032834,1029735,12394008,12394008,0,0
2025-08-AG-E0003,2025-08,AG-E0003,1034693,0,1034693,1031588,12416316,12416316,0,0
2025-09-AG-E0003,2025-09,AG-E0003,1036555,0,1036555,1033445,12438660,12438660,0,0
2025-10-AG-E0003,2025-10,AG-E0003,1038421,0,1038421,1035305,12461052,12461052,0,0
2025-11-AG-E0003,2025-11,AG-E0003,1040290,0,1040290,1037169,12483480,12483480,0,0
2025-12-AG-E0003,2025-12,AG-E0003,1042163,0,1042163,1039036,12505956,12505956,0,0
2026-01-AG-E0003,2026-01,AG-E0003,1044039,0,1044039,1040906,12528468,12528468,0,0
2026-02-AG-E0003,2026-02,AG-E0003,1077296,0,1077296,1074064,12927552,12927552,0,0
2026-03-AG-E0003,2026-03,AG-E0003,1079235,0,1079235,1075997,12950820,12950820,0,0
2026-04-AG-E0003,2026-04,AG-E0003,1081178,0,1081178,1077934,12974136,12974136,0,0
2026-05-AG-E0003,2026-05,AG-E0003,1083124,0,1083124,1079874,12997488,12997488,0,0
2026-06-AG-E0003,2026-06,AG-E0003,1085074,0,1085074,1081818,13020888,13020888,0,0
2026-07-AG-E0003,2026-07,AG-E0003,1087027,0,1087027,1083765,13044324,13044324,0,0
2021-11-AG-E0004,2021-11,AG-E0004,486161,0,486161,484702,5833932,5833932,0,0
2021-12-AG-E0004,2021-12,AG-E0004,487036,0,487036,485574,5844432,5844432,0,0
2022-01-AG-E0004,2022-01,AG-E0004,487913,0,487913,486449,5854956,5854956,0,0
2022-02-AG-E0004,2022-02,AG-E0004,488791,0,488791,487324,5865492,5865492,0,0
2022-03-AG-E0004,2022-03,AG-E0004,489671,0,489671,488201,5876052,5876052,0,0
2022-04-AG-E0004,2022-04,AG-E0004,490552,0,490552,489080,5886624,5886624,0,0
2022-05-AG-E0004,2022-05,AG-E0004,491435,0,491435,489960,5897220,5897220,0,0
2022-06-AG-E0004,2022-06,AG-E0004,492320,0,492320,490843,5907840,5907840,0,0
2022-07-AG-E0004,2022-07,AG-E0004,493206,0,493206,491726,5918472,5918472,0,0
2022-08-AG-E0004,2022-08,AG-E0004,494094,0,494094,492611,5929128,5929128,0,0
2022-09-AG-E0004,2022-09,AG-E0004,494983,0,494983,493498,5939796,5939796,0,0
2022-10-AG-E0004,2022-10,AG-E0004,495874,0,495874,494386,5950488,5950488,0,0
2022-11-AG-E0004,2022-11,AG-E0004,511670,0,511670,510134,6140040,6140040,0,0
2022-12-AG-E0004,2022-12,AG-E0004,512591,0,512591,511053,6151092,6151092,0,0
2023-01-AG-E0004,2023-01,AG-E0004,513514,0,513514,511973,6162168,6162168,0,0
2023-02-AG-E0004,2023-02,AG-E0004,514438,0,514438,512894,6173256,6173256,0,0
2023-03-AG-E0004,2023-03,AG-E0004,515364,0,515364,513817,6184368,6184368,0,0
2023-04-AG-E0004,2023-04,AG-E0004,516292,3097,513195,511655,6195504,6195504,0,0
2023-05-AG-E0004,2023-05,AG-E0004,517221,0,517221,515669,6206652,6206652,0,0
2023-06-AG-E0004,2023-06,AG-E0004,518152,0,518152,516597,6217824,6217824,0,0
2023-07-AG-E0004,2023-07,AG-E0004,519085,0,519085,517527,6229020,6229020,0,0
2023-08-AG-E0004,2023-08,AG-E0004,520019,0,520019,518458,6240228,6240228,0,0
2023-09-AG-E0004,2023-09,AG-E0004,520955,0,520955,519392,6251460,6251460,0,0
2023-10-AG-E0004,2023-10,AG-E0004,521893,0,521893,520327,6262716,6262716,0,0
2023-11-AG-E0004,2023-11,AG-E0004,538517,0,538517,536901,6462204,6462204,0,0
2023-12-AG-E0004,2023-12,AG-E0004,539486,0,539486,537867,6473832,6473832,0,0
2024-01-AG-E0004,2024-01,AG-E0004,540457,0,540457,538835,6485484,6485484,0,0
2024-02-AG-E0004,2024-02,AG-E0004,541430,0,541430,539805,6497160,6497160,0,0
2024-03-AG-E0004,2024-03,AG-E0004,542405,0,542405,540777,6508860,6508860,0,0
2024-04-AG-E0004,2024-04,AG-E0004,543381,0,543381,541750,6520572,6520572,0,0
2024-05-AG-E0004,2024-05,AG-E0004,544359,0,544359,542725,6532308,6532308,0,0
2024-06-AG-E0004,2024-06,AG-E0004,545339,0,545339,543702,6544068,6544068,0,0
2024-07-AG-E0004,2024-07,AG-E0004,546321,0,546321,544682,6555852,6555852,0,0
2024-08-AG-E0004,2024-08,AG-E0004,547304,0,547304,545662,6567648,6567648,0,0
2024-09-AG-E0004,2024-09,AG-E0004,548289,0,548289,546644,6579468,6579468,0,0
2024-10-AG-E0004,2024-10,AG-E0004,549276,0,549276,547628,6591312,6591312,0,0
2024-11-AG-E0004,2024-11,AG-E0004,566773,0,566773,565072,6801276,6801276,0,0
2024-12-AG-E0004,2024-12,AG-E0004,567793,0,567793,566089,6813516,6813516,0,0
2025-01-AG-E0004,2025-01,AG-E0004,568815,0,568815,567108,6825780,6825780,0,0
2025-02-AG-E0004,2025-02,AG-E0004,569839,0,569839,568129,6838068,6838068,0,0
2025-03-AG-E0004,2025-03,AG-E0004,570865,3425,567440,565737,6850380,6850380,0,0
2025-04-AG-E0004,2025-04,AG-E0004,571893,0,571893,570177,6862716,6862716,0,0
2025-05-AG-E0004,2025-05,AG-E0004,572922,0,572922,571203,6875064,6875064,0,0
2025-06-AG-E0004,2025-06,AG-E0004,573953,0,573953,572231,6887436,6887436,0,0
2025-07-AG-E0004,2025-07,AG-E0004,574986,0,574986,573261,6899832,6899832,0,0
2025-08-AG-E0004,2025-08,AG-E0004,576021,0,576021,574292,6912252,6912252,0,0
2025-09-AG-E0004,2025-09,AG-E0004,577058,0,577058,575326,6924696,6924696,0,0
2025-10-AG-E0004,2025-10,AG-E0004,578097,0,578097,576362,6937164,6937164,0,0
2025-11-AG-E0004,2025-11,AG-E0004,596512,0,596512,594722,7158144,7158144,0,0
2025-12-AG-E0004,2025-12,AG-E0004,597586,0,597586,595793,7171032,7171032,0,0
2026-01-AG-E0004,2026-01,AG-E0004,598662,0,598662,596866,7183944,7183944,0,0
2026-02-AG-E0004,2026-02,AG-E0004,599740,0,599740,597940,7196880,7196880,0,0
2026-03-AG-E0004,2026-03,AG-E0004,600820,0,600820,599017,7209840,7209840,0,0
2026-04-AG-E0004,2026-04,AG-E0004,601901,0,601901,600095,7222812,7222812,0,0
2026-05-AG-E0004,2026-05,AG-E0004,602984,0,602984,601175,7235808,7235808,0,0
2026-06-AG-E0004,2026-06,AG-E0004,604069,0,604069,602256,7248828,7248828,0,0
2026-07-AG-E0004,2026-07,AG-E0004,605156,0,605156,603340,7261872,7261872,0,0
2022-07-AG-E0005,2022-07,AG-E0005,323650,0,323650,322679,3883800,3883800,0,0
2022-08-AG-E0005,2022-08,AG-E0005,324333,0,324333,323360,3891996,3891996,0,0
2022-09-AG-E0005,2022-09,AG-E0005,325018,0,325018,324042,3900216,3900216,0,0
2022-10-AG-E0005,2022-10,AG-E0005,325704,0,325704,324726,3908448,3908448,0,0
2022-11-AG-E0005,2022-11,AG-E0005,326391,0,326391,325411,3916692,3916692,0,0
2022-12-AG-E0005,2022-12,AG-E0005,327080,0,327080,326098,3924960,3924960,0,0
2023-01-AG-E0005,2023-01,AG-E0005,327770,0,327770,326786,3933240,3933240,0,0
2023-02-AG-E0005,2023-02,AG-E0005,328462,0,328462,327476,3941544,3941544,0,0
2023-03-AG-E0005,2023-03,AG-E0005,329155,1974,327181,326199,3949860,3949860,0,0
2023-04-AG-E0005,2023-04,AG-E0005,329850,0,329850,328860,3958200,3958200,0,0
2023-05-AG-E0005,2023-05,AG-E0005,330546,0,330546,329554,3966552,3966552,0,0
2023-06-AG-E0005,2023-06,AG-E0005,331244,0,331244,330250,3974928,3974928,0,0
2023-07-AG-E0005,2023-07,AG-E0005,341901,0,341901,340875,4102812,4102812,0,0
2023-08-AG-E0005,2023-08,AG-E0005,342623,0,342623,341595,4111476,4111476,0,0
2023-09-AG-E0005,2023-09,AG-E0005,343346,0,343346,342315,4120152,4120152,0,0
2023-10-AG-E0005,2023-10,AG-E0005,344071,0,344071,343038,4128852,4128852,0,0
2023-11-AG-E0005,2023-11,AG-E0005,344797,0,344797,343762,4137564,4137564,0,0
2023-12-AG-E0005,2023-12,AG-E0005,345525,0,345525,344488,4146300,4146300,0,0
2024-01-AG-E0005,2024-01,AG-E0005,346254,0,346254,345215,4155048,4155048,0,0
2024-02-AG-E0005,2024-02,AG-E0005,346985,0,346985,345944,4163820,4163820,0,0
2024-03-AG-E0005,2024-03,AG-E0005,347717,0,347717,346673,4172604,4172604,0,0
2024-04-AG-E0005,2024-04,AG-E0005,348451,0,348451,347405,4181412,4181412,0,0
2024-05-AG-E0005,2024-05,AG-E0005,349186,0,349186,348138,4190232,4190232,0,0
2024-06-AG-E0005,2024-06,AG-E0005,349923,0,349923,348873,4199076,4199076,0,0
2024-07-AG-E0005,2024-07,AG-E0005,361181,0,361181,360097,4334172,4334172,0,0
2024-08-AG-E0005,2024-08,AG-E0005,361943,0,361943,360857,4343316,4343316,0,0
2024-09-AG-E0005,2024-09,AG-E0005,362707,0,362707,361618,4352484,4352484,0,0
2024-10-AG-E0005,2024-10,AG-E0005,363473,0,363473,362382,4361676,4361676,0,0
2024-11-AG-E0005,2024-11,AG-E0005,364240,0,364240,363147,4370880,4370880,0,0
2024-12-AG-E0005,2024-12,AG-E0005,365009,0,365009,363913,4380108,4380108,0,0
2025-01-AG-E0005,2025-01,AG-E0005,365779,0,365779,364681,4389348,4389348,0,0
2025-02-AG-E0005,2025-02,AG-E0005,366551,2199,364352,363258,4398612,4398612,0,0
2025-03-AG-E0005,2025-03,AG-E0005,367325,0,367325,366223,4407900,4407900,0,0
2025-04-AG-E0005,2025-04,AG-E0005,368100,0,368100,366995,4417200,4417200,0,0
2025-05-AG-E0005,2025-05,AG-E0005,368877,0,368877,367770,4426524,4426524,0,0
2025-06-AG-E0005,2025-06,AG-E0005,369656,0,369656,368547,4435872,4435872,0,0
2025-07-AG-E0005,2025-07,AG-E0005,381549,0,381549,380404,4578588,4578588,0,0
2025-08-AG-E0005,2025-08,AG-E0005,382354,0,382354,381206,4588248,4588248,0,0
2025-09-AG-E0005,2025-09,AG-E0005,383161,0,383161,382011,4597932,4597932,0,0
2025-10-AG-E0005,2025-10,AG-E0005,383970,0,383970,382818,4607640,4607640,0,0
2025-11-AG-E0005,2025-11,AG-E0005,384780,0,384780,383625,4617360,4617360,0,0
2025-12-AG-E0005,2025-12,AG-E0005,385592,0,385592,384435,4627104,4627104,0,0
2026-01-AG-E0005,2026-01,AG-E0005,386406,0,386406,385246,4636872,4636872,0,0
2026-02-AG-E0005,2026-02,AG-E0005,387222,0,387222,386060,4646664,4646664,0,0
2026-03-AG-E0005,2026-03,AG-E0005,388039,0,388039,386874,4656468,4656468,0,0
2026-04-AG-E0005,2026-04,AG-E0005,388858,0,388858,387691,4666296,4666296,0,0
2026-05-AG-E0005,2026-05,AG-E0005,389679,0,389679,388509,4676148,4676148,0,0
2026-06-AG-E0005,2026-06,AG-E0005,390501,0,390501,389329,4686012,4686012,0,0
2026-07-AG-E0005,2026-07,AG-E0005,403065,0,403065,401855,4836780,4836780,0,0
2022-09-AG-E0006,2022-09,AG-E0006,167663,0,167663,167160,2011956,2011956,0,0
2022-10-AG-E0006,2022-10,AG-E0006,167965,0,167965,167461,2015580,2015580,0,0
2022-11-AG-E0006,2022-11,AG-E0006,168267,0,168267,167762,2019204,2019204,0,0
2022-12-AG-E0006,2022-12,AG-E0006,168570,0,168570,168064,2022840,2022840,0,0
2023-01-AG-E0006,2023-01,AG-E0006,168873,0,168873,168366,2026476,2026476,0,0
2023-02-AG-E0006,2023-02,AG-E0006,169177,1015,168162,167657,2030124,2030124,0,0
2023-03-AG-E0006,2023-03,AG-E0006,169482,0,169482,168973,2033784,2033784,0,0
2023-04-AG-E0006,2023-04,AG-E0006,169787,0,169787,169277,2037444,2037444,0,0
2023-05-AG-E0006,2023-05,AG-E0006,170093,0,170093,169582,2041116,2041116,0,0
2023-06-AG-E0006,2023-06,AG-E0006,170399,0,170399,169887,2044788,2044788,0,0
2023-07-AG-E0006,2023-07,AG-E0006,170706,0,170706,170193,2048472,2048472,0,0
2023-08-AG-E0006,2023-08,AG-E0006,171013,0,171013,170499,2052156,2052156,0,0
2023-09-AG-E0006,2023-09,AG-E0006,176460,0,176460,175930,2117520,2117520,0,0
2023-10-AG-E0006,2023-10,AG-E0006,176778,0,176778,176247,2121336,2121336,0,0
2023-11-AG-E0006,2023-11,AG-E0006,177096,0,177096,176564,2125152,2125152,0,0
2023-12-AG-E0006,2023-12,AG-E0006,177415,0,177415,176882,2128980,2128980,0,0
2024-01-AG-E0006,2024-01,AG-E0006,177734,0,177734,177200,2132808,2132808,0,0
2024-02-AG-E0006,2024-02,AG-E0006,178054,0,178054,177519,2136648,2136648,0,0
2024-03-AG-E0006,2024-03,AG-E0006,178374,0,178374,177838,2140488,2140488,0,0
2024-04-AG-E0006,2024-04,AG-E0006,178695,0,178695,178158,2144340,2144340,0,0
2024-05-AG-E0006,2024-05,AG-E0006,179017,0,179017,178479,2148204,2148204,0,0
2024-06-AG-E0006,2024-06,AG-E0006,179339,0,179339,178800,2152068,2152068,0,0
2024-07-AG-E0006,2024-07,AG-E0006,179662,0,179662,179123,2155944,2155944,0,0
2024-08-AG-E0006,2024-08,AG-E0006,179985,0,179985,179445,2159820,2159820,0,0
2024-09-AG-E0006,2024-09,AG-E0006,185718,0,185718,185160,2228616,2228616,0,0
2024-10-AG-E0006,2024-10,AG-E0006,186052,0,186052,185493,2232624,2232624,0,0
2024-11-AG-E0006,2024-11,AG-E0006,186387,0,186387,185827,2236644,2236644,0,0
2024-12-AG-E0006,2024-12,AG-E0006,186722,0,186722,186161,2240664,2240664,0,0
2025-01-AG-E0006,2025-01,AG-E0006,187058,1122,185936,185378,2244696,2244696,0,0
2025-02-AG-E0006,2025-02,AG-E0006,187395,0,187395,186832,2248740,2248740,0,0
2025-03-AG-E0006,2025-03,AG-E0006,187732,0,187732,187168,2252784,2252784,0,0
2025-04-AG-E0006,2025-04,AG-E0006,188070,0,188070,187505,2256840,2256840,0,0
2025-05-AG-E0006,2025-05,AG-E0006,188409,0,188409,187843,2260908,2260908,0,0
2025-06-AG-E0006,2025-06,AG-E0006,188748,0,188748,188181,2264976,2264976,0,0
2025-07-AG-E0006,2025-07,AG-E0006,189088,0,189088,188520,2269056,2269056,0,0
2025-08-AG-E0006,2025-08,AG-E0006,189428,0,189428,188859,2273136,2273136,0,0
2025-09-AG-E0006,2025-09,AG-E0006,195462,0,195462,194875,2345544,2345544,0,0
2025-10-AG-E0006,2025-10,AG-E0006,195814,0,195814,195226,2349768,2349768,0,0
2025-11-AG-E0006,2025-11,AG-E0006,196166,0,196166,195577,2353992,2353992,0,0
2025-12-AG-E0006,2025-12,AG-E0006,196519,0,196519,195929,2358228,2358228,0,0
2026-01-AG-E0006,2026-01,AG-E0006,196873,0,196873,196282,2362476,2362476,0,0
2026-02-AG-E0006,2026-02,AG-E0006,197227,0,197227,196635,2366724,2366724,0,0
2026-03-AG-E0006,2026-03,AG-E0006,197582,0,197582,196989,2370984,2370984,0,0
2026-04-AG-E0006,2026-04,AG-E0006,197938,0,197938,197344,2375256,2375256,0,0
2026-05-AG-E0006,2026-05,AG-E0006,198294,0,198294,197699,2379528,2379528,0,0
2026-06-AG-E0006,2026-06,AG-E0006,198651,0,198651,198055,2383812,2383812,0,0
2026-07-AG-E0006,2026-07,AG-E0006,199009,0,199009,198411,2388108,2388108,0,0
2022-05-AG-E0007,2022-05,AG-E0007,401125,0,401125,399921,4813500,4813500,0,0
2022-06-AG-E0007,2022-06,AG-E0007,401946,0,401946,400740,4823352,4823352,0,0
2022-07-AG-E0007,2022-07,AG-E0007,402768,0,402768,401559,4833216,4833216,0,0
2022-08-AG-E0007,2022-08,AG-E0007,403592,0,403592,402381,4843104,4843104,0,0
2022-09-AG-E0007,2022-09,AG-E0007,404418,0,404418,403204,4853016,4853016,0,0
2022-10-AG-E0007,2022-10,AG-E0007,405245,0,405245,404029,4862940,4862940,0,0
2022-11-AG-E0007,2022-11,AG-E0007,406074,0,406074,404855,4872888,4872888,0,0
2022-12-AG-E0007,2022-12,AG-E0007,406905,0,406905,405684,4882860,4882860,0,0
2023-01-AG-E0007,2023-01,AG-E0007,407737,2446,405291,404075,4892844,4892844,0,0
2023-02-AG-E0007,2023-02,AG-E0007,408571,0,408571,407345,4902852,4902852,0,0
2023-03-AG-E0007,2023-03,AG-E0007,409407,0,409407,408178,4912884,4912884,0,0
2023-04-AG-E0007,2023-04,AG-E0007,410245,0,410245,409014,4922940,4922940,0,0
2023-05-AG-E0007,2023-05,AG-E0007,423417,0,423417,422146,5081004,5081004,0,0
2023-06-AG-E0007,2023-06,AG-E0007,424283,0,424283,423010,5091396,5091396,0,0
2023-07-AG-E0007,2023-07,AG-E0007,425151,0,425151,423875,5101812,5101812,0,0
2023-08-AG-E0007,2023-08,AG-E0007,426021,0,426021,424742,5112252,5112252,0,0
2023-09-AG-E0007,2023-09,AG-E0007,426893,0,426893,425612,5122716,5122716,0,0
2023-10-AG-E0007,2023-10,AG-E0007,427766,0,427766,426482,5133192,5133192,0,0
2023-11-AG-E0007,2023-11,AG-E0007,428641,0,428641,427355,5143692,5143692,0,0
