pod_id,period,treated,post,resolution_hours,gross_churn_bps
AG-S07,-7,1,0,21.146930,93.239956
AG-S07,-6,1,0,21.715513,85.690327
AG-S07,-5,1,0,22.235599,83.833337
AG-S07,-4,1,0,22.601129,77.109385
AG-S07,-3,1,0,22.411085,91.787205
AG-S07,-2,1,0,21.160278,83.190118
AG-S07,-1,1,0,22.568680,95.320971
AG-S07,0,1,1,17.749750,65.308683
AG-S07,1,1,1,16.889816,72.744085
AG-S07,2,1,1,17.287764,78.385118
AG-S07,3,1,1,17.459245,72.340135
AG-S07,4,1,1,16.849907,72.876575
AG-S07,5,1,1,16.460503,75.096613
AG-S07,6,1,1,17.515613,76.668854
AG-S07,7,1,1,18.127487,76.883973
AG-S07,8,1,1,18.377165,67.249490
AG-S07,9,1,1,17.532660,78.443970
AG-S07,10,1,1,18.705043,76.765897
AG-S07,11,1,1,18.653109,73.712472
AG-S08,-12,1,0,25.020910,96.661148
AG-S08,-11,1,0,25.032568,95.992953
AG-S08,-10,1,0,24.348460,88.355094
AG-S08,-9,1,0,24.249661,90.479681
AG-S08,-8,1,0,25.053072,109.747612
AG-S08,-7,1,0,26.387000,95.388254
AG-S08,-6,1,0,24.543024,91.366597
AG-S08,-5,1,0,23.651709,96.534864
AG-S08,-4,1,0,23.693878,92.076186
AG-S08,-3,1,0,24.958272,97.052162
AG-S08,-2,1,0,25.015677,88.128476
AG-S08,-1,1,0,23.831614,92.557147
AG-S08,0,1,1,18.711250,81.054798
AG-S08,1,1,1,20.453690,68.778580
AG-S08,2,1,1,21.022757,75.400178
AG-S08,3,1,1,20.321473,84.243780
AG-S08,4,1,1,20.093881,67.691129
AG-S08,5,1,1,19.795209,82.985785
AG-S08,6,1,1,19.597458,77.547051
AG-S08,7,1,1,21.742090,70.242987
AG-S08,8,1,1,19.942058,75.216551
AG-S08,9,1,1,19.203319,69.367142
AG-S08,10,1,1,21.473082,75.348450
AG-S08,11,1,1,21.353381,76.885382
AG-S09,-12,0,0,25.261489,94.911519
AG-S09,-11,0,0,25.300748,100.335404
AG-S09,-10,0,0,26.207074,99.845612
AG-S09,-9,0,0,25.192607,99.764572
AG-S09,-8,0,0,25.262143,109.149652
AG-S09,-7,0,0,27.329587,100.474659
AG-S09,-6,0,0,25.531946,93.536199
AG-S09,-5,0,0,25.749455,99.095810
AG-S09,-4,0,0,26.020205,103.174448
AG-S09,-3,0,0,26.280302,93.378563
AG-S09,-2,0,0,27.334729,102.187242
AG-S09,-1,0,0,24.698732,100.709912
AG-S09,0,0,1,25.660729,97.975438
AG-S09,1,0,1,26.837916,102.412721
AG-S09,2,0,1,27.488890,94.029584
AG-S09,3,0,1,24.869065,98.136574
AG-S09,4,0,1,25.929608,93.168148
AG-S09,5,0,1,26.512203,94.333254
AG-S09,6,0,1,26.287695,97.310601
AG-S09,7,0,1,24.957643,99.096871
AG-S09,8,0,1,26.405955,91.929706
AG-S09,9,0,1,27.724754,95.524720
AG-S09,10,0,1,28.299058,95.200849
AG-S09,11,0,1,26.659082,101.316591
AG-S10,-12,1,0,23.862487,92.728811
AG-S10,-11,1,0,22.282895,94.759922
AG-S10,-10,1,0,24.050320,94.292079
AG-S10,-9,1,0,22.613681,94.485584
AG-S10,-8,1,0,23.913979,95.367253
AG-S10,-7,1,0,23.276456,89.834252
AG-S10,-6,1,0,22.998705,92.656595
AG-S10,-5,1,0,23.537332,93.246730
AG-S10,-4,1,0,24.117809,94.520479
AG-S10,-3,1,0,23.475484,88.927279
AG-S10,-2,1,0,23.482981,96.731283
AG-S10,-1,1,0,22.495153,81.843460
AG-S10,0,1,1,19.048502,78.799615
AG-S10,1,1,1,19.553991,77.597423
AG-S10,2,1,1,18.569359,82.023932
AG-S10,3,1,1,19.869990,69.858707
AG-S10,4,1,1,18.220453,80.229317
AG-S10,5,1,1,19.115478,79.816905
AG-S10,6,1,1,19.544795,72.566426
AG-S10,7,1,1,19.330431,67.742316
AG-S10,8,1,1,20.807949,77.768177
AG-S10,9,1,1,20.055444,78.676372
AG-S10,10,1,1,20.116554,76.464145
AG-S10,11,1,1,19.626809,77.073998
AG-S11,-12,1,0,22.865154,87.230283
AG-S11,-11,1,0,22.902704,92.249032
AG-S11,-10,1,0,23.466662,86.287486
AG-S11,-9,1,0,22.447260,94.815949
AG-S11,-8,1,0,23.554889,91.446512
AG-S11,-7,1,0,23.079465,93.982839
AG-S11,-6,1,0,23.274758,96.364574
AG-S11,-5,1,0,22.772817,91.421768
AG-S11,-4,1,0,22.619930,96.447794
AG-S11,-3,1,0,23.675828,90.832702
AG-S11,-2,1,0,23.455979,87.654825
AG-S11,-1,1,0,23.688695,77.173140
AG-S11,0,1,1,18.179693,74.541984
AG-S11,1,1,1,18.265047,67.322408
AG-S11,2,1,1,20.471661,77.474038
AG-S11,3,1,1,18.344811,66.911326
AG-S11,4,1,1,19.182816,76.600278
AG-S11,5,1,1,18.739130,77.885497
AG-S11,6,1,1,20.481034,74.321756
AG-S11,7,1,1,18.466791,76.569935
AG-S11,8,1,1,19.335186,78.311662
AG-S11,9,1,1,19.587823,74.956703
AG-S11,10,1,1,19.271940,72.394805
AG-S11,11,1,1,18.700984,79.912911
AG-S12,-12,1,0,20.548239,85.497875
AG-S12,-11,1,0,21.535025,90.902812
AG-S12,-10,1,0,20.878194,76.610782
AG-S12,-9,1,0,19.918152,85.682295
AG-S12,-8,1,0,21.814210,81.115254
AG-S12,-7,1,0,20.421017,85.018553
AG-S12,-6,1,0,22.096621,95.021133
AG-S12,-5,1,0,22.039616,86.115841
AG-S12,-4,1,0,20.578470,87.681425
AG-S12,-3,1,0,20.594946,81.202306
AG-S12,-2,1,0,21.482587,83.653375
AG-S12,-1,1,0,21.220329,89.782786
AG-S12,0,1,1,17.803645,63.281827
AG-S12,1,1,1,15.368539,72.612111
AG-S12,2,1,1,15.599638,71.446683
AG-S12,3,1,1,16.650570,65.007670
AG-S12,4,1,1,16.914747,70.204835
AG-S12,5,1,1,17.666686,73.613319
AG-S12,6,1,1,17.088107,65.918714
AG-S12,7,1,1,16.446110,70.374571
AG-S12,8,1,1,16.234261,78.244207
AG-S12,9,1,1,18.199856,62.593243
AG-S12,10,1,1,15.977724,68.744135
AG-S12,11,1,1,15.656655,79.660418
AG-S13,-12,0,0,23.738506,80.598397
AG-S13,-11,0,0,24.435139,100.872626
AG-S13,-10,0,0,23.614371,92.538576
AG-S13,-9,0,0,23.084074,87.013026
AG-S13,-8,0,0,24.267707,92.977663
AG-S13,-7,0,0,25.130451,94.360755
AG-S13,-6,0,0,22.429815,97.758179
AG-S13,-5,0,0,24.708056,91.821126
AG-S13,-4,0,0,23.850199,94.362042
AG-S13,-3,0,0,23.148970,96.418825
AG-S13,-2,0,0,25.018237,86.981723
AG-S13,-1,0,0,23.852081,92.480771
AG-S13,0,0,1,24.054888,89.320965
AG-S13,1,0,1,23.899322,95.477917
AG-S13,2,0,1,25.223820,90.835902
AG-S13,3,0,1,23.801833,96.444125
AG-S13,4,0,1,23.069116,87.994202
AG-S13,5,0,1,23.409150,91.346775
AG-S13,6,0,1,25.953979,93.515937
AG-S13,7,0,1,25.056335,89.398169
AG-S13,8,0,1,23.828649,96.558931
AG-S13,9,0,1,25.177531,91.510391
AG-S13,10,0,1,25.703872,89.940810
AG-S13,11,0,1,23.969621,87.548127
AG-S14,-12,1,0,21.278206,88.505853
AG-S14,-11,1,0,21.262441,99.287459
AG-S14,-10,1,0,21.737213,91.998058
AG-S14,-9,1,0,20.680447,91.146499
AG-S14,-8,1,0,21.655761,85.909762
AG-S14,-7,1,0,22.058783,88.898545
AG-S14,-6,1,0,21.304404,89.424944
AG-S14,-5,1,0,21.740526,86.483295
AG-S14,-4,1,0,21.850615,85.897764
AG-S14,-3,1,0,21.894773,87.556826
AG-S14,-2,1,0,22.458561,86.329289
AG-S14,-1,1,0,20.890971,77.720646
AG-S14,0,1,1,16.792191,74.968750
AG-S14,1,1,1,17.480158,77.707294
AG-S14,2,1,1,17.142513,79.027290
AG-S14,3,1,1,17.161189,74.182017
AG-S14,4,1,1,17.072743,74.947130
AG-S14,5,1,1,16.632651,71.598198
AG-S14,6,1,1,17.856657,73.976875
AG-S14,7,1,1,17.725344,69.729291
AG-S14,8,1,1,17.204378,77.149652
AG-S14,9,1,1,16.548693,63.582022
AG-S14,10,1,1,17.776070,65.000864
AG-S14,11,1,1,16.568477,72.545079
AG-S15,-12,1,0,22.222299,94.853954
AG-S15,-11,1,0,22.730029,88.849129
AG-S15,-10,1,0,23.821781,96.662617
AG-S15,-9,1,0,23.796766,95.296923
AG-S15,-8,1,0,22.418878,99.176703
AG-S15,-7,1,0,23.410557,83.120215
AG-S15,-6,1,0,23.765150,88.439591
AG-S15,-5,1,0,24.376090,96.282846
AG-S15,-4,1,0,24.154682,93.426601
AG-S15,-3,1,0,24.907143,102.121657
AG-S15,-2,1,0,22.844239,94.499636
AG-S15,-1,1,0,23.461749,80.686110
AG-S15,0,1,1,19.440608,73.665490
AG-S15,1,1,1,18.473216,79.088151
AG-S15,2,1,1,18.394314,72.858177
AG-S15,3,1,1,20.023708,69.117555
AG-S15,4,1,1,20.124059,81.586818
AG-S15,5,1,1,19.057480,74.580964
AG-S15,6,1,1,20.433783,76.962867
AG-S15,7,1,1,19.846876,71.520136
AG-S15,8,1,1,18.556824,78.635020
AG-S15,9,1,1,18.022696,76.822930
AG-S15,10,1,1,19.646757,79.662811
AG-S15,11,1,1,18.207742,79.395055
AG-S16,-12,1,0,23.497026,94.923669
AG-S16,-11,1,0,22.243954,92.126271
AG-S16,-10,1,0,25.117794,99.305836
AG-S16,-9,1,0,24.366667,89.220352
AG-S16,-8,1,0,22.681230,89.828873
AG-S16,-7,1,0,23.247985,83.794226
AG-S16,-6,1,0,23.343241,93.701827
AG-S16,-5,1,0,23.797641,101.720337
AG-S16,-4,1,0,24.472121,91.053990
AG-S16,-3,1,0,23.528917,92.237820
AG-S16,-2,1,0,24.164198,85.393945
AG-S16,-1,1,0,23.281338,83.958358
AG-S16,0,1,1,18.978665,75.620907
AG-S16,1,1,1,19.411738,75.323720
AG-S16,2,1,1,19.909818,79.302118
AG-S16,3,1,1,18.635765,79.803816
AG-S16,4,1,1,19.175686,74.987996
AG-S16,5,1,1,17.832146,72.352075
AG-S16,6,1,1,19.558031,78.465399
AG-S16,7,1,1,19.438993,73.624133
AG-S16,8,1,1,19.708938,77.903571
AG-S16,9,1,1,20.602091,76.109366
AG-S16,10,1,1,19.530220,78.245880
AG-S16,11,1,1,20.089928,80.338110
AG-S17,-12,0,0,23.399177,87.925612
AG-S17,-11,0,0,23.769535,87.094865
AG-S17,-10,0,0,24.053161,96.748435
AG-S17,-9,0,0,23.793711,90.087770
AG-S17,-8,0,0,22.941711,90.967469
AG-S17,-7,0,0,22.769367,83.809929
AG-S17,-6,0,0,22.800946,96.490598
AG-S17,-5,0,0,23.690732,101.358268
AG-S17,-4,0,0,24.214117,97.642157
AG-S17,-3,0,0,23.552359,89.275644
AG-S17,-2,0,0,23.264722,87.050135
AG-S17,-1,0,0,23.270518,92.634130
AG-S17,0,0,1,23.910864,90.937244
AG-S17,1,0,1,23.796981,90.188068
AG-S17,2,0,1,23.784561,94.070118
AG-S17,3,0,1,22.664320,91.958525
AG-S17,4,0,1,24.101023,102.343253
AG-S17,5,0,1,25.406411,97.255379
AG-S17,6,0,1,23.743153,97.331149
AG-S17,7,0,1,22.871548,91.050055
AG-S17,8,0,1,24.873739,98.805664
AG-S17,9,0,1,24.136328,92.807342
AG-S17,10,0,1,24.615736,87.859486
AG-S17,11,0,1,24.215855,93.577221
AG-S18,-12,1,0,23.518019,96.599197
AG-S18,-11,1,0,21.953547,81.876234
AG-S18,-10,1,0,22.230423,92.641575
AG-S18,-9,1,0,21.399049,94.844936
AG-S18,-8,1,0,21.951092,84.482674
AG-S18,-7,1,0,21.649518,93.674753
AG-S18,-6,1,0,24.534634,90.440946
AG-S18,-5,1,0,23.097546,103.556535
AG-S18,-4,1,0,23.253782,91.153590
AG-S18,-3,1,0,22.853202,84.669910
AG-S18,-2,1,0,23.110727,89.351653
AG-S18,-1,1,0,23.134551,87.814842
AG-S18,0,1,1,17.310161,73.780154
AG-S18,1,1,1,17.407894,77.871418
AG-S18,2,1,1,17.029669,62.998588
AG-S18,3,1,1,19.064979,68.616122
AG-S18,4,1,1,18.477665,71.841045
AG-S18,5,1,1,17.375254,73.179233
AG-S18,6,1,1,18.680950,84.444932
AG-S18,7,1,1,17.979845,73.799553
AG-S18,8,1,1,18.853118,69.461486
AG-S18,9,1,1,18.982109,63.989734
AG-S18,10,1,1,18.118561,73.918089
AG-S18,11,1,1,19.101685,65.385087
AG-S19,-12,0,0,23.418612,90.843153
AG-S19,-11,0,0,22.887133,90.116467
AG-S19,-10,0,0,22.506173,83.695973
AG-S19,-9,0,0,23.811322,93.594223
AG-S19,-8,0,0,22.382959,85.603263
AG-S19,-7,0,0,23.499262,95.893213
AG-S19,-6,0,0,22.565024,87.766374
AG-S19,-5,0,0,23.628862,88.232429
AG-S19,-4,0,0,23.136869,93.550268
AG-S19,-3,0,0,23.697414,90.615077
AG-S19,-2,0,0,22.022551,96.002959
AG-S19,-1,0,0,24.236942,92.975715
AG-S19,0,0,1,25.154011,99.826058
AG-S19,1,0,1,23.052386,96.343992
AG-S19,2,0,1,23.479273,94.394164
AG-S19,3,0,1,23.056015,94.731210
AG-S19,4,0,1,23.905201,96.455142
AG-S19,5,0,1,23.144266,94.154589
AG-S19,6,0,1,23.599859,91.428039
AG-S19,7,0,1,23.356832,86.008521
AG-S19,8,0,1,24.533096,90.515200
AG-S19,9,0,1,24.553407,92.997141
AG-S19,10,0,1,23.135722,88.180621
AG-S19,11,0,1,23.435800,84.067906
AG-S20,-12,1,0,20.460330,95.186603
AG-S20,-11,1,0,23.471615,88.204915
AG-S20,-10,1,0,22.325195,87.153571
AG-S20,-9,1,0,23.070439,89.913320
AG-S20,-8,1,0,22.290244,102.581839
AG-S20,-7,1,0,22.454863,87.097628
AG-S20,-6,1,0,22.856650,98.616507
AG-S20,-5,1,0,23.239336,88.654421
AG-S20,-4,1,0,23.488760,99.319995
AG-S20,-3,1,0,24.827232,84.754849
AG-S20,-2,1,0,23.256120,99.392479
AG-S20,-1,1,0,23.842602,96.351448
AG-S20,0,1,1,18.022952,72.773716
AG-S20,1,1,1,17.902190,78.402579
AG-S20,2,1,1,18.653319,73.340127
AG-S20,3,1,1,20.880740,75.187595
AG-S20,4,1,1,17.851333,82.012809
AG-S20,5,1,1,18.624480,69.712723
AG-S20,6,1,1,19.137883,74.428662
AG-S20,7,1,1,20.029956,80.750015
AG-S20,8,1,1,18.047717,72.930689
AG-S20,9,1,1,18.948898,75.671394
AG-S20,10,1,1,20.191232,77.791468
AG-S20,11,1,1,19.118796,72.341628
AG-S21,-12,1,0,22.420821,80.795579
AG-S21,-11,1,0,22.563130,90.329024
AG-S21,-10,1,0,22.412157,93.445673
AG-S21,-9,1,0,22.015444,90.157389
AG-S21,-8,1,0,21.732598,89.072154
AG-S21,-7,1,0,22.494220,96.421950
AG-S21,-6,1,0,20.936381,85.810717
AG-S21,-5,1,0,21.823377,89.094893
AG-S21,-4,1,0,22.559663,92.336024
AG-S21,-3,1,0,21.798447,89.693516
AG-S21,-2,1,0,21.821855,85.593076
AG-S21,-1,1,0,22.011887,88.056142
AG-S21,0,1,1,18.890342,77.879976
AG-S21,1,1,1,17.856971,72.663345
AG-S21,2,1,1,17.310298,72.955836
AG-S21,3,1,1,18.375272,72.693656
AG-S21,4,1,1,16.903910,77.320316
AG-S21,5,1,1,17.503720,77.807547
AG-S21,6,1,1,17.110539,62.413750
AG-S21,7,1,1,18.333163,81.988012
AG-S21,8,1,1,16.484890,76.020023
AG-S21,9,1,1,16.855203,69.614805
AG-S21,10,1,1,16.875095,66.858610
AG-S21,11,1,1,18.618682,76.005246
AG-S22,-12,0,0,21.892464,84.070636
AG-S22,-11,0,0,21.006322,91.774912
AG-S22,-10,0,0,22.007110,91.232708
AG-S22,-9,0,0,21.373902,85.899901
AG-S22,-8,0,0,20.389734,85.178065
AG-S22,-7,0,0,22.430131,93.124330
AG-S22,-6,0,0,21.060183,90.002203
AG-S22,-5,0,0,22.508511,90.033689
AG-S22,-4,0,0,22.746011,86.966916
AG-S22,-3,0,0,23.210226,89.305449
AG-S22,-2,0,0,22.640901,84.084536
AG-S22,-1,0,0,22.835873,99.168443
AG-S22,0,0,1,21.862664,89.748445
AG-S22,1,0,1,23.079882,93.432749
AG-S22,2,0,1,21.543489,91.706044
AG-S22,3,0,1,21.888849,97.663966
AG-S22,4,0,1,21.266624,85.360509
AG-S22,5,0,1,22.604486,90.262419
AG-S22,6,0,1,21.389035,89.804804
AG-S22,7,0,1,22.640926,87.160329
AG-S22,8,0,1,23.811973,93.856251
AG-S22,9,0,1,21.681621,87.366547
AG-S22,10,0,1,22.645215,88.623918
AG-S22,11,0,1,22.276318,90.189811
AG-S23,-12,1,0,22.036903,85.475280
AG-S23,-11,1,0,20.839058,81.840184
AG-S23,-10,1,0,21.329374,89.632551
AG-S23,-9,1,0,20.763997,86.163514
AG-S23,-8,1,0,21.163914,86.698842
AG-S23,-7,1,0,21.156871,90.809704
AG-S23,-6,1,0,21.572860,82.264564
AG-S23,-5,1,0,21.593947,82.492184
AG-S23,-4,1,0,21.892145,89.849785
AG-S23,-3,1,0,23.058616,86.302561
AG-S23,-2,1,0,20.379437,90.310191
AG-S23,-1,1,0,20.934912,85.807013
AG-S23,0,1,1,17.693652,64.704867
AG-S23,1,1,1,16.679751,80.099799
AG-S23,2,1,1,18.441080,69.735305
AG-S23,3,1,1,17.608205,75.884183
AG-S23,4,1,1,17.652890,72.304544
AG-S23,5,1,1,16.322045,67.481305
AG-S23,6,1,1,18.845756,80.142466
AG-S23,7,1,1,17.852498,68.987103
AG-S23,8,1,1,17.375986,66.646464
AG-S23,9,1,1,17.181736,76.788062
AG-S23,10,1,1,18.440910,74.963730
AG-S23,11,1,1,17.010112,80.067130
AG-S24,-12,0,0,25.051173,87.545092
AG-S24,-11,0,0,24.421147,95.994753
AG-S24,-10,0,0,23.934036,96.565643
AG-S24,-9,0,0,25.616418,93.273576
AG-S24,-8,0,0,24.376570,94.430052
AG-S24,-7,0,0,24.994634,90.059276
AG-S24,-6,0,0,25.326035,96.859883
AG-S24,-5,0,0,25.049968,97.340056
AG-S24,-4,0,0,25.475908,89.656486
AG-S24,-3,0,0,25.781471,100.622348
AG-S24,-2,0,0,26.064908,98.349678
AG-S24,-1,0,0,24.631957,94.517610
AG-S24,0,0,1,24.789842,88.251042
AG-S24,1,0,1,24.990226,93.308536
AG-S24,2,0,1,24.326841,92.223597
AG-S24,3,0,1,25.862724,95.120683
AG-S24,4,0,1,25.968840,89.024520
AG-S24,5,0,1,25.964858,98.527643
AG-S24,6,0,1,25.284489,95.346678
AG-S24,7,0,1,25.003109,89.131252
AG-S24,8,0,1,25.393573,96.548566
AG-S24,9,0,1,24.739480,92.961689
AG-S24,10,0,1,25.161424,92.286533
AG-S24,11,0,1,26.483990,92.228722
AG-S25,-12,0,0,25.045035,103.906375
AG-S25,-11,0,0,24.365251,100.211405
AG-S25,-10,0,0,24.558825,93.280922
AG-S25,-9,0,0,23.240461,96.086727
AG-S25,-8,0,0,25.515306,89.233583
AG-S25,-7,0,0,23.997735,86.556652
AG-S25,-6,0,0,24.303364,94.775419
AG-S25,-5,0,0,24.382061,91.075508
AG-S25,-4,0,0,24.982266,96.250831
AG-S25,-3,0,0,25.448909,98.765171
AG-S25,-2,0,0,23.721661,97.721547
AG-S25,-1,0,0,24.319375,99.407001
AG-S25,0,0,1,25.669323,96.343238
AG-S25,1,0,1,24.086997,90.385712
AG-S25,2,0,1,24.382221,97.024885
AG-S25,3,0,1,25.785659,90.891015
AG-S25,4,0,1,25.406618,89.872854
AG-S25,5,0,1,24.564525,94.769627
AG-S25,6,0,1,24.937773,104.442042
AG-S25,7,0,1,24.182422,91.805079
AG-S25,8,0,1,24.381412,107.440286
AG-S25,9,0,1,25.844950,85.317145
AG-S25,10,0,1,24.778744,96.714610
AG-S25,11,0,1,26.380418,96.018047
AG-S26,-12,0,0,22.097590,97.346631
AG-S26,-11,0,0,22.273045,86.968830
AG-S26,-10,0,0,23.251580,89.110063
AG-S26,-9,0,0,23.287392,95.858138
AG-S26,-8,0,0,21.328780,92.707428
AG-S26,-7,0,0,22.979585,91.362160
AG-S26,-6,0,0,22.678400,87.560763
AG-S26,-5,0,0,22.871047,84.485753
AG-S26,-4,0,0,23.801230,86.096621
AG-S26,-3,0,0,23.400689,96.741478
AG-S26,-2,0,0,22.305322,94.010730
AG-S26,-1,0,0,23.713654,93.163544
AG-S26,0,0,1,22.890299,88.611917
AG-S26,1,0,1,24.107710,95.522400
AG-S26,2,0,1,23.394375,88.629048
AG-S26,3,0,1,23.703810,93.281880
AG-S26,4,0,1,22.875068,91.906437
AG-S26,5,0,1,23.490193,91.896392
AG-S26,6,0,1,22.088751,88.179830
