month,entity_id,parent_id,segment,active,mrr_cents,usage_units,support_tickets,credit_cents
2024-08,AG-E0002,AG-P062,Upper mid-market,1,547159,259,2,0
2024-09,AG-E0002,AG-P062,Upper mid-market,1,548454,262,4,0
2024-10,AG-E0002,AG-P062,Upper mid-market,1,549752,263,3,0
2024-11,AG-E0002,AG-P062,Upper mid-market,1,551053,241,4,0
2024-12,AG-E0002,AG-P062,Upper mid-market,1,552357,269,2,0
2025-01,AG-E0002,AG-P062,Upper mid-market,1,553664,261,1,0
2025-02,AG-E0002,AG-P062,Upper mid-market,1,554974,259,1,0
2025-03,AG-E0002,AG-P062,Upper mid-market,1,572976,256,2,0
2025-04,AG-E0002,AG-P062,Upper mid-market,1,574332,238,2,0
2025-05,AG-E0002,AG-P062,Upper mid-market,1,575691,255,2,3454
2025-06,AG-E0002,AG-P062,Upper mid-market,1,577053,260,5,0
2025-07,AG-E0002,AG-P062,Upper mid-market,1,578418,281,1,0
2025-08,AG-E0002,AG-P062,Upper mid-market,1,579786,266,1,0
2025-09,AG-E0002,AG-P062,Upper mid-market,1,581158,271,3,0
2025-10,AG-E0002,AG-P062,Upper mid-market,1,582533,271,3,0
2025-11,AG-E0002,AG-P062,Upper mid-market,1,583911,281,3,0
2025-12,AG-E0002,AG-P062,Upper mid-market,1,585292,267,1,0
2026-01,AG-E0002,AG-P062,Upper mid-market,1,586677,280,2,0
2026-02,AG-E0002,AG-P062,Upper mid-market,1,588065,263,0,0
2026-03,AG-E0002,AG-P062,Upper mid-market,1,607140,282,5,0
2026-04,AG-E0002,AG-P062,Upper mid-market,1,608576,269,4,0
2026-05,AG-E0002,AG-P062,Upper mid-market,1,610016,274,2,0
2026-06,AG-E0002,AG-P062,Upper mid-market,1,611459,274,3,0
2026-07,AG-E0002,AG-P062,Upper mid-market,1,612906,260,2,0
2023-02,AG-E0003,AG-P002,Mid-market,1,924076,464,8,0
2023-03,AG-E0003,AG-P002,Mid-market,1,925739,417,3,0
2023-04,AG-E0003,AG-P002,Mid-market,1,927405,419,4,0
2023-05,AG-E0003,AG-P002,Mid-market,1,929074,431,5,5574
2023-06,AG-E0003,AG-P002,Mid-market,1,930746,430,1,0
2023-07,AG-E0003,AG-P002,Mid-market,1,932421,434,3,0
2023-08,AG-E0003,AG-P002,Mid-market,1,934099,418,4,0
2023-09,AG-E0003,AG-P002,Mid-market,1,935780,443,4,0
2023-10,AG-E0003,AG-P002,Mid-market,1,937464,411,1,0
2023-11,AG-E0003,AG-P002,Mid-market,1,939151,413,2,0
2023-12,AG-E0003,AG-P002,Mid-market,1,940841,410,2,0
2024-01,AG-E0003,AG-P002,Mid-market,1,942535,420,1,0
2024-02,AG-E0003,AG-P002,Mid-market,1,972559,444,0,0
2024-03,AG-E0003,AG-P002,Mid-market,1,974310,441,7,0
2024-04,AG-E0003,AG-P002,Mid-market,1,976064,472,5,0
2024-05,AG-E0003,AG-P002,Mid-market,1,977821,453,6,0
2024-06,AG-E0003,AG-P002,Mid-market,1,979581,438,1,0
2024-07,AG-E0003,AG-P002,Mid-market,1,981344,476,6,0
2024-08,AG-E0003,AG-P002,Mid-market,1,983110,481,3,0
2024-09,AG-E0003,AG-P002,Mid-market,1,984880,450,4,0
2024-10,AG-E0003,AG-P002,Mid-market,1,986653,432,0,0
2024-11,AG-E0003,AG-P002,Mid-market,1,988429,467,3,0
2024-12,AG-E0003,AG-P002,Mid-market,1,990208,458,5,0
2025-01,AG-E0003,AG-P002,Mid-market,1,991990,467,3,0
2025-02,AG-E0003,AG-P002,Mid-market,1,1023589,468,4,0
2025-03,AG-E0003,AG-P002,Mid-market,1,1025431,462,1,0
2025-04,AG-E0003,AG-P002,Mid-market,1,1027277,425,2,6163
2025-05,AG-E0003,AG-P002,Mid-market,1,1029126,473,3,0
2025-06,AG-E0003,AG-P002,Mid-market,1,1030978,458,2,0
2025-07,AG-E0003,AG-P002,Mid-market,1,1032834,461,5,0
2025-08,AG-E0003,AG-P002,Mid-market,1,1034693,450,2,0
2025-09,AG-E0003,AG-P002,Mid-market,1,1036555,470,3,0
2025-10,AG-E0003,AG-P002,Mid-market,1,1038421,471,5,0
2025-11,AG-E0003,AG-P002,Mid-market,1,1040290,495,5,0
2025-12,AG-E0003,AG-P002,Mid-market,1,1042163,462,5,0
2026-01,AG-E0003,AG-P002,Mid-market,1,1044039,479,4,0
2026-02,AG-E0003,AG-P002,Mid-market,1,1077296,483,5,0
2026-03,AG-E0003,AG-P002,Mid-market,1,1079235,502,1,0
2026-04,AG-E0003,AG-P002,Mid-market,1,1081178,494,7,0
2026-05,AG-E0003,AG-P002,Mid-market,1,1083124,463,2,0
2026-06,AG-E0003,AG-P002,Mid-market,1,1085074,496,1,0
2026-07,AG-E0003,AG-P002,Mid-market,1,1087027,493,1,0
2021-11,AG-E0004,AG-P041,Mid-market,1,486161,214,3,0
2021-12,AG-E0004,AG-P041,Mid-market,1,487036,220,8,0
2022-01,AG-E0004,AG-P041,Mid-market,1,487913,216,7,0
2022-02,AG-E0004,AG-P041,Mid-market,1,488791,227,2,0
2022-03,AG-E0004,AG-P041,Mid-market,1,489671,223,2,0
2022-04,AG-E0004,AG-P041,Mid-market,1,490552,237,5,0
2022-05,AG-E0004,AG-P041,Mid-market,1,491435,229,2,0
2022-06,AG-E0004,AG-P041,Mid-market,1,492320,216,1,0
2022-07,AG-E0004,AG-P041,Mid-market,1,493206,236,4,0
2022-08,AG-E0004,AG-P041,Mid-market,1,494094,215,4,0
2022-09,AG-E0004,AG-P041,Mid-market,1,494983,219,5,0
2022-10,AG-E0004,AG-P041,Mid-market,1,495874,219,3,0
2022-11,AG-E0004,AG-P041,Mid-market,1,511670,214,3,0
2022-12,AG-E0004,AG-P041,Mid-market,1,512591,229,1,0
2023-01,AG-E0004,AG-P041,Mid-market,1,513514,232,0,0
2023-02,AG-E0004,AG-P041,Mid-market,1,514438,247,1,0
2023-03,AG-E0004,AG-P041,Mid-market,1,515364,240,1,0
2023-04,AG-E0004,AG-P041,Mid-market,1,516292,260,4,3097
2023-05,AG-E0004,AG-P041,Mid-market,1,517221,242,4,0
2023-06,AG-E0004,AG-P041,Mid-market,1,518152,240,8,0
2023-07,AG-E0004,AG-P041,Mid-market,1,519085,224,4,0
2023-08,AG-E0004,AG-P041,Mid-market,1,520019,235,2,0
2023-09,AG-E0004,AG-P041,Mid-market,1,520955,238,5,0
2023-10,AG-E0004,AG-P041,Mid-market,1,521893,232,2,0
2023-11,AG-E0004,AG-P041,Mid-market,1,538517,243,1,0
2023-12,AG-E0004,AG-P041,Mid-market,1,539486,247,4,0
2024-01,AG-E0004,AG-P041,Mid-market,1,540457,251,3,0
2024-02,AG-E0004,AG-P041,Mid-market,1,541430,242,4,0
2024-03,AG-E0004,AG-P041,Mid-market,1,542405,248,2,0
2024-04,AG-E0004,AG-P041,Mid-market,1,543381,246,5,0
2024-05,AG-E0004,AG-P041,Mid-market,1,544359,263,3,0
2024-06,AG-E0004,AG-P041,Mid-market,1,545339,231,5,0
2024-07,AG-E0004,AG-P041,Mid-market,1,546321,241,4,0
2024-08,AG-E0004,AG-P041,Mid-market,1,547304,231,3,0
2024-09,AG-E0004,AG-P041,Mid-market,1,548289,248,1,0
2024-10,AG-E0004,AG-P041,Mid-market,1,549276,253,1,0
2024-11,AG-E0004,AG-P041,Mid-market,1,566773,269,5,0
2024-12,AG-E0004,AG-P041,Mid-market,1,567793,260,4,0
2025-01,AG-E0004,AG-P041,Mid-market,1,568815,255,3,0
2025-02,AG-E0004,AG-P041,Mid-market,1,569839,258,5,0
2025-03,AG-E0004,AG-P041,Mid-market,1,570865,251,3,3425
2025-04,AG-E0004,AG-P041,Mid-market,1,571893,268,5,0
2025-05,AG-E0004,AG-P041,Mid-market,1,572922,259,1,0
2025-06,AG-E0004,AG-P041,Mid-market,1,573953,260,3,0
2025-07,AG-E0004,AG-P041,Mid-market,1,574986,260,3,0
2025-08,AG-E0004,AG-P041,Mid-market,1,576021,255,5,0
2025-09,AG-E0004,AG-P041,Mid-market,1,577058,278,1,0
2025-10,AG-E0004,AG-P041,Mid-market,1,578097,266,2,0
2025-11,AG-E0004,AG-P041,Mid-market,1,596512,281,5,0
2025-12,AG-E0004,AG-P041,Mid-market,1,597586,276,3,0
2026-01,AG-E0004,AG-P041,Mid-market,1,598662,279,2,0
2026-02,AG-E0004,AG-P041,Mid-market,1,599740,278,4,0
2026-03,AG-E0004,AG-P041,Mid-market,1,600820,273,2,0
2026-04,AG-E0004,AG-P041,Mid-market,1,601901,273,0,0
2026-05,AG-E0004,AG-P041,Mid-market,1,602984,273,3,0
2026-06,AG-E0004,AG-P041,Mid-market,1,604069,275,3,0
2026-07,AG-E0004,AG-P041,Mid-market,1,605156,292,4,0
2022-07,AG-E0005,AG-P093,Public sector,1,323650,150,2,0
2022-08,AG-E0005,AG-P093,Public sector,1,324333,143,1,0
2022-09,AG-E0005,AG-P093,Public sector,1,325018,154,2,0
2022-10,AG-E0005,AG-P093,Public sector,1,325704,159,2,0
2022-11,AG-E0005,AG-P093,Public sector,1,326391,162,4,0
2022-12,AG-E0005,AG-P093,Public sector,1,327080,143,2,0
2023-01,AG-E0005,AG-P093,Public sector,1,327770,145,6,0
2023-02,AG-E0005,AG-P093,Public sector,1,328462,148,2,0
2023-03,AG-E0005,AG-P093,Public sector,1,329155,159,4,1974
2023-04,AG-E0005,AG-P093,Public sector,1,329850,158,4,0
2023-05,AG-E0005,AG-P093,Public sector,1,330546,152,2,0
2023-06,AG-E0005,AG-P093,Public sector,1,331244,157,1,0
2023-07,AG-E0005,AG-P093,Public sector,1,341901,154,4,0
2023-08,AG-E0005,AG-P093,Public sector,1,342623,161,1,0
2023-09,AG-E0005,AG-P093,Public sector,1,343346,163,1,0
2023-10,AG-E0005,AG-P093,Public sector,1,344071,149,2,0
2023-11,AG-E0005,AG-P093,Public sector,1,344797,165,1,0
2023-12,AG-E0005,AG-P093,Public sector,1,345525,154,1,0
2024-01,AG-E0005,AG-P093,Public sector,1,346254,155,2,0
2024-02,AG-E0005,AG-P093,Public sector,1,346985,153,6,0
2024-03,AG-E0005,AG-P093,Public sector,1,347717,140,2,0
2024-04,AG-E0005,AG-P093,Public sector,1,348451,153,5,0
2024-05,AG-E0005,AG-P093,Public sector,1,349186,174,1,0
2024-06,AG-E0005,AG-P093,Public sector,1,349923,158,1,0
2024-07,AG-E0005,AG-P093,Public sector,1,361181,165,2,0
2024-08,AG-E0005,AG-P093,Public sector,1,361943,163,2,0
2024-09,AG-E0005,AG-P093,Public sector,1,362707,164,4,0
2024-10,AG-E0005,AG-P093,Public sector,1,363473,167,4,0
2024-11,AG-E0005,AG-P093,Public sector,1,364240,171,2,0
2024-12,AG-E0005,AG-P093,Public sector,1,365009,167,0,0
2025-01,AG-E0005,AG-P093,Public sector,1,365779,165,3,0
2025-02,AG-E0005,AG-P093,Public sector,1,366551,172,1,2199
2025-03,AG-E0005,AG-P093,Public sector,1,367325,168,1,0
2025-04,AG-E0005,AG-P093,Public sector,1,368100,161,3,0
2025-05,AG-E0005,AG-P093,Public sector,1,368877,162,4,0
2025-06,AG-E0005,AG-P093,Public sector,1,369656,160,2,0
2025-07,AG-E0005,AG-P093,Public sector,1,381549,177,2,0
2025-08,AG-E0005,AG-P093,Public sector,1,382354,183,3,0
2025-09,AG-E0005,AG-P093,Public sector,1,383161,173,5,0
2025-10,AG-E0005,AG-P093,Public sector,1,383970,170,0,0
2025-11,AG-E0005,AG-P093,Public sector,1,384780,171,1,0
2025-12,AG-E0005,AG-P093,Public sector,1,385592,168,3,0
2026-01,AG-E0005,AG-P093,Public sector,1,386406,173,3,0
2026-02,AG-E0005,AG-P093,Public sector,1,387222,166,3,0
2026-03,AG-E0005,AG-P093,Public sector,1,388039,162,3,0
2026-04,AG-E0005,AG-P093,Public sector,1,388858,179,4,0
2026-05,AG-E0005,AG-P093,Public sector,1,389679,176,2,0
2026-06,AG-E0005,AG-P093,Public sector,1,390501,173,3,0
2026-07,AG-E0005,AG-P093,Public sector,1,403065,180,4,0
2022-09,AG-E0006,AG-P030,Enterprise,1,167663,72,2,0
2022-10,AG-E0006,AG-P030,Enterprise,1,167965,73,6,0
2022-11,AG-E0006,AG-P030,Enterprise,1,168267,72,4,0
2022-12,AG-E0006,AG-P030,Enterprise,1,168570,79,4,0
2023-01,AG-E0006,AG-P030,Enterprise,1,168873,74,2,0
2023-02,AG-E0006,AG-P030,Enterprise,1,169177,81,3,1015
2023-03,AG-E0006,AG-P030,Enterprise,1,169482,75,3,0
2023-04,AG-E0006,AG-P030,Enterprise,1,169787,77,2,0
2023-05,AG-E0006,AG-P030,Enterprise,1,170093,69,6,0
2023-06,AG-E0006,AG-P030,Enterprise,1,170399,77,1,0
2023-07,AG-E0006,AG-P030,Enterprise,1,170706,80,5,0
2023-08,AG-E0006,AG-P030,Enterprise,1,171013,81,6,0
2023-09,AG-E0006,AG-P030,Enterprise,1,176460,80,2,0
2023-10,AG-E0006,AG-P030,Enterprise,1,176778,77,4,0
2023-11,AG-E0006,AG-P030,Enterprise,1,177096,78,3,0
2023-12,AG-E0006,AG-P030,Enterprise,1,177415,80,3,0
2024-01,AG-E0006,AG-P030,Enterprise,1,177734,87,2,0
2024-02,AG-E0006,AG-P030,Enterprise,1,178054,74,4,0
2024-03,AG-E0006,AG-P030,Enterprise,1,178374,81,2,0
2024-04,AG-E0006,AG-P030,Enterprise,1,178695,76,3,0
2024-05,AG-E0006,AG-P030,Enterprise,1,179017,84,4,0
2024-06,AG-E0006,AG-P030,Enterprise,1,179339,80,4,0
2024-07,AG-E0006,AG-P030,Enterprise,1,179662,83,3,0
2024-08,AG-E0006,AG-P030,Enterprise,1,179985,81,4,0
2024-09,AG-E0006,AG-P030,Enterprise,1,185718,87,3,0
2024-10,AG-E0006,AG-P030,Enterprise,1,186052,78,4,0
2024-11,AG-E0006,AG-P030,Enterprise,1,186387,85,3,0
2024-12,AG-E0006,AG-P030,Enterprise,1,186722,80,4,0
2025-01,AG-E0006,AG-P030,Enterprise,1,187058,84,4,1122
2025-02,AG-E0006,AG-P030,Enterprise,1,187395,82,1,0
2025-03,AG-E0006,AG-P030,Enterprise,1,187732,86,3,0
2025-04,AG-E0006,AG-P030,Enterprise,1,188070,87,6,0
2025-05,AG-E0006,AG-P030,Enterprise,1,188409,85,3,0
2025-06,AG-E0006,AG-P030,Enterprise,1,188748,81,2,0
2025-07,AG-E0006,AG-P030,Enterprise,1,189088,87,5,0
2025-08,AG-E0006,AG-P030,Enterprise,1,189428,83,3,0
2025-09,AG-E0006,AG-P030,Enterprise,1,195462,87,8,0
2025-10,AG-E0006,AG-P030,Enterprise,1,195814,83,1,0
2025-11,AG-E0006,AG-P030,Enterprise,1,196166,88,2,0
2025-12,AG-E0006,AG-P030,Enterprise,1,196519,84,4,0
2026-01,AG-E0006,AG-P030,Enterprise,1,196873,93,3,0
2026-02,AG-E0006,AG-P030,Enterprise,1,197227,95,4,0
2026-03,AG-E0006,AG-P030,Enterprise,1,197582,96,5,0
2026-04,AG-E0006,AG-P030,Enterprise,1,197938,91,2,0
2026-05,AG-E0006,AG-P030,Enterprise,1,198294,89,6,0
2026-06,AG-E0006,AG-P030,Enterprise,1,198651,92,4,0
2026-07,AG-E0006,AG-P030,Enterprise,1,199009,92,2,0
2022-05,AG-E0007,AG-P024,Upper mid-market,1,401125,173,1,0
2022-06,AG-E0007,AG-P024,Upper mid-market,1,401946,185,1,0
2022-07,AG-E0007,AG-P024,Upper mid-market,1,402768,187,2,0
2022-08,AG-E0007,AG-P024,Upper mid-market,1,403592,173,3,0
2022-09,AG-E0007,AG-P024,Upper mid-market,1,404418,179,1,0
2022-10,AG-E0007,AG-P024,Upper mid-market,1,405245,178,2,0
2022-11,AG-E0007,AG-P024,Upper mid-market,1,406074,187,2,0
2022-12,AG-E0007,AG-P024,Upper mid-market,1,406905,188,1,0
2023-01,AG-E0007,AG-P024,Upper mid-market,1,407737,185,1,2446
2023-02,AG-E0007,AG-P024,Upper mid-market,1,408571,193,2,0
2023-03,AG-E0007,AG-P024,Upper mid-market,1,409407,196,0,0
2023-04,AG-E0007,AG-P024,Upper mid-market,1,410245,179,0,0
2023-05,AG-E0007,AG-P024,Upper mid-market,1,423417,193,4,0
2023-06,AG-E0007,AG-P024,Upper mid-market,1,424283,203,3,0
2023-07,AG-E0007,AG-P024,Upper mid-market,1,425151,186,2,0
2023-08,AG-E0007,AG-P024,Upper mid-market,1,426021,189,2,0
2023-09,AG-E0007,AG-P024,Upper mid-market,1,426893,189,3,0
2023-10,AG-E0007,AG-P024,Upper mid-market,1,427766,206,1,0
2023-11,AG-E0007,AG-P024,Upper mid-market,1,428641,191,7,0
2023-12,AG-E0007,AG-P024,Upper mid-market,1,429518,205,2,0
2024-01,AG-E0007,AG-P024,Upper mid-market,1,430397,191,2,0
2024-02,AG-E0007,AG-P024,Upper mid-market,1,431278,181,5,0
2024-03,AG-E0007,AG-P024,Upper mid-market,1,432160,192,1,0
2024-04,AG-E0007,AG-P024,Upper mid-market,1,433044,204,2,0
2024-05,AG-E0007,AG-P024,Upper mid-market,1,446948,218,1,0
2024-06,AG-E0007,AG-P024,Upper mid-market,1,447862,209,6,0
2024-07,AG-E0007,AG-P024,Upper mid-market,1,448778,209,3,0
2024-08,AG-E0007,AG-P024,Upper mid-market,1,449696,207,0,0
2024-09,AG-E0007,AG-P024,Upper mid-market,1,450616,196,3,0
2024-10,AG-E0007,AG-P024,Upper mid-market,1,451538,190,2,0
2024-11,AG-E0007,AG-P024,Upper mid-market,1,452462,193,6,0
2024-12,AG-E0007,AG-P024,Upper mid-market,1,453388,204,6,2720
2025-01,AG-E0007,AG-P024,Upper mid-market,1,454316,223,0,0
2025-02,AG-E0007,AG-P024,Upper mid-market,1,455245,198,2,0
2025-03,AG-E0007,AG-P024,Upper mid-market,1,456176,204,6,0
2025-04,AG-E0007,AG-P024,Upper mid-market,1,457109,197,3,0
2025-05,AG-E0007,AG-P024,Upper mid-market,1,471785,214,1,0
2025-06,AG-E0007,AG-P024,Upper mid-market,1,472750,227,3,0
2025-07,AG-E0007,AG-P024,Upper mid-market,1,473717,212,0,0
2025-08,AG-E0007,AG-P024,Upper mid-market,1,474686,221,4,0
2025-09,AG-E0007,AG-P024,Upper mid-market,1,475657,230,3,0
2025-10,AG-E0007,AG-P024,Upper mid-market,1,476630,208,4,0
2025-11,AG-E0007,AG-P024,Upper mid-market,1,477605,206,0,0
2025-12,AG-E0007,AG-P024,Upper mid-market,1,478582,231,1,0
2026-01,AG-E0007,AG-P024,Upper mid-market,1,479561,208,4,0
2026-02,AG-E0007,AG-P024,Upper mid-market,1,480542,215,4,0
2026-03,AG-E0007,AG-P024,Upper mid-market,1,481525,232,2,0
2026-04,AG-E0007,AG-P024,Upper mid-market,1,482510,215,1,0
2026-05,AG-E0007,AG-P024,Upper mid-market,1,498002,231,0,0
2026-06,AG-E0007,AG-P024,Upper mid-market,1,499021,224,4,0
2026-07,AG-E0007,AG-P024,Upper mid-market,1,500042,231,2,0
2022-02,AG-E0008,AG-P133,Upper mid-market,1,192070,83,5,0
2022-03,AG-E0008,AG-P133,Upper mid-market,1,192428,83,2,0
2022-04,AG-E0008,AG-P133,Upper mid-market,1,192787,84,1,0
2022-05,AG-E0008,AG-P133,Upper mid-market,1,193147,89,2,0
2022-06,AG-E0008,AG-P133,Upper mid-market,1,193507,86,4,0
2022-07,AG-E0008,AG-P133,Upper mid-market,1,193868,85,7,0
2022-08,AG-E0008,AG-P133,Upper mid-market,1,194230,91,2,0
2022-09,AG-E0008,AG-P133,Upper mid-market,1,194592,86,5,0
2022-10,AG-E0008,AG-P133,Upper mid-market,1,194955,89,4,0
2022-11,AG-E0008,AG-P133,Upper mid-market,1,195319,87,4,0
2022-12,AG-E0008,AG-P133,Upper mid-market,1,195684,81,3,1174
2023-01,AG-E0008,AG-P133,Upper mid-market,1,196049,88,5,0
2023-02,AG-E0008,AG-P133,Upper mid-market,1,202307,89,2,0
2023-03,AG-E0008,AG-P133,Upper mid-market,1,202685,87,4,0
2023-04,AG-E0008,AG-P133,Upper mid-market,1,203063,93,7,0
2023-05,AG-E0008,AG-P133,Upper mid-market,1,203442,93,1,0
2023-06,AG-E0008,AG-P133,Upper mid-market,1,203822,95,1,0
2023-07,AG-E0008,AG-P133,Upper mid-market,1,204202,91,4,0
2023-08,AG-E0008,AG-P133,Upper mid-market,1,204583,93,1,0
2023-09,AG-E0008,AG-P133,Upper mid-market,1,204965,88,2,0
2023-10,AG-E0008,AG-P133,Upper mid-market,1,205348,87,6,0
2023-11,AG-E0008,AG-P133,Upper mid-market,1,205731,94,5,0
2023-12,AG-E0008,AG-P133,Upper mid-market,1,206115,96,1,0
2024-01,AG-E0008,AG-P133,Upper mid-market,1,206500,92,2,0
2024-02,AG-E0008,AG-P133,Upper mid-market,1,213092,90,3,0
2024-03,AG-E0008,AG-P133,Upper mid-market,1,213490,99,1,0
2024-04,AG-E0008,AG-P133,Upper mid-market,1,213888,99,0,0
2024-05,AG-E0008,AG-P133,Upper mid-market,1,214287,93,3,0
2024-06,AG-E0008,AG-P133,Upper mid-market,1,214687,96,1,0
2024-07,AG-E0008,AG-P133,Upper mid-market,1,215088,105,4,0
2024-08,AG-E0008,AG-P133,Upper mid-market,1,215489,92,2,0
2024-09,AG-E0008,AG-P133,Upper mid-market,1,215891,97,0,0
2024-10,AG-E0008,AG-P133,Upper mid-market,1,216294,99,2,0
2024-11,AG-E0008,AG-P133,Upper mid-market,1,216698,95,6,1300
2024-12,AG-E0008,AG-P133,Upper mid-market,1,217102,88,5,0
2025-01,AG-E0008,AG-P133,Upper mid-market,1,217507,100,4,0
2025-02,AG-E0008,AG-P133,Upper mid-market,1,224450,101,2,0
2025-03,AG-E0008,AG-P133,Upper mid-market,1,224869,104,3,0
2025-04,AG-E0008,AG-P133,Upper mid-market,1,225289,100,2,0
2025-05,AG-E0008,AG-P133,Upper mid-market,1,225709,99,2,0
2025-06,AG-E0008,AG-P133,Upper mid-market,1,226130,99,2,0
2025-07,AG-E0008,AG-P133,Upper mid-market,1,226552,107,5,0
2025-08,AG-E0008,AG-P133,Upper mid-market,1,226975,99,5,0
2025-09,AG-E0008,AG-P133,Upper mid-market,1,227399,110,6,0
2025-10,AG-E0008,AG-P133,Upper mid-market,1,227823,107,1,0
2025-11,AG-E0008,AG-P133,Upper mid-market,1,228248,107,2,0
2025-12,AG-E0008,AG-P133,Upper mid-market,1,228674,106,2,0
2026-01,AG-E0008,AG-P133,Upper mid-market,1,229101,106,3,0
2026-02,AG-E0008,AG-P133,Upper mid-market,1,236414,102,6,0
2026-03,AG-E0008,AG-P133,Upper mid-market,1,236855,107,2,0
2026-04,AG-E0008,AG-P133,Upper mid-market,1,237297,103,5,0
2026-05,AG-E0008,AG-P133,Upper mid-market,1,237740,107,2,0
2026-06,AG-E0008,AG-P133,Upper mid-market,1,238184,111,5,0
2026-07,AG-E0008,AG-P133,Upper mid-market,1,238629,103,3,0
2023-07,AG-E0009,AG-P121,Public sector,1,343026,158,3,0
2023-08,AG-E0009,AG-P121,Public sector,1,343643,152,1,0
2023-09,AG-E0009,AG-P121,Public sector,1,344262,158,4,0
2023-10,AG-E0009,AG-P121,Public sector,1,344882,147,2,0
2023-11,AG-E0009,AG-P121,Public sector,1,345503,164,4,0
2023-12,AG-E0009,AG-P121,Public sector,1,346125,155,1,0
2024-01,AG-E0009,AG-P121,Public sector,1,346748,161,2,0
2024-02,AG-E0009,AG-P121,Public sector,1,347372,163,2,0
