account_id,observed_at,treatment,risk_score,realized_increase_pct,renewed
AG-R0056,2026-07-15T00:00:00Z,0,-0.374664,1.117871,0
AG-R0057,2026-07-15T00:00:00Z,1,0.419890,7.366251,1
AG-R0058,2026-07-15T00:00:00Z,0,0.175426,0.220110,1
AG-R0059,2026-07-15T00:00:00Z,1,-1.246126,10.624356,1
AG-R0060,2026-07-15T00:00:00Z,0,0.150091,0.000000,1
AG-R0061,2026-07-15T00:00:00Z,0,-1.633095,3.741575,1
AG-R0062,2026-07-15T00:00:00Z,1,0.971567,5.092056,0
AG-R0063,2026-07-15T00:00:00Z,1,-2.712414,11.972516,1
AG-R0064,2026-07-15T00:00:00Z,0,0.300041,0.050559,1
AG-R0065,2026-07-15T00:00:00Z,0,-0.536665,2.492823,1
AG-R0066,2026-07-15T00:00:00Z,1,-0.689357,9.776855,1
AG-R0067,2026-07-15T00:00:00Z,0,-0.570085,1.080247,0
AG-R0068,2026-07-15T00:00:00Z,1,-0.326015,8.119099,1
AG-R0069,2026-07-15T00:00:00Z,0,-1.377393,2.869601,1
AG-R0070,2026-07-15T00:00:00Z,1,0.218002,7.317508,1
AG-R0071,2026-07-15T00:00:00Z,1,0.811452,6.052357,1
AG-R0072,2026-07-15T00:00:00Z,1,1.043409,5.735450,0
AG-R0073,2026-07-15T00:00:00Z,0,0.659967,0.000000,1
AG-R0074,2026-07-15T00:00:00Z,1,0.373813,7.819950,0
AG-R0075,2026-07-15T00:00:00Z,1,-1.157069,8.533935,1
AG-R0076,2026-07-15T00:00:00Z,0,-0.814653,2.521693,1
AG-R0077,2026-07-15T00:00:00Z,1,-1.394651,10.089356,1
AG-R0078,2026-07-15T00:00:00Z,0,-1.009746,1.776868,1
AG-R0079,2026-07-15T00:00:00Z,1,0.365603,6.211144,0
AG-R0080,2026-07-15T00:00:00Z,0,-0.055616,0.000000,1
AG-R0081,2026-07-15T00:00:00Z,1,-0.516057,8.149538,1
AG-R0082,2026-07-15T00:00:00Z,1,0.890819,5.835365,1
AG-R0083,2026-07-15T00:00:00Z,1,0.249559,6.474111,0
AG-R0084,2026-07-15T00:00:00Z,1,0.020687,7.758627,1
AG-R0085,2026-07-15T00:00:00Z,0,-1.067898,2.465932,1
AG-R0086,2026-07-15T00:00:00Z,1,-1.109184,10.035779,1
AG-R0087,2026-07-15T00:00:00Z,0,-0.748698,2.301436,1
AG-R0088,2026-07-15T00:00:00Z,0,1.276858,0.000000,1
AG-R0089,2026-07-15T00:00:00Z,1,-0.115146,8.871817,1
AG-R0090,2026-07-15T00:00:00Z,0,0.656829,0.000000,1
AG-R0091,2026-07-15T00:00:00Z,1,-1.108036,9.248153,1
AG-R0092,2026-07-15T00:00:00Z,0,0.926366,0.000000,1
AG-R0093,2026-07-15T00:00:00Z,0,-0.493801,1.759528,1
AG-R0094,2026-07-15T00:00:00Z,1,-1.031133,7.423461,1
AG-R0095,2026-07-15T00:00:00Z,1,1.689592,5.620182,1
AG-R0096,2026-07-15T00:00:00Z,0,-0.666255,0.398332,1
AG-R0097,2026-07-15T00:00:00Z,1,0.572003,6.472761,1
AG-R0098,2026-07-15T00:00:00Z,1,3.554263,0.859641,1
AG-R0099,2026-07-15T00:00:00Z,1,-0.588656,9.075825,1
AG-R0100,2026-07-15T00:00:00Z,1,-1.518167,9.973506,1
AG-R0101,2026-07-15T00:00:00Z,1,-1.538409,9.864421,1
AG-R0102,2026-07-15T00:00:00Z,0,1.534881,0.000000,1
AG-R0103,2026-07-15T00:00:00Z,0,0.159192,0.000000,1
AG-R0104,2026-07-15T00:00:00Z,1,-1.398726,9.605319,1
AG-R0105,2026-07-15T00:00:00Z,1,-0.789152,7.263640,1
AG-R0106,2026-07-15T00:00:00Z,1,1.013844,7.944312,0
AG-R0107,2026-07-15T00:00:00Z,1,0.795908,7.481982,1
AG-R0108,2026-07-15T00:00:00Z,0,-0.529741,1.596851,1
AG-R0109,2026-07-15T00:00:00Z,1,-0.881815,8.319021,1
AG-R0110,2026-07-15T00:00:00Z,0,0.411357,0.000000,1
AG-R0111,2026-07-15T00:00:00Z,0,0.744007,0.000000,1
AG-R0112,2026-07-15T00:00:00Z,0,-1.124293,1.407929,1
AG-R0113,2026-07-15T00:00:00Z,1,-1.227147,10.369594,1
AG-R0114,2026-07-15T00:00:00Z,1,0.181004,8.357496,1
AG-R0115,2026-07-15T00:00:00Z,1,0.676259,7.514077,1
AG-R0116,2026-07-15T00:00:00Z,0,0.805106,0.000000,1
AG-R0117,2026-07-15T00:00:00Z,1,-0.662277,9.369260,1
AG-R0118,2026-07-15T00:00:00Z,1,1.049505,8.738372,1
AG-R0119,2026-07-15T00:00:00Z,0,0.418112,0.000000,1
AG-R0120,2026-07-15T00:00:00Z,0,0.054185,0.000000,1
AG-R0121,2026-07-15T00:00:00Z,1,-1.259401,11.021129,0
AG-R0122,2026-07-15T00:00:00Z,1,-1.028880,9.139599,1
AG-R0123,2026-07-15T00:00:00Z,0,1.092522,0.000000,1
AG-R0124,2026-07-15T00:00:00Z,1,-1.393447,9.553488,1
AG-R0125,2026-07-15T00:00:00Z,1,-0.403921,8.364374,1
AG-R0126,2026-07-15T00:00:00Z,0,-0.991345,3.115110,1
AG-R0127,2026-07-15T00:00:00Z,0,-0.657696,0.856456,1
AG-R0128,2026-07-15T00:00:00Z,0,0.110187,0.000000,1
AG-R0129,2026-07-15T00:00:00Z,0,0.712754,0.000000,1
AG-R0130,2026-07-15T00:00:00Z,0,0.791601,0.000000,0
AG-R0131,2026-07-15T00:00:00Z,0,0.019352,0.000000,1
AG-R0132,2026-07-15T00:00:00Z,0,0.460949,0.000000,0
AG-R0133,2026-07-15T00:00:00Z,1,1.756144,4.811031,1
AG-R0134,2026-07-15T00:00:00Z,0,0.010288,1.083486,1
AG-R0135,2026-07-15T00:00:00Z,1,1.569740,3.681683,1
AG-R0136,2026-07-15T00:00:00Z,0,-1.319285,2.302735,1
AG-R0137,2026-07-15T00:00:00Z,1,2.693083,3.860927,1
AG-R0138,2026-07-15T00:00:00Z,1,-0.035362,9.244977,1
AG-R0139,2026-07-15T00:00:00Z,0,-0.859768,1.332122,1
AG-R0140,2026-07-15T00:00:00Z,0,1.440979,0.000000,1
AG-R0141,2026-07-15T00:00:00Z,0,0.710835,0.000000,0
AG-R0142,2026-07-15T00:00:00Z,0,-0.513897,0.000000,1
AG-R0143,2026-07-15T00:00:00Z,0,0.066593,2.381246,1
AG-R0144,2026-07-15T00:00:00Z,1,-0.599488,7.894917,1
AG-R0145,2026-07-15T00:00:00Z,0,1.043614,0.000000,1
AG-R0146,2026-07-15T00:00:00Z,0,1.089704,0.000000,1
AG-R0147,2026-07-15T00:00:00Z,0,0.415930,0.000000,1
AG-R0148,2026-07-15T00:00:00Z,0,-0.122849,0.000000,1
AG-R0149,2026-07-15T00:00:00Z,0,-0.564875,0.263945,1
AG-R0150,2026-07-15T00:00:00Z,1,-3.186835,11.621592,1
AG-R0151,2026-07-15T00:00:00Z,1,0.296253,9.915693,1
AG-R0152,2026-07-15T00:00:00Z,0,-1.482700,3.288654,1
AG-R0153,2026-07-15T00:00:00Z,0,0.217148,0.032545,1
AG-R0154,2026-07-15T00:00:00Z,0,0.410942,0.000000,1
AG-R0155,2026-07-15T00:00:00Z,1,1.247598,6.983310,1
AG-R0156,2026-07-15T00:00:00Z,1,0.091797,7.858334,1
AG-R0157,2026-07-15T00:00:00Z,0,0.824838,0.000000,1
AG-R0158,2026-07-15T00:00:00Z,1,0.593499,5.837127,1
AG-R0159,2026-07-15T00:00:00Z,0,-0.458327,1.072056,1
AG-R0160,2026-07-15T00:00:00Z,1,-1.120316,9.671906,1
AG-R0161,2026-07-15T00:00:00Z,0,0.760808,0.000000,1
AG-R0162,2026-07-15T00:00:00Z,0,-0.095847,0.000000,1
AG-R0163,2026-07-15T00:00:00Z,0,-1.524653,2.867651,1
AG-R0164,2026-07-15T00:00:00Z,0,-0.927796,2.457920,1
AG-R0165,2026-07-15T00:00:00Z,0,-1.188114,2.859327,1
AG-R0166,2026-07-15T00:00:00Z,0,-1.038713,1.587698,1
AG-R0167,2026-07-15T00:00:00Z,1,0.941699,6.101040,1
AG-R0168,2026-07-15T00:00:00Z,1,-0.582621,7.820427,1
AG-R0169,2026-07-15T00:00:00Z,0,-0.399246,0.004373,1
AG-R0170,2026-07-15T00:00:00Z,1,-0.434569,8.283118,1
AG-R0171,2026-07-15T00:00:00Z,1,-0.733479,8.349404,1
AG-R0172,2026-07-15T00:00:00Z,0,1.739562,0.000000,1
AG-R0173,2026-07-15T00:00:00Z,0,0.102960,0.000000,1
AG-R0174,2026-07-15T00:00:00Z,1,0.983311,5.800391,1
AG-R0175,2026-07-15T00:00:00Z,0,-0.728474,0.824957,1
AG-R0176,2026-07-15T00:00:00Z,0,0.365055,0.000000,1
AG-R0177,2026-07-15T00:00:00Z,1,-0.634812,8.919465,1
AG-R0178,2026-07-15T00:00:00Z,1,-1.095494,9.532777,1
AG-R0179,2026-07-15T00:00:00Z,0,-1.445909,3.044139,1
AG-R0180,2026-07-15T00:00:00Z,0,1.071933,0.000000,1
AG-R0181,2026-07-15T00:00:00Z,1,0.543435,7.718482,1
AG-R0182,2026-07-15T00:00:00Z,1,0.955151,6.582595,0
AG-R0183,2026-07-15T00:00:00Z,1,-0.778086,9.786951,1
AG-R0184,2026-07-15T00:00:00Z,1,-0.979382,9.951549,0
AG-R0185,2026-07-15T00:00:00Z,0,-1.615984,3.699705,1
AG-R0186,2026-07-15T00:00:00Z,1,1.891309,4.892127,0
AG-R0187,2026-07-15T00:00:00Z,1,-0.802740,10.015345,1
AG-R0188,2026-07-15T00:00:00Z,0,-1.262833,2.298739,1
AG-R0189,2026-07-15T00:00:00Z,0,0.563966,0.000000,0
AG-R0190,2026-07-15T00:00:00Z,0,-1.476293,1.669085,1
AG-R0191,2026-07-15T00:00:00Z,0,-0.036677,0.000000,1
AG-R0192,2026-07-15T00:00:00Z,1,-3.170380,14.242373,1
AG-R0193,2026-07-15T00:00:00Z,1,-2.423906,12.152379,1
AG-R0194,2026-07-15T00:00:00Z,0,-0.563901,1.133854,1
AG-R0195,2026-07-15T00:00:00Z,0,0.549849,0.000000,1
AG-R0196,2026-07-15T00:00:00Z,1,1.552176,4.981530,1
AG-R0197,2026-07-15T00:00:00Z,1,-0.829422,10.814204,1
AG-R0198,2026-07-15T00:00:00Z,0,-1.143464,2.817933,1
AG-R0199,2026-07-15T00:00:00Z,1,0.285755,6.980835,1
AG-R0200,2026-07-15T00:00:00Z,0,0.530678,0.259778,1
AG-R0201,2026-07-15T00:00:00Z,0,-2.211524,4.193355,1
AG-R0202,2026-07-15T00:00:00Z,1,0.225132,9.212388,1
AG-R0203,2026-07-15T00:00:00Z,1,0.508315,6.783427,1
AG-R0204,2026-07-15T00:00:00Z,1,-1.483373,11.598341,1
AG-R0205,2026-07-15T00:00:00Z,1,-0.062792,9.311878,0
AG-R0206,2026-07-15T00:00:00Z,1,-0.251446,8.112798,1
AG-R0207,2026-07-15T00:00:00Z,0,0.920052,0.000000,1
AG-R0208,2026-07-15T00:00:00Z,0,-0.110795,0.000000,0
AG-R0209,2026-07-15T00:00:00Z,0,-1.184980,0.412567,1
AG-R0210,2026-07-15T00:00:00Z,0,0.936500,0.000000,1
AG-R0211,2026-07-15T00:00:00Z,1,-0.877006,8.958150,0
AG-R0212,2026-07-15T00:00:00Z,1,-0.353686,10.381786,1
AG-R0213,2026-07-15T00:00:00Z,1,-1.158173,8.772578,1
AG-R0214,2026-07-15T00:00:00Z,0,0.375998,0.000000,1
AG-R0215,2026-07-15T00:00:00Z,0,0.538339,0.000000,1
AG-R0216,2026-07-15T00:00:00Z,1,-0.485060,9.191518,1
AG-R0217,2026-07-15T00:00:00Z,0,0.080741,0.210968,1
AG-R0218,2026-07-15T00:00:00Z,1,0.311643,7.138613,1
AG-R0219,2026-07-15T00:00:00Z,0,-1.793494,3.722015,1
AG-R0220,2026-07-15T00:00:00Z,1,1.220498,5.855376,0
AG-R0221,2026-07-15T00:00:00Z,1,-0.988895,10.712119,1
AG-R0222,2026-07-15T00:00:00Z,1,0.931155,6.127667,1
AG-R0223,2026-07-15T00:00:00Z,0,0.175761,0.000000,1
AG-R0224,2026-07-15T00:00:00Z,0,0.873473,0.000000,1
AG-R0225,2026-07-15T00:00:00Z,1,-0.446377,6.183178,1
AG-R0226,2026-07-15T00:00:00Z,0,-1.028694,1.593514,1
AG-R0227,2026-07-15T00:00:00Z,1,0.183645,8.517490,1
AG-R0228,2026-07-15T00:00:00Z,1,-1.704109,12.279017,1
AG-R0229,2026-07-15T00:00:00Z,1,-1.204449,10.540421,1
AG-R0230,2026-07-15T00:00:00Z,1,-1.670990,10.416653,1
AG-R0231,2026-07-15T00:00:00Z,0,-0.661388,0.858278,1
AG-R0232,2026-07-15T00:00:00Z,1,-1.271923,10.060370,1
AG-R0233,2026-07-15T00:00:00Z,1,-0.991666,9.730279,1
AG-R0234,2026-07-15T00:00:00Z,0,0.224844,0.000000,1
AG-R0235,2026-07-15T00:00:00Z,0,-1.014701,1.679560,1
AG-R0236,2026-07-15T00:00:00Z,0,0.758752,0.000000,1
AG-R0237,2026-07-15T00:00:00Z,0,-1.760563,4.820294,1
AG-R0238,2026-07-15T00:00:00Z,0,-0.745099,2.117809,1
AG-R0239,2026-07-15T00:00:00Z,1,-0.495487,8.433919,1
AG-R0240,2026-07-15T00:00:00Z,0,0.176631,0.000000,1
AG-R0241,2026-07-15T00:00:00Z,1,-0.851539,9.407015,1
AG-R0242,2026-07-15T00:00:00Z,1,-0.077780,8.786130,1
AG-R0243,2026-07-15T00:00:00Z,1,-2.020502,11.217632,1
AG-R0244,2026-07-15T00:00:00Z,1,-0.379287,8.906888,0
AG-R0245,2026-07-15T00:00:00Z,0,0.757154,0.000000,1
AG-R0246,2026-07-15T00:00:00Z,1,-0.656124,8.059423,1
AG-R0247,2026-07-15T00:00:00Z,1,-1.276837,11.002178,1
AG-R0248,2026-07-15T00:00:00Z,0,0.303217,0.429185,0
AG-R0249,2026-07-15T00:00:00Z,1,0.639120,5.295075,1
AG-R0250,2026-07-15T00:00:00Z,1,0.405233,7.206628,1
AG-R0251,2026-07-15T00:00:00Z,0,-1.659738,2.733642,1
AG-R0252,2026-07-15T00:00:00Z,1,-1.171930,11.473630,1
AG-R0253,2026-07-15T00:00:00Z,1,-1.969198,11.317385,1
AG-R0254,2026-07-15T00:00:00Z,1,-1.584431,8.607293,1
AG-R0255,2026-07-15T00:00:00Z,0,0.237005,0.195152,1
AG-R0256,2026-07-15T00:00:00Z,0,-0.912507,0.421001,0
AG-R0257,2026-07-15T00:00:00Z,0,1.577895,0.000000,1
AG-R0258,2026-07-15T00:00:00Z,0,0.433117,0.648718,1
AG-R0259,2026-07-15T00:00:00Z,1,-1.464304,11.169525,1
AG-R0260,2026-07-15T00:00:00Z,1,1.370043,3.732542,1
AG-R0261,2026-07-15T00:00:00Z,1,0.699855,6.819451,0
AG-R0262,2026-07-15T00:00:00Z,1,-0.121775,9.295868,1
AG-R0263,2026-07-15T00:00:00Z,0,-0.143515,0.000000,1
AG-R0264,2026-07-15T00:00:00Z,1,-0.754405,7.794682,1
AG-R0265,2026-07-15T00:00:00Z,1,-1.376079,9.982251,1
AG-R0266,2026-07-15T00:00:00Z,0,-0.666451,1.049669,1
AG-R0267,2026-07-15T00:00:00Z,0,-0.031157,0.000000,1
AG-R0268,2026-07-15T00:00:00Z,1,0.483347,6.267383,1
AG-R0269,2026-07-15T00:00:00Z,1,1.286456,5.173394,1
AG-R0270,2026-07-15T00:00:00Z,1,-0.782366,9.536702,1
AG-R0271,2026-07-15T00:00:00Z,0,0.327676,0.893273,1
AG-R0272,2026-07-15T00:00:00Z,1,0.164918,8.916751,1
AG-R0273,2026-07-15T00:00:00Z,1,0.893362,6.817853,1
AG-R0274,2026-07-15T00:00:00Z,1,0.283542,7.604030,1
AG-R0275,2026-07-15T00:00:00Z,0,0.016823,0.818448,1
AG-R0276,2026-07-15T00:00:00Z,0,-0.755426,2.644733,1
AG-R0277,2026-07-15T00:00:00Z,1,-0.134309,9.006045,1
AG-R0278,2026-07-15T00:00:00Z,1,1.741410,5.834947,1
AG-R0279,2026-07-15T00:00:00Z,0,0.494080,0.000000,1
AG-R0280,2026-07-15T00:00:00Z,1,0.416129,8.174627,1
AG-R0281,2026-07-15T00:00:00Z,0,-0.408588,1.908865,1
AG-R0282,2026-07-15T00:00:00Z,0,0.984956,0.000000,1
AG-R0283,2026-07-15T00:00:00Z,1,-0.273771,8.264114,1
AG-R0284,2026-07-15T00:00:00Z,0,-0.742157,1.446723,1
AG-R0285,2026-07-15T00:00:00Z,1,-0.709723,8.431099,1
AG-R0286,2026-07-15T00:00:00Z,1,-0.037815,7.619891,0
AG-R0287,2026-07-15T00:00:00Z,0,1.780602,0.000000,0
AG-R0288,2026-07-15T00:00:00Z,1,-0.199666,8.243019,1
AG-R0289,2026-07-15T00:00:00Z,0,-0.392401,0.734173,1
AG-R0290,2026-07-15T00:00:00Z,1,-0.942393,10.882266,1
AG-R0291,2026-07-15T00:00:00Z,1,-0.314462,6.718561,1
AG-R0292,2026-07-15T00:00:00Z,1,0.313230,7.107861,1
AG-R0293,2026-07-15T00:00:00Z,1,-0.849554,9.446725,1
AG-R0294,2026-07-15T00:00:00Z,0,1.031403,0.000000,1
AG-R0295,2026-07-15T00:00:00Z,1,-0.816980,8.840910,1
AG-R0296,2026-07-15T00:00:00Z,0,1.331359,0.000000,0
AG-R0297,2026-07-15T00:00:00Z,1,0.756500,6.789552,1
AG-R0298,2026-07-15T00:00:00Z,1,-2.239578,10.330904,1
AG-R0299,2026-07-15T00:00:00Z,1,-0.583337,9.906847,0
AG-R0300,2026-07-15T00:00:00Z,0,-1.245515,3.187367,1
AG-R0301,2026-07-15T00:00:00Z,1,0.179502,8.257268,0
AG-R0302,2026-07-15T00:00:00Z,1,-0.933717,9.483629,1
AG-R0303,2026-07-15T00:00:00Z,1,-0.520465,9.763495,1
AG-R0304,2026-07-15T00:00:00Z,0,-1.004876,2.203084,1
AG-R0305,2026-07-15T00:00:00Z,0,-1.559561,4.094075,1
AG-R0306,2026-07-15T00:00:00Z,0,-0.116930,0.582918,1
AG-R0307,2026-07-15T00:00:00Z,0,1.472942,0.000000,1
AG-R0308,2026-07-15T00:00:00Z,0,-0.132686,1.054957,1
AG-R0309,2026-07-15T00:00:00Z,1,-0.227072,8.139690,0
AG-R0310,2026-07-15T00:00:00Z,1,-1.429669,11.126435,1
AG-R0311,2026-07-15T00:00:00Z,0,0.911555,0.000000,1
AG-R0312,2026-07-15T00:00:00Z,0,-0.143239,0.000000,1
AG-R0313,2026-07-15T00:00:00Z,0,-0.596504,2.235147,1
AG-R0314,2026-07-15T00:00:00Z,1,0.484588,9.251404,1
AG-R0315,2026-07-15T00:00:00Z,0,-1.259867,2.987679,1
AG-R0316,2026-07-15T00:00:00Z,1,1.074954,5.944183,0
AG-R0317,2026-07-15T00:00:00Z,0,1.441539,0.000000,1
AG-R0318,2026-07-15T00:00:00Z,0,-0.680345,1.071939,1
AG-R0319,2026-07-15T00:00:00Z,1,0.001138,9.244098,1
AG-R0320,2026-07-15T00:00:00Z,1,-0.018254,7.515329,1
AG-R0321,2026-07-15T00:00:00Z,0,-1.389819,2.601119,1
AG-R0322,2026-07-15T00:00:00Z,1,-0.771057,8.964817,1
AG-R0323,2026-07-15T00:00:00Z,1,0.078844,7.587915,1
AG-R0324,2026-07-15T00:00:00Z,0,0.418814,0.032315,1
AG-R0325,2026-07-15T00:00:00Z,1,-0.126858,8.037816,1
AG-R0326,2026-07-15T00:00:00Z,1,-1.247683,9.700338,1
AG-R0327,2026-07-15T00:00:00Z,0,-0.162482,0.090432,1
AG-R0328,2026-07-15T00:00:00Z,0,-0.668737,0.779836,1
AG-R0329,2026-07-15T00:00:00Z,1,1.697319,5.356984,1
AG-R0330,2026-07-15T00:00:00Z,1,0.051915,7.668701,0
AG-R0331,2026-07-15T00:00:00Z,0,-1.780748,2.803541,1
AG-R0332,2026-07-15T00:00:00Z,1,0.653726,6.882572,1
AG-R0333,2026-07-15T00:00:00Z,1,0.068375,6.948106,1
AG-R0334,2026-07-15T00:00:00Z,1,-0.465937,7.603349,1
AG-R0335,2026-07-15T00:00:00Z,1,1.717263,4.667416,1
AG-R0336,2026-07-15T00:00:00Z,0,-0.897195,2.573624,1
AG-R0337,2026-07-15T00:00:00Z,1,0.659324,6.770024,1
AG-R0338,2026-07-15T00:00:00Z,0,-0.201667,0.051092,1
AG-R0339,2026-07-15T00:00:00Z,0,0.301830,0.000000,1
AG-R0340,2026-07-15T00:00:00Z,0,-0.632115,0.587511,1
AG-R0341,2026-07-15T00:00:00Z,0,0.442983,0.000000,1
AG-R0342,2026-07-15T00:00:00Z,0,-0.503239,2.173649,1
AG-R0343,2026-07-15T00:00:00Z,1,1.423609,7.574287,1
AG-R0344,2026-07-15T00:00:00Z,0,-1.065028,1.250170,1
AG-R0345,2026-07-15T00:00:00Z,0,0.393607,0.000000,1
AG-R0346,2026-07-15T00:00:00Z,0,-2.338462,3.272182,1
AG-R0347,2026-07-15T00:00:00Z,0,1.894540,0.000000,1
AG-R0348,2026-07-15T00:00:00Z,1,-0.140558,8.882476,1
AG-R0349,2026-07-15T00:00:00Z,1,-0.032007,7.637111,1
AG-R0350,2026-07-15T00:00:00Z,0,-0.418076,0.555680,1
AG-R0351,2026-07-15T00:00:00Z,1,-0.260453,8.951381,1
AG-R0352,2026-07-15T00:00:00Z,1,0.108205,7.244977,1
AG-R0353,2026-07-15T00:00:00Z,0,1.097305,0.000000,1
AG-R0354,2026-07-15T00:00:00Z,0,-0.687506,0.565153,0
AG-R0355,2026-07-15T00:00:00Z,1,0.403990,7.125658,1
AG-R0356,2026-07-15T00:00:00Z,1,-1.135842,10.671850,1
AG-R0357,2026-07-15T00:00:00Z,1,-0.334014,7.217834,0
AG-R0358,2026-07-15T00:00:00Z,0,1.036874,0.000000,0
AG-R0359,2026-07-15T00:00:00Z,0,-0.860764,1.366908,1
AG-R0360,2026-07-15T00:00:00Z,0,2.036937,0.000000,1
AG-R0361,2026-07-15T00:00:00Z,0,1.286247,0.000000,1
AG-R0362,2026-07-15T00:00:00Z,0,-0.320922,0.495398,1
AG-R0363,2026-07-15T00:00:00Z,1,0.309793,6.857461,1
AG-R0364,2026-07-15T00:00:00Z,1,0.998119,6.267943,1
AG-R0365,2026-07-15T00:00:00Z,0,-0.216333,0.420440,1
AG-R0366,2026-07-15T00:00:00Z,0,-0.739845,2.132290,1
AG-R0367,2026-07-15T00:00:00Z,1,0.461258,7.007159,1
AG-R0368,2026-07-15T00:00:00Z,1,1.055725,6.738496,1
AG-R0369,2026-07-15T00:00:00Z,1,0.329555,7.243530,1
AG-R0370,2026-07-15T00:00:00Z,1,-0.883233,10.552334,1
AG-R0371,2026-07-15T00:00:00Z,0,-1.599433,2.065906,1
AG-R0372,2026-07-15T00:00:00Z,1,-0.693853,9.032224,1
AG-R0373,2026-07-15T00:00:00Z,0,-1.521164,3.110744,1
AG-R0374,2026-07-15T00:00:00Z,1,-2.499277,11.179955,1
AG-R0375,2026-07-15T00:00:00Z,1,0.915488,6.647178,1
AG-R0376,2026-07-15T00:00:00Z,0,-2.454063,5.821160,1
AG-R0377,2026-07-15T00:00:00Z,0,-1.424111,2.037725,1
AG-R0378,2026-07-15T00:00:00Z,0,0.284639,0.000000,1
AG-R0379,2026-07-15T00:00:00Z,0,0.380897,0.000000,1
AG-R0380,2026-07-15T00:00:00Z,0,0.368747,0.000000,1
AG-R0381,2026-07-15T00:00:00Z,0,-0.142306,1.392661,1
